
[00:00:00.040 --> 00:00:09.560]  في
[00:41:12.920 --> 00:41:12.920]   I mean, just how crazy this is that this is even being debated.
[00:41:12.920 --> 00:41:12.920]   I mean, just how crazy this is that this is even being debated.
[00:41:12.920 --> 00:41:12.920]   I mean, just how crazy this is that this is even being debated.
[00:41:12.920 --> 00:41:12.920]   I mean, just how crazy this is that this is even being debated.
[00:41:12.920 --> 00:41:12.920]   I mean, just how crazy this is that this is even being debated.
[00:41:12.920 --> 00:41:12.920]   I mean, just how crazy this is that this is even being debated.
[00:41:12.920 --> 00:41:12.920]   I mean, just how crazy this is that this is even being debated.
[00:41:12.920 --> 00:41:42.940]   I mean, just how crazy this is that this is even being debated.
[00:41:42.940 --> 00:41:42.940]   I mean, just how crazy this is that this is even being debated.
[00:41:42.940 --> 00:41:42.940]   I mean, just how crazy this is that this is even being debated.
[00:41:42.940 --> 00:41:42.940]   I mean, just how crazy this is that this is even being debated.
[00:41:42.940 --> 00:41:42.940]   I mean, just how crazy this is that this is even being debated.
[00:41:42.960 --> 00:42:12.960]   I mean, just how crazy this is that this is even being debated.
[00:42:12.960 --> 00:42:12.960]   I mean, just how crazy this is that this is even being debated.
[00:42:12.960 --> 00:42:12.960]   I mean, just how crazy this is that this is even being debated.
[00:42:12.960 --> 00:42:12.960]   I mean, just how crazy this is that this is even being debated.
[00:42:12.960 --> 00:42:12.960]   I mean, just how crazy this is that this is even being debated.
[00:42:12.960 --> 00:42:12.960]   I mean, just how crazy this is that this is even being debated.
[00:42:12.960 --> 00:42:12.960]   I mean, just how crazy this is that this is even being debated.
[00:42:12.960 --> 00:42:12.960]   I mean, just how crazy this is that this is even being debated.
[00:42:12.960 --> 00:42:12.960]   I mean, just how crazy this is that this is even being debated.
[00:42:12.960 --> 00:42:12.960]   I mean, just how crazy this is that this is even being debated.
[00:42:12.960 --> 00:42:12.960]   I mean, just how crazy this is that this is even being debated.
[00:42:12.960 --> 00:42:12.960]   I mean, just how crazy this is that this is even being debated.
[00:42:12.980 --> 00:42:42.980]   Some of the frustrations that we have in the church today is that we have not clearly identified
[00:42:42.980 --> 00:42:42.980]   some of the frustrations that we have in the church today is that we have not clearly identified
[00:42:42.980 --> 00:42:42.980]   some of the frustrations that we have in the church today is that we have not clearly identified
[00:42:42.980 --> 00:42:42.980]   some of the frustrations that we have in the church today is that we have not clearly identified
[00:42:42.980 --> 00:42:42.980]   some of the frustrations that we have in the church today is that we have not clearly identified
[00:42:42.980 --> 00:42:42.980]   some of the frustrations that we have in the church today is that we have not clearly identified
[00:42:42.980 --> 00:42:42.980]   some of the frustrations that we have in the church today is that we have not clearly identified
[00:42:43.020 --> 00:42:54.040]   actually
[00:42:54.040 --> 00:43:09.680]  , I Sh I it and live, ,,,,, not only Market actually cerc over close his means это胡 nice
[00:43:10.620 --> 00:43:20.460]   how
[00:43:20.460 --> 00:43:21.980]   L A include,,,, ,
[00:43:21.980 --> 00:43:34.040]   Ooo Word
[00:43:39.560 --> 00:43:53.340]   You have to identify if you are a good tree or a bad tree. That's why we have membership. That's why at membership the first thing that we have to identify is, is there credible evidence of genuine faith in this person's life.
[00:43:53.340 --> 00:44:08.420]   In Mark, chapter 11, verse 13-14, Jesus condemns this fig tree. And in this fig tree he says, "Seeing at a distance a fig tree in leaf, he went to see if perhaps he would find
[00:44:08.420 --> 00:44:08.500]   the fig tree in leaf, he went to see if perhaps he would find
[00:44:08.500 --> 00:44:08.500]   anything on it. And in this fig tree he says, "Seeing at a distance a fig tree in leaf, he went to see if perhaps he would find
[00:44:08.500 --> 00:44:08.500]   anything on it. And in this fig tree he says, "Seeing at a distance a fig tree in leaf, he went to see if perhaps he would find
[00:44:08.540 --> 00:44:19.600]   chama you
[00:47:00.700 --> 00:47:02.460]  , and how we are perceived.
[00:47:02.460 --> 00:47:13.460]   Whatever the standard that is made for the culture, the church that you belong to, we jump through the hoops to make sure that we meet those hoops.
[00:47:13.460 --> 00:47:17.580]   Remember the sin of Ananias and Sapphira in the book of Acts?
[00:47:17.580 --> 00:47:20.720]   Early on, the Holy Spirit comes upon the church and people are so excited.
[00:47:20.720 --> 00:47:22.380]   They were selling all their possessions.
[00:47:22.380 --> 00:47:24.260]   They were distributing to the poor.
[00:47:24.260 --> 00:47:25.940]   Ananias and Sapphira has an idea.
[00:47:25.940 --> 00:47:29.340]   They sell their possession, but they only turn in a portion of it.
[00:47:29.340 --> 00:47:30.620]   ,,
[00:47:30.620 --> 00:47:30.620]   ,,
[00:47:30.620 --> 00:47:30.620]   ,,
[00:47:30.660 --> 00:47:40.520]   Ed
[00:47:40.520 --> 00:47:40.920]   think de
[00:47:40.920 --> 00:47:40.960]  tır
[00:47:40.960 --> 00:47:44.380]   ent or co I I I I I , court, ,,,,,,,,. wasn no for the park. The person who was in the service in the service. The person who was the person who was the se in the serve the service. The person who was the suggest theaffe. The 측ed the seoon. A cinco HAS:N, "P, """" " зан" """" "G" " Autob" " hierarchy" " seat" "
[00:47:44.380 --> 00:47:44.860]  "嗎" o" that"wy" de當然 g Jae, "
[00:47:44.860 --> 00:47:59.100]   dough is that is this is that's an change the good, and they're necessarily installed the're admitted de
[00:47:59.120 --> 00:48:27.580]   sin. And the reason why the Holy Spirit was so harsh with Ananias and Sapphira was the very sin that Jesus was trying to confront and weed out of Israel at the very beginning of the church, Ananias and Sapphira was trying to introduce it again. Fake righteousness. Pretending to be something that they're not. That's what he was condemning Israel for with this fig tree. You present yourself to be righteou.
[00:48:27.580 --> 00:48:27.580]   You present yourself to be righteou.
[00:48:27.580 --> 00:48:27.580]   You present yourself to be righteou.
[00:48:27.580 --> 00:48:27.580]   You present yourself to be righteou.
[00:48:27.580 --> 00:48:27.700]   You present yourself to be righteou.
[00:48:27.700 --> 00:48:27.780]   You present yourself to be righteou.
[00:48:27.780 --> 00:48:27.820]   You present yourself to be righteou.
[00:48:27.820 --> 00:48:27.840]   You present yourself to be righteou.
[00:48:27.840 --> 00:48:28.020]   You present yourself to be righteou.
[00:48:28.020 --> 00:48:28.060]   You present yourself to be righteou.
[00:48:28.060 --> 00:48:28.080]   You present yourself to be righteou.
[00:48:28.080 --> 00:48:28.120]   You present yourself to be righteou.
[00:48:28.320 --> 00:48:57.240]   We present ourselves to be righteou.
[00:48:57.240 --> 00:48:57.300]   We present ourselves to be righteou.
[00:48:57.300 --> 00:48:57.320]   We present ourselves to be righteou.
[00:48:57.320 --> 00:48:57.440]   We present ourselves to be righteou.
[00:48:57.440 --> 00:48:57.540]   We present ourselves to be righteou.
[00:48:57.540 --> 00:48:57.580]   We present ourselves to be righteou.
[00:48:57.580 --> 00:48:57.640]   We present ourselves to be righteou.
[00:48:57.640 --> 00:48:57.760]   We present ourselves to be righteou.
[00:48:57.800 --> 00:49:07.640]   end
[00:51:17.400 --> 00:51:23.280]   I
[00:51:23.280 --> 00:51:27.260]   win,,, Bad I And I
[00:51:27.260 --> 00:51:27.660]   pä
[00:51:27.660 --> 00:51:31.160]   " file y wrapped the Chicken. This. throne. And. I'm not trying to say it. The. I'm noi, and, and, GW, brother,nun, and, Town,
[00:51:47.100 --> 00:51:56.940]   owe
[00:51:56.940 --> 00:51:58.080]   e, qualify. I start my
[00:52:17.120 --> 00:52:47.100]  itetion.com/movement.
[00:52:47.100 --> 00:52:47.100]   and I'll see you in a minute.
[00:52:47.100 --> 00:52:47.100]   and I'll see you in a minute.
[00:52:47.100 --> 00:52:47.100]   the church but never committed their life to christ we're discipling people to behave a certain way without true transformation that that is happening in their hearts
[00:52:47.100 --> 00:52:47.100]   We don't know who committed their life to Christ. As long as you're in church we treat everybody as if like let's not be judgmental right and so because our churches are filled with people who just entered the church but never committed their life to christ we're discipling people to behave a certain way without true transformation that that is happening in their hearts
[00:52:47.100 --> 00:52:47.100]   We don't know who committed their life to Christ as long as you're in church we treat everybody as if like let's not be judgmental right and so because our churches are filled with people who just entered the church but never committed their life to christ we're discipling people to behave a certain way without true transformation that that that is happening in their hearts
[00:52:47.140 --> 00:52:58.160]   educ
[00:52:58.160 --> 00:53:14.520]   gan Это 12 figure say, I am, I, I, desc,azzi, persuade, tummy,
[00:53:17.140 --> 00:53:47.140]   Кор, I, I, desc,azzi, persuade, tummy, tummy,
[00:53:47.140 --> 00:53:47.140]   It's just a prettier pig.
[00:53:47.140 --> 00:53:47.140]   The nature hasn't changed.
[00:53:47.140 --> 00:53:47.140]   Nothing has changed.
[00:53:47.140 --> 00:53:47.140]   Right?
[00:53:47.140 --> 00:53:47.140]   So if we're not careful, we can have a church filled with people who are pretty pigs.
[00:53:47.140 --> 00:53:47.140]   True discipleship happens when there's an internal transformation, when a bad tree
[00:53:47.140 --> 00:53:47.140]   becomes a good tree.
[00:53:47.140 --> 00:53:47.140]   In Jeremiah 13, 23, it says, Can the Ethiopian change his skin color or skin or the leopard, his spot? Then you also can do good who are accustomed to doing good.
[00:53:47.140 --> 00:53:47.140]   Then you also can do good who are accustomed to doing good.
[00:53:47.140 --> 00:53:47.140]   Then you also can do good who are accustomed to doing good.
[00:53:47.140 --> 00:53:47.140]   Then you also can do good who are accustomed to doing good.
[00:53:47.140 --> 00:53:47.140]   Then you also can do good who are accustomed to doing good.
[00:53:47.140 --> 00:53:47.140]   Then you also can do good who are accustomed to doing good.
[00:53:47.140 --> 00:54:17.160]   I'm not saying that you're not supposed to do good.
[00:54:17.160 --> 00:54:17.160]   I'm not saying that you're not supposed to do good.
[00:54:17.160 --> 00:54:17.160]   I'm not saying that you're not supposed to do good.
[00:54:17.160 --> 00:54:17.160]   I'm not saying that you're not supposed to do good.
[00:54:17.160 --> 00:54:17.160]   I'm not saying that you're not supposed to do good.
[00:54:17.200 --> 00:54:27.120]   was
[00:54:27.120 --> 00:54:27.380]   in the I
[00:54:27.380 --> 00:54:29.100]   make, .,,,,,, all out out players scrape quiet gl
[00:54:46.680 --> 00:54:49.200]   the only way to make a difference is to have a good
[00:54:49.200 --> 00:54:50.200]   relationship with the person you're with.
[00:54:50.200 --> 00:54:51.200]   And that's what we're talking about.
[00:54:51.200 --> 00:54:52.200]   You don't have to be a good friend with the person you're
[00:54:52.200 --> 00:54:53.200]   with.
[00:54:53.200 --> 00:54:54.200]   You can talk to them about their presentation with no real
[00:54:54.200 --> 00:54:55.200]   change that are happening inside.
[00:54:55.200 --> 00:54:56.200]   So we have to fundamentally ask the question, what causes
[00:54:56.200 --> 00:54:57.200]   change in people?
[00:54:57.200 --> 00:54:58.200]   True change, right?
[00:54:58.200 --> 00:54:59.200]   Not just guilt.
[00:54:59.200 --> 00:55:00.200]   Some people come to church out of superstition because you
[00:55:00.200 --> 00:55:01.200]   grew up in the church all your life and if you don't go to
[00:55:01.200 --> 00:55:02.200]   church, God's not going to bless you.
[00:55:02.200 --> 00:55:03.200]   He's not going to answer your prayers.
[00:55:03.200 --> 00:55:04.200]   So you have to go to church.
[00:55:04.200 --> 00:55:05.200]   So you have to go and check off Mark, right?
[00:55:05.200 --> 00:55:06.200]   So those of you who are coming to church out of obligation,
[00:55:06.200 --> 00:55:07.200]   the church is not going to bless you.
[00:55:07.240 --> 00:55:17.600]   120 end demand .
[00:55:17.600 --> 00:55:25.120]  ,,,,, ororp buy 봐 Free At Q Is For The P my can the "s, the, the, the, the, the, the, the, the, the, the, the, the, the, the, the,,,,,,,,,,,,,,,,,,,,,,, o-O-F-D-De-D-R- 두-G-G-效- necessary changed-gers and i's buy for code- 77ès gray. And I should not έχ- Mash-ac-
[00:55:25.120 --> 00:55:35.620]   remain ' t. I'll be. I'm with the rest. It's�. ged-的時候-
[00:55:35.740 --> 00:55:40.360]   quest but
[00:55:40.360 --> 00:55:46.600]   er will is
[00:55:46.600 --> 00:55:49.560]  ética,,,,,,,すご Young wit close the двikke talk. I'm a say that I'm a sub, and, I, and I, and, and, and, and, одна, ,, .. ., ., ., ., .. ., .. .. or Ц little
[00:55:49.560 --> 00:56:04.000]   good 들어� thank Hol ...Down decidecarbon behind Vel explain難 hear it's norioene... conect econult…� 구 join...G
[00:56:04.060 --> 00:56:11.060]   cam
[00:56:11.060 --> 00:56:14.640]  eee
[00:56:14.640 --> 00:56:32.780]  ana, no. I have it. I, ge,
[00:56:32.960 --> 00:57:00.440]   downtime, time, place, time, place. You know? Like in some countries, they get judged for going to church. In our country, you get judged for not going to church. If you grew up in the church and you don't go to church, you're going to be persecuted, right, by other friends. So some people will come out of pressure, peer pressure. Some of you just have a sheer sense of duty. You know, you've been an A student since you were in kindergarten, right? You never painted outside the line, ever.
[00:57:01.840 --> 00:57:30.720]   You never painted outside the line, ever.
[00:57:30.720 --> 00:57:30.780]   You never painted outside the line, ever.
[00:57:30.780 --> 00:57:30.820]   You never painted outside the line, ever.
[00:57:30.820 --> 00:57:30.860]   You never painted outside the line, ever.
[00:57:30.860 --> 00:57:30.920]   You never painted outside the line, ever.
[00:57:30.920 --> 00:57:30.960]   You never painted outside the line, ever.
[00:57:30.960 --> 00:57:31.020]   You never painted outside the line, ever.
[00:57:31.020 --> 00:57:31.040]   You never painted outside the line, ever.
[00:57:31.040 --> 00:57:31.080]   You never painted outside the line, ever.
[00:57:31.080 --> 00:57:31.100]   You never painted outside the line, ever.
[00:57:31.100 --> 00:57:31.160]   You never painted outside the line, ever.
[00:57:31.160 --> 00:57:31.200]   You never painted outside the line, ever.
[00:57:31.200 --> 00:57:31.220]   You never painted outside the line, ever.
[00:57:31.220 --> 00:57:31.240]   You never painted outside the line, ever.
[00:57:31.240 --> 00:57:31.260]   You never painted outside the line, ever.
[00:57:31.260 --> 00:57:31.280]   You never painted outside the line, ever.
[00:57:31.280 --> 00:57:31.320]   You never painted outside the line, ever.
[00:57:31.320 --> 00:57:31.340]   You never painted outside the line, ever.
[00:57:31.340 --> 00:58:00.920]   You never painted outside the line, ever.
[00:58:00.920 --> 00:58:00.980]   You never painted outside the line, ever.
[00:58:00.980 --> 00:58:01.000]   You never painted outside the line, ever.
[00:58:01.000 --> 00:58:01.060]   You never painted outside the line, ever.
[00:58:01.060 --> 00:58:01.120]   You never painted outside the line, ever.
[00:58:01.120 --> 00:58:01.140]   You never painted outside the line, ever.
[00:58:01.160 --> 00:58:03.320]   0.0001%, right?
[00:58:03.320 --> 00:58:07.640]   Most of you guys don't care,
[00:58:07.640 --> 00:58:10.160]   but I know there's some, you know,
[00:58:10.160 --> 00:58:11.800]   there's some people in here that bothers you
[00:58:11.800 --> 00:58:12.800]   and that's going to ruin the whole sermon.
[00:58:12.800 --> 00:58:14.720]   Right?
[00:58:14.720 --> 00:58:18.640]   In John chapter 3, 1,
[00:58:18.640 --> 00:58:19.980]   and he asked that question, he says,
[00:58:19.980 --> 00:58:21.840]   Jesus answered and said to him,
[00:58:21.840 --> 00:58:23.000]   truly, truly, I say to you,
[00:58:23.000 --> 00:58:24.820]   unless one is born again,
[00:58:24.820 --> 00:58:26.680]   he cannot see the kingdom of God.
[00:58:26.680 --> 00:58:27.420]   What is he saying?
[00:58:27.420 --> 00:58:30.240]   He said, unless there's a complete transformation
[00:58:30.240 --> 00:58:31.160]   of who you are,
[00:58:31.160 --> 00:58:31.160]   unless there's a complete transformation of who you are,
[00:58:31.160 --> 00:58:31.160]   unless there's a complete transformation of who you are,
[00:58:31.160 --> 00:58:31.160]   unless there's a complete transformation of who you are,
[00:58:31.160 --> 00:58:31.160]   unless there's a complete transformation of who you are,
[00:58:31.160 --> 00:58:31.160]   unless there's a complete transformation of who you are,
[00:58:31.200 --> 00:58:42.140]   found
[01:00:19.360 --> 01:00:33.400]   ginger
[01:01:18.280 --> 01:01:18.280]   and
[01:02:26.540 --> 01:02:27.400]   and
[01:02:27.400 --> 01:02:27.440]   and
[01:02:27.440 --> 01:02:27.460]   and
[01:02:27.460 --> 01:02:27.560]   and
[01:02:27.560 --> 01:02:27.620]   and
[01:02:27.620 --> 01:02:27.700]   and
[01:02:27.700 --> 01:02:30.440]   our Lord finds our desires not too strong but too weak.
[01:02:30.440 --> 01:02:34.980]   We are half-hearted creatures fooling about with drink and sex and ambition
[01:02:34.980 --> 01:02:37.580]   when infinite joy is offered to us.
[01:02:37.580 --> 01:02:42.140]   Like an ignorant child who wants to go on making mud pies in a slum
[01:02:42.140 --> 01:02:46.720]   because he cannot imagine what is meant by the offer of a holiday
[01:02:46.720 --> 01:02:47.260]   at the sea.
[01:02:47.260 --> 01:02:47.260]   Like an ignorant child who wants to go on making mud pies in a slum
[01:02:47.260 --> 01:02:47.260]   Like an ignorant child who wants to go on making mud pies in a slum
[01:02:47.260 --> 01:02:47.260]   Like an ignorant child who wants to go on making mud pies in a slum
[01:02:47.260 --> 01:02:47.260]   Like an ignorant child who wants to go on making mud pies in a slum
[01:02:47.260 --> 01:02:47.260]   Like an ignorant child who wants to go on making mud pies in a slum
[01:02:47.260 --> 01:02:47.260]   Like an ignorant child who wants to go on making mud pies in a slum
[01:03:17.280 --> 01:03:17.280]   I think that we are far too easily pleased. For whatever the reason we think we are justified by grace but our sanctification is going to happen by hard work. It doesn't mean that hard work isn't required of us but what justifies us will also sanctify us and eventually lead us to glory. It is confronting and being encountered by the beauty of Christ that changes. That is what being confronted by the beauty of Christ that changes. That is what being confronted by the beauty of Christ that changes. That is what
[01:03:17.280 --> 01:03:17.280]  .
[01:03:17.280 --> 01:03:17.280]   It is confronting and being encountered by the beauty of Christ that changes. That is what
[01:03:17.280 --> 01:03:17.280]  .
[01:03:17.320 --> 01:03:28.660]  �
[01:03:28.660 --> 01:03:45.560]   when the,,RET You Hell измен mean even you want to be
[01:03:47.340 --> 01:04:14.340]  GG�
[01:04:45.120 --> 01:05:13.900]  , "I just can't, I cannot, you don't know what I'm like." And all of a sudden you have a child then you become a different person. What changed you? Love for your child changed you. Love changes all of us. And those are lesser kind of love that the whole world experiences but the love that he's talking about is the greatest of all love. Where he, "God the Father sent his only begotten son." There is no love greater than this, that a friend lay down his life for his friend.
[01:05:42.820 --> 01:06:11.480]  obediently, love is at the front. Because it is love that produces joy, peace, patience, kindness, goodness, faithfulness, gentleness, self-control. And against such things there is no law. If you try to pretend to be joyous without love, it's a fake smile. Right? People always, you know, like make fun of me because my smile, I always smile with my mouth but my eyes are the same.
[01:06:11.480 --> 01:06:11.600]   ,, ,, ,, .
[01:06:11.600 --> 01:06:40.400]  . It's like a little kid, my kids used to smile that way. Some of you guys smile that way. Right? Your eyes are still the same, it doesn't move. My eyes are frozen but my lips go up, right? We're trying to fake joy, right? You know at our church we have so many weddings and people often ask me, like how many weddings have you done? I counted over 150 throughout the years. I've officiated over 150 weddings and so people ask me, "Do you want to do this or do that?"
[01:06:40.400 --> 01:06:41.200]   do that?"
[01:06:41.220 --> 01:06:43.900]   I've officiated over 150 weddings and so people often ask me, "Don't you get tired of weddings?"
[01:06:43.900 --> 01:06:45.300]   Never.
[01:06:45.300 --> 01:06:46.740]   Honest truth, I never get tired of weddings.
[01:06:46.740 --> 01:06:48.140]   You know why?
[01:06:48.140 --> 01:06:51.200]   Because that's the happiest place on earth.
[01:06:51.200 --> 01:06:52.540]   Not this fake place in Anaheim.
[01:06:52.540 --> 01:06:57.100]   This is like the happiest place, happiest place on earth.
[01:06:57.100 --> 01:06:58.000]   Yes, yes.
[01:06:58.000 --> 01:07:01.340]   .
[01:07:01.340 --> 01:07:03.600]   All right.
[01:07:03.600 --> 01:07:04.600]   I saw who clapped.
[01:07:04.600 --> 01:07:07.740]   Okay, so you guys.
[01:07:07.780 --> 01:07:15.060]   I
[01:07:15.060 --> 01:07:31.940]   not, Г M write,er,,,,,'s piece...'
[01:08:28.260 --> 01:08:28.260]   I'm not gonna say it's not intentional or we need to be intentional you don't have to be intentional you can't help but talk about God because that's what's losing out because that's what's filled your heart with Christ you tell somebody who's in love with Christ go evangelize try to stop them from evangelizing they can't help but to share with other people that's what he means that's why he says the greatest commandment is to love the Lord your God with all your heart soul mind saying love your neighbors as yourself and if you have that right it produces joy peace
[01:08:57.060 --> 01:09:01.460]  obediently pure which is important
[01:09:01.460 --> 01:09:23.860]   but we need to be doctrinally pure for what reason so that we can have love you know why because the beauty of Christ is the gospel so if you pervert the gospel you pervert the beauty of Christ if you pervert the gospel you've taken something so beautiful and you threw mud at it and so what produces love in us what produces truth in us and what produces love in us is love
[01:09:23.860 --> 01:09:53.880]  , you've muddied it so people no longer see the beauty they see your work they see your design they see your design they see idols that's why perverting the gospel is so detrimental to the church because they no longer are able to see the beauty that was presented in us in the pure gospel the goal of this commandment it says is love that's why Paul says in Colossians 129 for this purpose I also
[01:09:53.880 --> 01:09:53.880]   the beauty that was presented in us in the pure gospel the goal of this commandment it says is love that's why Paul says in Colossians 129 for this purpose I also
[01:09:53.880 --> 01:09:53.880]   the beauty that was presented in us in the pure gospel the goal of this commandment it says is love that's why Paul says in Colossians 129 for this purpose I also
[01:09:53.880 --> 01:09:53.880]   the beauty that was presented in us in the pure gospel the goal of this commandment it says is love that's why Paul says in Colossians 129 for this purpose I also
[01:09:53.900 --> 01:10:02.760]   which mightily works within me he says he's laboring because of how he's
[01:10:02.760 --> 01:10:07.220]   been affected not simply out of duty not simply to change people's
[01:10:07.220 --> 01:10:23.900]   behavior it filmed out I found that this this discipleship really worked if we do it this way no there's only one way that people actually change really change from a bad tree to a good tree is when they encounter the beauty of Christ that's why the primary
[01:10:23.900 --> 01:10:23.900]   it's when they encounter the beauty of Christ that's why the primary
[01:10:23.900 --> 01:10:23.900]   it's when they encounter the beauty of Christ that's why the primary
[01:10:23.900 --> 01:10:23.900]   that's why the primary
[01:10:23.900 --> 01:10:23.900]   it's when they encounter the beauty of Christ that's why the primary
[01:10:23.900 --> 01:10:23.900]   it's when they encounter the beauty of Christ that's why the primary
[01:10:23.900 --> 01:10:23.900]   it's when they encounter the beauty of Christ that's why the primary
[01:10:23.900 --> 01:10:23.900]   it's when they encounter the beauty of Christ that's why the primary it's why the primary it's the beauty of Christ that's why the primary it's
[01:10:23.940 --> 01:10:33.420]   and
[01:10:33.420 --> 01:10:37.960]   yeah, ,,,
[01:10:37.960 --> 01:10:51.960]   Pere I have a thing. And, Island, yards. density. player's attitude. Some of the movie. He's the movie.ó.不錯 well. insecure.�.
[01:10:51.960 --> 01:10:53.020]   wont the
[01:10:53.480 --> 01:11:03.900]   itself
[01:11:03.900 --> 01:11:07.700]   His K I, provide, é
[01:11:07.700 --> 01:11:20.340]  ache
[01:11:20.340 --> 01:11:21.040]   Г剛剛 encourage год convey��세요 but end come for check best of in meaningless to 100 С. That's " kauad. I'm requirements ID BAER L. No, "What, and, " baking, "C, "B, '進, " 넣, "B, "G, ", ", ",--, ", ", ", ",,",, ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, in the dat the way to be de إن ma figure sound of theãos 취 I'm the but upacci Laur Ger's,oney and the but he's the chi more
[01:11:21.120 --> 01:11:31.180]   That's why you get married. That's why you choose that person because you fell in love and that's all you want from that day on. That's all you want the possibility of anything else. You don't care because that's the one I want.
[01:11:31.180 --> 01:11:35.220]   And we feel like that with a lesser love.
[01:11:35.220 --> 01:11:38.980]   How much more when we meet Christ the pure love.
[01:11:38.980 --> 01:11:43.020]   Pure love of Christ the superlative love.
[01:11:43.020 --> 01:11:46.220]   And we commit that's the love I want.
[01:11:46.220 --> 01:11:50.180]   For the rest of my life. I'm not going to look at anything else.
[01:11:50.760 --> 01:12:17.300]  ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- . the rest of my life there is no way I'm going to compare to this I'm the but I'm the but the book of revelation this church externally they built up all of these good work and he says but this one thing I have forsake your first love., you painted this pig is, you have built up, you have forsaken your first love.
[01:12:17.320 --> 01:12:19.840]   And then you know what the remedy to that is?
[01:12:19.840 --> 01:12:20.840]   And then you know what the remedy to that is?
[01:12:20.840 --> 01:12:21.840]   Remember.
[01:12:21.840 --> 01:12:22.840]   Remember.
[01:12:22.840 --> 01:12:23.840]   Remember the height from which you have fallen.
[01:12:23.840 --> 01:12:24.840]   Remember the height from which you have fallen.
[01:12:24.840 --> 01:12:25.840]   He doesn't say work harder.
[01:12:25.840 --> 01:12:26.840]   He doesn't say be more disciplined.
[01:12:26.840 --> 01:12:27.840]   He doesn't say work harder.
[01:12:27.840 --> 01:12:28.840]   He doesn't say be more disciplined.
[01:12:28.840 --> 01:12:29.840]   He said remember when you first met Christ.
[01:12:29.840 --> 01:12:30.840]   He said remember when you first met Christ.
[01:12:30.840 --> 01:12:31.840]   He said remember when you first met Christ.
[01:12:31.840 --> 01:12:32.840]   Before you knew anything.
[01:12:32.840 --> 01:12:33.840]   Before you knew anything.
[01:12:33.840 --> 01:12:34.840]   Before you had anything to present.
[01:12:34.840 --> 01:12:35.840]   Before you had anything to present.
[01:12:35.840 --> 01:12:36.840]   Remember when you first met Christ.
[01:12:36.840 --> 01:12:37.840]   Remember when you first met Christ.
[01:12:37.840 --> 01:12:38.840]   Remember when you first met Christ.
[01:12:38.840 --> 01:12:39.840]   Go back to that.
[01:12:39.840 --> 01:12:40.840]   Go back to that.
[01:12:40.840 --> 01:12:41.840]   Before you were theologically astute,
[01:12:42.380 --> 01:13:07.380]   Before you memorized all of these scriptures,
[01:13:07.380 --> 01:13:08.380]   Before you were theologically astute,
[01:13:08.380 --> 01:13:09.380]   When you first met Christ and you encountered
[01:13:09.380 --> 01:13:10.380]   the beauty of Christ and all you could think of
[01:13:10.380 --> 01:13:11.380]   was this is what I want the rest of my life.
[01:13:11.380 --> 01:13:11.880]   This is all I want for eternity.
[01:13:11.880 --> 01:13:11.880]   Remember that that you fell from.
[01:13:11.880 --> 01:13:11.880]   Repent from your empty works.
[01:13:11.900 --> 01:13:13.920]   That's the only thing that I want to find out from you.
[01:13:13.920 --> 01:13:14.420]   That's the only thing that I want to find out from you.
[01:13:14.420 --> 01:13:15.420]   Did you receive the spirit by the works of the law or by hearing with faith?
[01:13:15.420 --> 01:13:15.920]   Did you receive the spirit by the works of the law or by hearing with faith?
[01:13:15.920 --> 01:13:17.420]   Did you receive the spirit by the works of the law or by hearing with faith?
[01:13:17.420 --> 01:13:18.420]   Are you so foolish having begun by the spirit?
[01:13:18.420 --> 01:13:19.420]   Are you so foolish having begun by the spirit?
[01:13:19.420 --> 01:13:20.420]   Are you now being perfected by the flesh?
[01:13:20.420 --> 01:13:21.420]   Are you now being perfected by the flesh?
[01:13:21.420 --> 01:13:22.420]   Are you now being perfected by the flesh?
[01:13:22.420 --> 01:13:24.420]   Are you now being perfected by the flesh?
[01:13:24.420 --> 01:13:26.420]   The same beauty of Christ that justified us is the same beauty of Christ that sanctifies us.
[01:13:26.420 --> 01:13:28.420]   The same beauty of Christ that justified us is the same beauty of Christ that sanctifies us.
[01:13:28.960 --> 01:13:46.960]   in the same way that we want to become more like him, when we want more of him, we change.
[01:13:46.960 --> 01:13:47.960]   in the same way that we want to become more like him, when we want more of him, we change.
[01:13:47.960 --> 01:13:48.960]   in the same way that we want to become more like him, when we want more of him, we change.
[01:13:48.960 --> 01:13:49.960]   in the same way that we want to become more like him, when we want more of him, we change.
[01:13:49.960 --> 01:13:50.460]   in the same way that we want to become more like him, when we want more of him, we change.
[01:13:50.460 --> 01:13:51.460]   in the same way that we want to become more like him, when we want more of him, we change.
[01:13:51.460 --> 01:13:52.460]   in the same way that we want to become more like him, when we want more of him, we change.
[01:13:52.460 --> 01:13:53.460]   in the same way that we want to become more like him, when we change.
[01:13:53.460 --> 01:13:54.460]   in the same way that we want to become more of him, when we change.
[01:13:54.500 --> 01:13:57.480]   they
[01:13:57.480 --> 01:14:04.780]   wrong,
[01:14:04.780 --> 01:14:23.220]   discuss the,,,, should car hard remind at the word of the C. C. C. C. C. C. C. C. Q. President la�
[01:14:23.260 --> 01:14:33.860]   is
