
[00:00:00.000 --> 00:00:29.980]   . . . .
[00:25:08.580 --> 00:25:09.580]   God is gracious near the Lord I retreat
[00:25:09.580 --> 00:25:10.580]   God is gracious near the Lord I retreat
[00:25:10.580 --> 00:25:11.580]   God is gracious near the Lord I retreat
[00:25:11.580 --> 00:25:13.580]   God is gracious near the Lord I retreat
[00:25:13.580 --> 00:25:14.580]   God is gracious near the Lord I retreat
[00:25:14.580 --> 00:25:15.580]   God is gracious near the Lord I retreat
[00:25:15.580 --> 00:25:16.580]   God is gracious near the Lord I retreat
[00:25:16.580 --> 00:25:18.580]   God is gracious near the Lord I retreat
[00:25:18.580 --> 00:25:19.580]   God is gracious near the Lord I retreat
[00:25:19.580 --> 00:25:20.580]   God is gracious near the Lord I retreat
[00:25:20.580 --> 00:25:21.580]   God is gracious near the Lord I retreat
[00:25:21.580 --> 00:25:22.580]   God is gracious near the Lord I retreat
[00:25:22.580 --> 00:25:23.580]   God is gracious near the Lord I retreat
[00:25:23.580 --> 00:25:24.580]   God is gracious near the Lord I retreat
[00:25:24.580 --> 00:25:25.580]   God is gracious near the Lord I retreat
[00:25:25.580 --> 00:25:26.580]   God is gracious near the Lord I retreat
[00:25:26.580 --> 00:25:27.580]   God is gracious near the Lord I retreat
[00:25:27.580 --> 00:25:28.580]   God is gracious near the Lord I retreat
[00:25:28.580 --> 00:25:29.580]   God is gracious near the Lord I retreat
[00:25:29.580 --> 00:25:30.580]   God is gracious near the Lord I retreat
[00:25:30.580 --> 00:25:31.580]   God is gracious near the Lord I retreat
[00:25:31.580 --> 00:25:32.580]   God is gracious near the Lord I retreat
[00:25:32.580 --> 00:25:33.580]   God is gracious near the Lord I retreat
[00:25:33.580 --> 00:25:34.580]   God is gracious near the Lord I retreat
[00:25:34.580 --> 00:25:36.580]   God is gracious near the Lord I retreat
[00:25:36.580 --> 00:25:37.580]   God is gracious near the Lord I retreat
[00:25:37.580 --> 00:25:39.580]   God is gracious near the Lord I retreat
[00:25:39.580 --> 00:25:41.580]   God is gracious near the Lord I retreat
[00:25:41.580 --> 00:25:42.580]   God is gracious near the Lord I retreat
[00:25:42.580 --> 00:25:43.580]   God is gracious near the Lord I retreat
[00:25:43.580 --> 00:25:44.580]   God is gracious near the Lord I retreat
[00:25:44.580 --> 00:25:45.580]   God is gracious near the Lord I retreat
[00:25:45.580 --> 00:25:46.580]   God is gracious near the Lord I retreat
[00:25:46.580 --> 00:25:47.580]   God is gracious near the Lord I retreat
[00:25:47.580 --> 00:25:48.580]   God is gracious near the Lord I retreat
[00:25:48.580 --> 00:25:49.580]   God is gracious near the Lord I retreat
[00:25:49.580 --> 00:25:50.580]   God is gracious near the Lord I retreat
[00:25:50.580 --> 00:25:51.580]   God is gracious near the Lord I retreat
[00:25:51.580 --> 00:25:52.580]   God is gracious near the Lord I retreat
[00:25:52.580 --> 00:25:53.580]   God is gracious near the Lord I retreat
[00:25:53.580 --> 00:25:54.580]   God is gracious near the Lord I retreat
[00:25:54.580 --> 00:25:55.580]   God is gracious near the Lord I retreat
[00:25:55.580 --> 00:25:56.580]   God is gracious near the Lord I retreat
[00:25:56.580 --> 00:25:58.580]   God is gracious near the Lord I retreat
[00:25:58.580 --> 00:25:59.580]   God is gracious near the Lord I retreat
[00:25:59.580 --> 00:26:00.580]   God is gracious near the Lord I retreat
[00:26:00.580 --> 00:26:01.580]   God is gracious near the Lord I retreat
[00:26:01.580 --> 00:26:02.580]   God is gracious near the Lord I retreat
[00:26:02.580 --> 00:26:03.580]   God is gracious near the Lord I retreat
[00:26:03.580 --> 00:26:04.580]   God is gracious near the Lord I retreat
[00:26:04.580 --> 00:26:05.580]   God is gracious near the Lord I retreat
[00:26:05.580 --> 00:26:06.580]   God is gracious near the Lord I retreat
[00:26:06.580 --> 00:26:07.580]   God is gracious near the Lord I retreat
[00:26:07.580 --> 00:26:08.580]   God is gracious near the Lord I retreat
[00:26:08.580 --> 00:26:09.580]   God is gracious near the Lord I retreat
[00:26:09.580 --> 00:26:10.580]   God is gracious near the Lord I retreat
[00:26:10.580 --> 00:26:11.580]   God is gracious near the Lord I retreat
[00:26:11.580 --> 00:26:12.580]   God is gracious near the Lord I retreat
[00:26:12.580 --> 00:26:13.580]   God is gracious near the Lord I retreat
[00:26:13.580 --> 00:26:14.580]   God is gracious near the Lord I retreat
[00:26:14.580 --> 00:26:15.580]   God is gracious near the Lord I retreat
[00:26:15.580 --> 00:26:16.580]   God is gracious near the Lord I retreat
[00:26:16.580 --> 00:26:17.580]   God is gracious near the Lord I retreat
[00:26:17.580 --> 00:26:18.580]   God is gracious near the Lord I retreat
[00:26:18.580 --> 00:26:19.580]   God is gracious near the Lord I retreat
[00:26:19.580 --> 00:26:21.580]   God is gracious near the Lord I retreat
[00:26:21.580 --> 00:26:22.580]   God is gracious near the Lord I retreat
[00:26:22.580 --> 00:26:23.580]   God is gracious near the Lord I retreat
[00:26:23.580 --> 00:26:25.580]   God is gracious near the Lord I retreat
[00:26:25.580 --> 00:26:27.580]   God is gracious near the Lord I retreat
[00:26:27.580 --> 00:26:28.580]   God is gracious near the Lord I retreat
[00:26:28.580 --> 00:26:29.580]   God is gracious near the Lord I retreat
[00:26:29.580 --> 00:26:30.580]   God is gracious near the Lord I retreat
[00:26:30.580 --> 00:26:31.580]   God is gracious near the Lord I retreat
[00:26:31.580 --> 00:26:32.580]   God is gracious near the Lord I retreat
[00:26:32.580 --> 00:26:33.580]   God is gracious near the Lord I retreat
[00:26:33.580 --> 00:26:34.580]   God is gracious near the Lord I retreat
[00:26:34.580 --> 00:26:35.580]   God is gracious near the Lord I retreat
[00:26:35.580 --> 00:26:36.580]   God is gracious near the Lord I retreat
[00:26:36.580 --> 00:26:37.580]   God is gracious near the Lord I retreat
[00:26:37.580 --> 00:26:38.580]   God is gracious near the Lord I retreat
[00:26:38.580 --> 00:26:39.580]   God is gracious near the Lord I retreat
[00:26:39.580 --> 00:26:40.580]   God is gracious near the Lord I retreat
[00:26:40.580 --> 00:26:41.580]   God is gracious near the Lord I retreat
[00:26:41.580 --> 00:26:42.580]   God is gracious near the Lord I retreat
[00:26:42.580 --> 00:26:43.580]   God is gracious near the Lord I retreat
[00:26:43.580 --> 00:26:45.580]   God is gracious near the Lord I retreat
[00:26:45.580 --> 00:26:46.580]   God is gracious near the Lord I retreat
[00:26:46.580 --> 00:26:48.580]   God is gracious near the Lord I retreat
[00:26:48.580 --> 00:26:50.580]   God is gracious near the Lord I retreat
[00:26:50.580 --> 00:26:51.580]   God is gracious near the Lord I retreat
[00:26:51.580 --> 00:26:52.580]   God is gracious near the Lord I retreat
[00:26:52.580 --> 00:26:53.580]   God is gracious near the Lord I retreat
[00:26:53.580 --> 00:26:54.580]   God is gracious near the Lord I retreat
[00:26:54.580 --> 00:26:55.580]   God is gracious near the Lord I retreat
[00:26:55.580 --> 00:26:56.580]   God is gracious near the Lord I retreat
[00:26:56.580 --> 00:26:57.580]   God is gracious near the Lord I retreat
[00:26:57.580 --> 00:26:58.580]   God is gracious near the Lord I retreat
[00:26:58.580 --> 00:26:59.580]   God is gracious near the Lord I retreat
[00:26:59.580 --> 00:27:00.580]   God is gracious near the Lord I retreat
[00:27:00.580 --> 00:27:01.580]   God is gracious near the Lord I retreat
[00:27:01.580 --> 00:27:02.580]   God is gracious near the Lord I retreat
[00:27:02.580 --> 00:27:03.580]   God is gracious near the Lord I retreat
[00:27:03.580 --> 00:27:04.580]   God is gracious near the Lord I retreat
[00:27:04.580 --> 00:27:05.580]   God is gracious near the Lord I retreat
[00:27:05.580 --> 00:27:06.580]   God is gracious near the Lord I retreat
[00:27:06.580 --> 00:27:08.580]   God is gracious near the Lord I retreat
[00:27:08.580 --> 00:27:09.580]   God is gracious near the Lord I retreat
[00:27:09.580 --> 00:27:11.580]   God is gracious near the Lord I retreat
[00:27:11.580 --> 00:27:13.580]   God is gracious near the Lord I retreat
[00:27:13.580 --> 00:27:14.580]   God is gracious near the Lord I retreat
[00:27:14.580 --> 00:27:15.580]   God is gracious near the Lord I retreat
[00:27:15.580 --> 00:27:16.580]   God is gracious near the Lord I retreat
[00:27:16.580 --> 00:27:17.580]   God is gracious near the Lord I retreat
[00:27:17.580 --> 00:27:18.580]   God is gracious near the Lord I retreat
[00:27:18.580 --> 00:27:19.580]   God is gracious near the Lord I retreat
[00:27:19.580 --> 00:27:20.580]   God is gracious near the Lord I retreat
[00:27:20.580 --> 00:27:21.580]   God is gracious near the Lord I retreat
[00:27:21.580 --> 00:27:22.580]   God is gracious near the Lord I retreat
[00:27:22.580 --> 00:27:23.580]   God is gracious near the Lord I retreat
[00:27:23.580 --> 00:27:24.580]   God is gracious near the Lord I retreat
[00:27:24.580 --> 00:27:25.580]   God is gracious near the Lord I retreat
[00:27:25.580 --> 00:27:26.580]   God is gracious near the Lord I retreat
[00:27:26.580 --> 00:27:27.580]   God is gracious near the Lord I retreat
[00:27:27.580 --> 00:27:28.580]   God is gracious near the Lord I retreat
[00:27:28.580 --> 00:27:29.580]   God is gracious near the Lord I retreat
[00:27:29.580 --> 00:27:30.580]   God is gracious near the Lord I retreat
[00:27:30.580 --> 00:27:32.580]   God is gracious near the Lord I retreat
[00:27:32.580 --> 00:27:34.580]   God is gracious near the Lord I retreat
[00:27:34.580 --> 00:27:36.580]   God is gracious near the Lord I retreat
[00:27:36.580 --> 00:27:37.580]   God is gracious near the Lord I retreat
[00:27:37.580 --> 00:27:38.580]   God is gracious near the Lord I retreat
[00:27:38.580 --> 00:27:39.580]   God is gracious near the Lord I retreat
[00:27:39.580 --> 00:27:40.580]   God is gracious near the Lord I retreat
[00:27:40.580 --> 00:27:41.580]   God is gracious near the Lord I retreat
[00:27:41.580 --> 00:27:42.580]   God is gracious near the Lord I retreat
[00:27:42.580 --> 00:27:43.580]   God is gracious near the Lord I retreat
[00:27:43.580 --> 00:27:44.580]   God is gracious near the Lord I retreat
[00:27:44.580 --> 00:27:45.580]   God is gracious near the Lord I retreat
[00:27:45.580 --> 00:27:46.580]   God is gracious near the Lord I retreat
[00:27:46.580 --> 00:27:47.580]   God is gracious near the Lord I retreat
[00:27:47.580 --> 00:27:48.580]   God is gracious near the Lord I retreat
[00:27:48.580 --> 00:27:49.580]   God is gracious near the Lord I retreat
[00:27:49.580 --> 00:27:50.580]   God is gracious near the Lord I retreat
[00:27:50.580 --> 00:27:51.580]   God is gracious near the Lord I retreat
[00:27:51.580 --> 00:27:52.580]   God is gracious near the Lord I retreat
[00:27:52.580 --> 00:27:53.580]   God is gracious near the Lord I retreat
[00:27:53.580 --> 00:27:55.580]   God is gracious near the Lord I retreat
[00:27:55.580 --> 00:27:57.580]   God is gracious near the Lord I retreat
[00:27:57.580 --> 00:27:59.580]   God is gracious near the Lord I retreat
[00:27:59.580 --> 00:28:00.580]   God is gracious near the Lord I retreat
[00:28:00.580 --> 00:28:01.580]   God is gracious near the Lord I retreat
[00:28:01.580 --> 00:28:02.580]   God is gracious near the Lord I retreat
[00:28:02.580 --> 00:28:03.580]   God is gracious near the Lord I retreat
[00:28:03.580 --> 00:28:04.580]   God is gracious near the Lord I retreat
[00:28:04.580 --> 00:28:05.580]   God is gracious near the Lord I retreat
[00:28:05.580 --> 00:28:06.580]   God is gracious near the Lord I retreat
[00:28:06.580 --> 00:28:07.580]   God is gracious near the Lord I retreat
[00:28:07.580 --> 00:28:08.580]   God is gracious near the Lord I retreat
[00:28:08.580 --> 00:28:09.580]   God is gracious near the Lord I retreat
[00:28:09.580 --> 00:28:10.580]   God is gracious near the Lord I retreat
[00:28:10.580 --> 00:28:11.580]   God is gracious near the Lord I retreat
[00:28:11.580 --> 00:28:12.580]   God is gracious near the Lord I retreat
[00:28:12.580 --> 00:28:13.580]   God is gracious near the Lord I retreat
[00:28:13.580 --> 00:28:14.580]   God is gracious near the Lord I retreat
[00:28:14.580 --> 00:28:15.580]   God is gracious near the Lord I retreat
[00:28:15.580 --> 00:28:16.580]   God is gracious near the Lord I retreat
[00:28:16.580 --> 00:28:18.580]   God is gracious near the Lord I retreat
[00:28:18.580 --> 00:28:20.580]   God is gracious near the Lord I retreat
[00:28:20.580 --> 00:28:22.580]   God is gracious near the Lord I retreat
[00:28:22.580 --> 00:28:23.580]   God is gracious near the Lord I retreat
[00:28:23.580 --> 00:28:24.580]   God is gracious near the Lord I retreat
[00:28:24.580 --> 00:28:25.580]   God is gracious near the Lord I retreat
[00:28:25.580 --> 00:28:26.580]   God is gracious near the Lord I retreat
[00:28:26.580 --> 00:28:27.580]   God is gracious near the Lord I retreat
[00:28:27.580 --> 00:28:28.580]   God is gracious near the Lord I retreat
[00:28:28.580 --> 00:28:29.580]   God is gracious near the Lord I retreat
[00:28:29.580 --> 00:28:30.580]   God is gracious near the Lord I retreat
[00:28:30.580 --> 00:28:31.580]   God is gracious near the Lord I retreat
[00:28:31.580 --> 00:28:32.580]   God is gracious near the Lord I retreat
[00:28:32.580 --> 00:28:33.580]   God is gracious near the Lord I retreat
[00:28:33.580 --> 00:28:34.580]   God is gracious near the Lord I retreat
[00:28:34.580 --> 00:28:35.580]   God is gracious near the Lord I retreat
[00:28:35.580 --> 00:28:36.580]   God is gracious near the Lord I retreat
[00:28:36.580 --> 00:28:37.580]   God is gracious near the Lord I retreat
[00:28:37.580 --> 00:28:38.580]   God is gracious near the Lord I retreat
[00:28:38.580 --> 00:28:39.580]   God is gracious near the Lord I retreat
[00:28:39.580 --> 00:28:41.580]   God is gracious near the Lord I retreat
[00:28:41.580 --> 00:28:43.580]   God is gracious near the Lord I retreat
[00:28:43.580 --> 00:28:45.580]   God is gracious near the Lord I retreat
[00:28:45.580 --> 00:28:46.580]   God is gracious near the Lord I retreat
[00:28:46.580 --> 00:28:47.580]   God is gracious near the Lord I retreat
[00:28:47.580 --> 00:28:48.580]   God is gracious near the Lord I retreat
[00:28:48.580 --> 00:28:49.580]   God is gracious near the Lord I retreat
[00:28:49.580 --> 00:28:50.580]   God is gracious near the Lord I retreat
[00:28:50.580 --> 00:28:51.580]   God is gracious near the Lord I retreat
[00:28:51.580 --> 00:28:52.580]   God is gracious near the Lord I retreat
[00:28:52.580 --> 00:28:53.580]   God is gracious near the Lord I retreat
[00:28:53.580 --> 00:28:54.580]   God is gracious near the Lord I retreat
[00:28:54.580 --> 00:28:55.580]   God is gracious near the Lord I retreat
[00:28:55.580 --> 00:28:56.580]   God is gracious near the Lord I retreat
[00:28:56.580 --> 00:28:57.580]   God is gracious near the Lord I retreat
[00:28:57.580 --> 00:28:58.580]   God is gracious near the Lord I retreat
[00:28:58.580 --> 00:28:59.580]   God is gracious near the Lord I retreat
[00:28:59.580 --> 00:29:00.580]   God is gracious near the Lord I retreat
[00:29:00.580 --> 00:29:01.580]   God is gracious near the Lord I retreat
[00:29:01.580 --> 00:29:03.580]   God is gracious near the Lord I retreat
[00:29:03.580 --> 00:29:04.580]   God is gracious near the Lord I retreat
[00:29:04.580 --> 00:29:06.580]   God is gracious near the Lord I retreat
[00:29:06.580 --> 00:29:08.580]   God is gracious near the Lord I retreat
[00:29:08.580 --> 00:29:09.580]   God is gracious near the Lord I retreat
[00:29:09.580 --> 00:29:10.580]   God is gracious near the Lord I retreat
[00:29:10.580 --> 00:29:11.580]   God is gracious near the Lord I retreat
[00:29:11.580 --> 00:29:12.580]   God is gracious near the Lord I retreat
[00:29:12.580 --> 00:29:13.580]   God is gracious near the Lord I retreat
[00:29:13.580 --> 00:29:14.580]   God is gracious near the Lord I retreat
[00:29:14.580 --> 00:29:15.580]   God is gracious near the Lord I retreat
[00:29:15.580 --> 00:29:16.580]   God is gracious near the Lord I retreat
[00:29:16.580 --> 00:29:17.580]   God is gracious near the Lord I retreat
[00:29:17.580 --> 00:29:18.580]   God is gracious near the Lord I retreat
[00:29:18.580 --> 00:29:19.580]   God is gracious near the Lord I retreat
[00:29:19.580 --> 00:29:20.580]   God is gracious near the Lord I retreat
[00:29:20.580 --> 00:29:21.580]   God is gracious near the Lord I retreat
[00:29:21.580 --> 00:29:22.580]   God is gracious near the Lord I retreat
[00:29:22.580 --> 00:29:23.580]   God is gracious near the Lord I retreat
[00:29:23.580 --> 00:29:24.580]   God is gracious near the Lord I retreat
[00:29:24.580 --> 00:29:25.580]   God is gracious near the Lord I retreat
[00:29:25.580 --> 00:29:26.580]   God is gracious near the Lord I retreat
[00:29:26.580 --> 00:29:27.580]   God is gracious near the Lord I retreat
[00:29:27.580 --> 00:29:29.580]   God is gracious near the Lord I retreat
[00:29:29.580 --> 00:29:31.580]   God is gracious near the Lord I retreat
[00:29:31.580 --> 00:29:32.580]   God is gracious near the Lord I retreat
[00:29:32.580 --> 00:29:33.580]   God is gracious near the Lord I retreat
[00:29:33.580 --> 00:29:34.580]   God is gracious near the Lord I retreat
[00:29:34.580 --> 00:29:35.580]   God is gracious near the Lord I retreat
[00:29:35.580 --> 00:29:36.580]   God is gracious near the Lord I retreat
[00:29:36.580 --> 00:29:37.580]   God is gracious near the Lord I retreat
[00:29:37.580 --> 00:29:38.580]   God is gracious near the Lord I retreat
[00:29:38.580 --> 00:29:39.580]   God is gracious near the Lord I retreat
[00:29:39.580 --> 00:29:40.580]   God is gracious near the Lord I retreat
[00:29:40.580 --> 00:29:41.580]   God is gracious near the Lord I retreat
[00:29:41.580 --> 00:29:42.580]   God is gracious near the Lord I retreat
[00:29:42.580 --> 00:29:43.580]   God is gracious near the Lord I retreat
[00:29:43.580 --> 00:29:44.580]   God is gracious near the Lord I retreat
[00:29:44.580 --> 00:29:45.580]   God is gracious near the Lord I retreat
[00:29:45.580 --> 00:29:46.580]   God is gracious near the Lord I retreat
[00:29:46.580 --> 00:29:47.580]   God is gracious near the Lord I retreat
[00:29:47.580 --> 00:29:48.580]   God is gracious near the Lord I retreat
[00:29:48.580 --> 00:29:49.580]   God is gracious near the Lord I retreat
[00:29:49.580 --> 00:29:50.580]   God is gracious near the Lord I retreat
[00:29:50.580 --> 00:29:52.580]   God is gracious near the Lord I retreat
[00:29:52.580 --> 00:29:53.580]   God is gracious near the Lord I retreat
[00:29:53.580 --> 00:29:54.580]   God is gracious near the Lord I retreat
[00:29:54.580 --> 00:29:55.580]   God is gracious near the Lord I retreat
[00:29:55.580 --> 00:29:56.580]   God is gracious near the Lord I retreat
[00:29:56.580 --> 00:29:57.580]   God is gracious near the Lord I retreat
[00:29:57.580 --> 00:29:58.580]   God is gracious near the Lord I retreat
[00:29:58.580 --> 00:29:59.580]   God is gracious near the Lord I retreat
[00:29:59.580 --> 00:30:00.580]   God is gracious near the Lord I retreat
[00:30:00.580 --> 00:30:01.580]   God is gracious near the Lord I retreat
[00:30:01.580 --> 00:30:02.580]   God is gracious near the Lord I retreat
[00:30:02.580 --> 00:30:03.580]   God is gracious near the Lord I retreat
[00:30:03.580 --> 00:30:04.580]   God is gracious near the Lord I retreat
[00:30:04.580 --> 00:30:05.580]   God is gracious near the Lord I retreat
[00:30:05.580 --> 00:30:06.580]   God is gracious near the Lord I retreat
[00:30:06.580 --> 00:30:07.580]   God is gracious near the Lord I retreat
[00:30:07.580 --> 00:30:08.580]   God is gracious near the Lord I retreat
[00:30:08.580 --> 00:30:09.580]   God is gracious near the Lord I retreat
[00:30:09.580 --> 00:30:10.580]   God is gracious near the Lord I retreat
[00:30:10.580 --> 00:30:11.580]   God is gracious near the Lord I retreat
[00:30:11.580 --> 00:30:13.580]   God is gracious near the Lord I retreat
[00:30:13.580 --> 00:30:15.580]   God is gracious near the Lord I retreat
[00:30:15.580 --> 00:30:17.580]   God is gracious near the Lord I retreat
[00:30:17.580 --> 00:30:18.580]   God is gracious near the Lord I retreat
[00:30:18.580 --> 00:30:19.580]   God is gracious near the Lord I retreat
[00:30:19.580 --> 00:30:21.580]   God is gracious near the Lord I retreat
[00:30:21.580 --> 00:30:22.580]   God is gracious near the Lord I retreat
[00:30:22.580 --> 00:30:23.580]   God is gracious near the Lord I retreat
[00:30:23.580 --> 00:30:24.580]   God is gracious near the Lord I retreat
[00:30:24.580 --> 00:30:25.580]   God is gracious near the Lord I retreat
[00:30:25.580 --> 00:30:26.580]   God is gracious near the Lord I retreat
[00:30:26.580 --> 00:30:27.580]   God is gracious near the Lord I retreat
[00:30:27.580 --> 00:30:28.580]   God is gracious near the Lord I retreat
[00:30:28.580 --> 00:30:29.580]   God is gracious near the Lord I retreat
[00:30:29.580 --> 00:30:30.580]   God is gracious near the Lord I retreat
[00:30:30.580 --> 00:30:31.580]   God is gracious near the Lord I retreat
[00:30:31.580 --> 00:30:32.580]   God is gracious near the Lord I retreat
[00:30:32.580 --> 00:30:33.580]   God is gracious near the Lord I retreat
[00:30:33.580 --> 00:30:34.580]   God is gracious near the Lord I retreat
[00:30:34.580 --> 00:30:35.580]   God is gracious near the Lord I retreat
[00:30:35.580 --> 00:30:36.580]   God is gracious near the Lord I retreat
[00:30:36.580 --> 00:30:37.580]   God is gracious near the Lord I retreat
[00:30:37.580 --> 00:30:38.580]   God is gracious near the Lord I retreat
[00:30:38.580 --> 00:30:40.580]   God is gracious near the Lord I retreat
[00:30:40.580 --> 00:30:41.580]   God is gracious near the Lord I retreat
[00:30:41.580 --> 00:30:42.580]   God is gracious near the Lord I retreat
[00:30:42.580 --> 00:30:43.580]   God is gracious near the Lord I retreat
[00:30:43.580 --> 00:30:44.580]   God is gracious near the Lord I retreat
[00:30:44.580 --> 00:30:45.580]   God is gracious near the Lord I retreat
[00:30:45.580 --> 00:30:46.580]   God is gracious near the Lord I retreat
[00:30:46.580 --> 00:30:47.580]   God is gracious near the Lord I retreat
[00:30:47.580 --> 00:30:48.580]   God is gracious near the Lord I retreat
[00:30:48.580 --> 00:30:49.580]   God is gracious near the Lord I retreat
[00:30:49.580 --> 00:30:50.580]   God is gracious near the Lord I retreat
[00:30:50.580 --> 00:30:51.580]   God is gracious near the Lord I retreat
[00:30:51.580 --> 00:30:52.580]   God is gracious near the Lord I retreat
[00:30:52.580 --> 00:30:53.580]   God is gracious near the Lord I retreat
[00:30:53.580 --> 00:30:54.580]   God is gracious near the Lord I retreat
[00:30:54.580 --> 00:30:55.580]   God is gracious near the Lord I retreat
[00:30:55.580 --> 00:30:56.580]   God is gracious near the Lord I retreat
[00:30:56.580 --> 00:30:57.580]   God is gracious near the Lord I retreat
[00:30:57.580 --> 00:30:58.580]   God is gracious near the Lord I retreat
[00:30:58.580 --> 00:30:59.580]   God is gracious near the Lord I retreat
[00:30:59.580 --> 00:31:01.580]   God is gracious near the Lord I retreat
[00:31:01.580 --> 00:31:03.580]   God is gracious near the Lord I retreat
[00:31:03.580 --> 00:31:04.580]   God is gracious near the Lord I retreat
[00:31:04.580 --> 00:31:05.580]   God is gracious near the Lord I retreat
[00:31:05.580 --> 00:31:06.580]   God is gracious near the Lord I retreat
[00:31:06.580 --> 00:31:07.580]   God is gracious near the Lord I retreat
[00:31:07.580 --> 00:31:08.580]   God is gracious near the Lord I retreat
[00:31:08.580 --> 00:31:09.580]   God is gracious near the Lord I retreat
[00:31:09.580 --> 00:31:10.580]   God is gracious near the Lord I retreat
[00:31:10.580 --> 00:31:11.580]   God is gracious near the Lord I retreat
[00:31:11.580 --> 00:31:12.580]   God is gracious near the Lord I retreat
[00:31:12.580 --> 00:31:13.580]   God is gracious near the Lord I retreat
[00:31:13.580 --> 00:31:14.580]   God is gracious near the Lord I retreat
[00:31:14.580 --> 00:31:15.580]   God is gracious near the Lord I retreat
[00:31:15.580 --> 00:31:16.580]   God is gracious near the Lord I retreat
[00:31:16.580 --> 00:31:17.580]   God is gracious near the Lord I retreat
[00:31:17.580 --> 00:31:18.580]   God is gracious near the Lord I retreat
[00:31:18.580 --> 00:31:19.580]   God is gracious near the Lord I retreat
[00:31:19.580 --> 00:31:20.580]   God is gracious near the Lord I retreat
[00:31:20.580 --> 00:31:21.580]   God is gracious near the Lord I retreat
[00:31:21.580 --> 00:31:22.580]   God is gracious near the Lord I retreat
[00:31:22.580 --> 00:31:24.580]   God is gracious near the Lord I retreat
[00:31:24.580 --> 00:31:26.580]   God is gracious near the Lord I retreat
[00:31:26.580 --> 00:31:27.580]   God is gracious near the Lord I retreat
[00:31:27.580 --> 00:31:28.580]   God is gracious near the Lord I retreat
[00:31:28.580 --> 00:31:29.580]   God is gracious near the Lord I retreat
[00:31:29.580 --> 00:31:30.580]   God is gracious near the Lord I retreat
[00:31:30.580 --> 00:31:31.580]   God is gracious near the Lord I retreat
[00:31:31.580 --> 00:31:32.580]   God is gracious near the Lord I retreat
[00:31:32.580 --> 00:31:33.580]   God is gracious near the Lord I retreat
[00:31:33.580 --> 00:31:34.580]   God is gracious near the Lord I retreat
[00:31:34.580 --> 00:31:35.580]   God is gracious near the Lord I retreat
[00:31:35.580 --> 00:31:36.580]   God is gracious near the Lord I retreat
[00:31:36.580 --> 00:31:37.580]   God is gracious near the Lord I retreat
[00:31:37.580 --> 00:31:38.580]   God is gracious near the Lord I retreat
[00:31:38.580 --> 00:31:39.580]   God is gracious near the Lord I retreat
[00:31:39.580 --> 00:31:40.580]   God is gracious near the Lord I retreat
[00:31:40.580 --> 00:31:41.580]   God is gracious near the Lord I retreat
[00:31:41.580 --> 00:31:42.580]   God is gracious near the Lord I retreat
[00:31:42.580 --> 00:31:43.580]   God is gracious near the Lord I retreat
[00:31:43.580 --> 00:31:44.580]   God is gracious near the Lord I retreat
[00:31:44.580 --> 00:31:45.580]   God is gracious near the Lord I retreat
[00:31:45.580 --> 00:31:47.580]   God is gracious near the Lord I retreat
[00:31:47.580 --> 00:31:48.580]   God is gracious near the Lord I retreat
[00:31:48.580 --> 00:31:49.580]   God is gracious near the Lord I retreat
[00:31:49.580 --> 00:31:50.580]   God is gracious near the Lord I retreat
[00:31:50.580 --> 00:31:51.580]   God is gracious near the Lord I retreat
[00:31:51.580 --> 00:31:52.580]   God is gracious near the Lord I retreat
[00:31:52.580 --> 00:31:53.580]   God is gracious near the Lord I retreat
[00:31:53.580 --> 00:31:54.580]   God is gracious near the Lord I retreat
[00:31:54.580 --> 00:31:55.580]   God is gracious near the Lord I retreat
[00:31:55.580 --> 00:31:56.580]   God is gracious near the Lord I retreat
[00:31:56.580 --> 00:31:57.580]   God is gracious near the Lord I retreat
[00:31:57.580 --> 00:31:58.580]   God is gracious near the Lord I retreat
[00:31:58.580 --> 00:31:59.580]   God is gracious near the Lord I retreat
[00:31:59.580 --> 00:32:00.580]   God is gracious near the Lord I retreat
[00:32:00.580 --> 00:32:01.580]   God is gracious near the Lord I retreat
[00:32:01.580 --> 00:32:02.580]   God is gracious near the Lord I retreat
[00:32:02.580 --> 00:32:03.580]   God is gracious near the Lord I retreat
[00:32:03.580 --> 00:32:04.580]   God is gracious near the Lord I retreat
[00:32:04.580 --> 00:32:05.580]   God is gracious near the Lord I retreat
[00:32:05.580 --> 00:32:07.580]   God is gracious near the Lord I retreat
[00:32:07.580 --> 00:32:08.580]   God is gracious near the Lord I retreat
[00:32:08.580 --> 00:32:10.580]   God is gracious near the Lord I retreat
[00:32:10.580 --> 00:32:12.580]   God is gracious near the Lord I retreat
[00:32:12.580 --> 00:32:13.580]   God is gracious near the Lord I retreat
[00:32:13.580 --> 00:32:14.580]   God is gracious near the Lord I retreat
[00:32:14.580 --> 00:32:15.580]   God is gracious near the Lord I retreat
[00:32:15.580 --> 00:32:16.580]   God is gracious near the Lord I retreat
[00:32:16.580 --> 00:32:17.580]   God is gracious near the Lord I retreat
[00:32:17.580 --> 00:32:18.580]   God is gracious near the Lord I retreat
[00:32:18.580 --> 00:32:19.580]   God is gracious near the Lord I retreat
[00:32:19.580 --> 00:32:20.580]   God is gracious near the Lord I retreat
[00:32:20.580 --> 00:32:21.580]   God is gracious near the Lord I retreat
[00:32:21.580 --> 00:32:22.580]   God is gracious near the Lord I retreat
