
[00:00:00.000 --> 00:00:29.980]   Thank you very much.
[01:22:36.960 --> 01:22:38.660]   we see what societies,
[01:22:38.660 --> 01:22:40.980]   like even Canaanite societies
[01:22:40.980 --> 01:22:44.540]   and different other behavioral practices
[01:22:44.540 --> 01:22:47.520]   were very, very, this was very common for them.
[01:22:47.520 --> 01:22:49.780]   You shall not behave thus toward the Lord your God
[01:22:49.780 --> 01:22:52.380]   for every abominable act which the Lord hates
[01:22:52.380 --> 01:22:54.000]   they have done for their gods.
[01:22:54.000 --> 01:22:56.120]   For they even burn their sons and daughters
[01:22:56.120 --> 01:22:57.700]   in the fire to their gods.
[01:22:57.700 --> 01:23:00.380]   This wasn't an unknown practice.
[01:23:00.380 --> 01:23:01.520]   I know this is Deuteronomy,
[01:23:01.520 --> 01:23:03.260]   but this was common all throughout.
[01:23:05.280 --> 01:23:07.920]   This was happening for years and years.
[01:23:07.920 --> 01:23:09.800]   They have built the high places of Topheth,
[01:23:09.800 --> 01:23:11.880]   which is in the valley of the son of Hinnom,
[01:23:11.880 --> 01:23:14.100]   to burn their sons and their daughters in the fire,
[01:23:14.100 --> 01:23:15.140]   which I did not command,
[01:23:15.140 --> 01:23:17.860]   and it did not come into my mind.
[01:23:17.860 --> 01:23:20.560]   That's what they were doing.
[01:23:20.560 --> 01:23:25.800]   And they would sacrifice these two gods,
[01:23:25.800 --> 01:23:28.060]   and one very prominent god that they would sacrifice to
[01:23:28.060 --> 01:23:29.480]   was a god named Molech.
[01:23:29.480 --> 01:23:33.600]   We might think that we're so much better today,
[01:23:33.700 --> 01:23:38.100]   but there is so much of the sacrificing even of our children in today's culture.
[01:23:38.100 --> 01:23:39.120]   It exists.
[01:23:39.120 --> 01:23:43.460]   Did you know, like, for example, in India, when William Carey went to India,
[01:23:43.460 --> 01:23:47.580]   this is the 18th century, they were still sacrificing their children.
[01:23:47.580 --> 01:23:52.960]   They were throwing their children into the Ganges River for personal blessing.
[01:23:52.960 --> 01:24:01.080]   And so we think here, how could God be telling Abraham to do something he so hates,
[01:24:01.080 --> 01:24:03.240]   that is so evil?
[01:24:03.240 --> 01:24:10.860]   and so our souls ought to be screaming something here this is not a good thing that's what we it's
[01:24:10.860 --> 01:24:15.960]   meant to evoke that kind of tension we can't just delete this away and say like god is asking it so
[01:24:15.960 --> 01:24:23.380]   it's okay we can't say that god is asking him to do an abominable thing it doesn't make sense
[01:24:23.380 --> 01:24:30.740]   how could god ask this every fiber of our being should be kicking against what we're seeing here
[01:24:30.740 --> 01:24:37.020]   As Abraham is tying up his son, as he's laying him on the altar, this is terrible.
[01:24:37.020 --> 01:24:45.360]   And then worse yet, in verse 10, Abraham stretches out his hand, took the knife to slay his son.
[01:24:45.360 --> 01:24:50.780]   His obedience goes all the way to the point of this submission and surrender to God,
[01:24:50.780 --> 01:24:56.200]   where his faith is birthed into action, and it says he stretches out his hand.
[01:24:56.200 --> 01:24:59.580]   And we remember what faith looks like.
[01:24:59.580 --> 01:25:04.980]   we remember even so faith if it has no works is dead being by itself you can't just say like i
[01:25:04.980 --> 01:25:11.380]   just trust in god god commends it and we do and that's why when it says here but the angel of the
[01:25:11.380 --> 01:25:17.440]   lord called to him from heaven and said abraham abraham and he said here i am what god was asking
[01:25:17.440 --> 01:25:21.520]   abraham to do was in fact to kill him
[01:25:21.520 --> 01:25:27.260]   now Abraham here is flooded
[01:25:27.260 --> 01:25:28.440]   with a sense of relief
[01:25:28.440 --> 01:25:31.020]   because he was going to kill his son
[01:25:31.020 --> 01:25:31.800]   that's the point
[01:25:31.800 --> 01:25:39.780]   we get some insight into his thinking
[01:25:39.780 --> 01:25:41.520]   by faith Abraham when he was tested
[01:25:41.520 --> 01:25:42.520]   offered up Isaac
[01:25:42.520 --> 01:25:44.580]   you see that past tense there
[01:25:44.580 --> 01:25:46.840]   he was offered, it was done in his mind
[01:25:46.840 --> 01:25:50.380]   the intention was fully, fully birthed
[01:25:50.380 --> 01:25:57.720]   it just wasn't completed in the action and he who had received the promises was offering up his only
[01:25:57.720 --> 01:26:04.480]   begotten son that terminology is very very purposeful it was he to whom it was said in
[01:26:04.480 --> 01:26:09.760]   isaac your descendants shall be called he considered that god is able to raise people
[01:26:09.760 --> 01:26:17.540]   even from the dead from which he also received him back as a type that this was all obviously
[01:26:17.540 --> 01:26:24.000]   foreshadowing Jesus who was to come and it says that Abraham believed there in resurrection
[01:26:24.000 --> 01:26:30.460]   very interesting let's keep going and he said do not stretch out your hand against the lad
[01:26:30.460 --> 01:26:36.280]   and do nothing to him for now I know that you fear God since you have not withheld your son
[01:26:36.280 --> 01:26:43.080]   your only son from me now we ask who is this for why does it say for now I know did you not know
[01:26:43.080 --> 01:26:50.700]   before of course god knew before this is a similar thing where are you where is sarah right though
[01:26:50.700 --> 01:26:57.340]   these are things god already knows why does he say these things is it for god it is not for god
[01:26:57.340 --> 01:27:06.540]   it's for us right always for us he commands these things for abraham
[01:27:06.540 --> 01:27:12.780]   abraham is already a man of faith in chapter 12 it was established that it was reckoned to him as
[01:27:12.780 --> 01:27:19.780]   righteousness that leaving his home home country and coming to a place that he knew nothing of
[01:27:19.780 --> 01:27:27.200]   he was already a man of faith but faith is always going to show and prove itself in obedience its
[01:27:27.200 --> 01:27:33.740]   fruit is always going to show its fruitfulness fruitfulness and so he commands these things of
[01:27:33.740 --> 01:27:41.400]   his children god already knew this is for him and this was for isaac isaac was on the receiving end
[01:27:41.400 --> 01:27:50.180]   of that can you man i just can't imagine as your father's hand goes up and then it stops
[01:27:50.180 --> 01:27:55.520]   and the generations that are to come afterwards i think it's for them too it's for us
[01:27:55.520 --> 01:28:06.800]   it's so that we can know what it looks like to fear god to be obedient to have faith
[01:28:06.800 --> 01:28:13.480]   and here he's already again doing the same thing repeating for you have not withheld your son
[01:28:13.480 --> 01:28:17.500]   and then he says your only son there's no need to do that
[01:28:17.500 --> 01:28:27.000]   but he does all of this to pen into scripture forever to be seen how this is going to show
[01:28:27.000 --> 01:28:32.980]   what's going to happen in jesus remember isaiah 53 for surely our griefs he himself bore
[01:28:32.980 --> 01:28:39.100]   and our sorrows he carried yet we ourselves esteemed him stricken smitten of god and afflicted
[01:28:39.100 --> 01:28:44.000]   but this is what i want to kind of highlight here but the lord was pleased to crush him
[01:28:44.000 --> 01:28:50.740]   putting him to grief and the point here is when we see the story of abraham and isaac
[01:28:50.740 --> 01:28:58.380]   is that god does not or does stop abraham from killing his son but on the cross god does not
[01:28:58.380 --> 01:29:03.940]   stop himself from killing his own son and that's what it's supposed to show romans 5 8 says but
[01:29:03.940 --> 01:29:09.080]   god demonstrates his own love toward us and that while we were yet sinners christ died for us much
[01:29:09.080 --> 01:29:13.540]   more than much more than having been justified by his blood we shall be saved from the wrath of god
[01:29:13.540 --> 01:29:18.140]   through him for if while we were enemies we were reconciled to god through the death of his son
[01:29:18.140 --> 01:29:24.420]   much more having been reconciled we shall be saved by his life it's an amazing thing to see
[01:29:24.420 --> 01:29:30.580]   that god is showing jesus and what he's going to do as the father sends the son into the world to
[01:29:30.580 --> 01:29:36.280]   do this and the father is not going to hold back his hand from slaying his very own son in verse 8
[01:29:36.280 --> 01:29:41.660]   31 chapter 8 verse 31 of romans what then shall we say to these things if god is for us who is
[01:29:41.660 --> 01:29:47.880]   against us he who did not spare his own son but delivered him over for us all how will he not also
[01:29:47.880 --> 01:29:54.940]   with him freely give us all things. It says that he did not spare his son. He told Abraham, spare
[01:29:54.940 --> 01:30:02.660]   your son. Do not strike your son. But God, he would not do that on the cross. John 3, 16, for God so
[01:30:02.660 --> 01:30:08.660]   loved the world that he gave his only begotten son. His one and only son is the idea here, that
[01:30:08.660 --> 01:30:14.320]   whoever believes in him shall not perish but have eternal life. Who did God do this for? Was it for
[01:30:14.320 --> 01:30:23.960]   him it says because he so loved the world demonstrated in this that he gave his one
[01:30:23.960 --> 01:30:31.080]   and only son abraham and isaac was functioning as a picture and so our souls we have to come
[01:30:31.080 --> 01:30:38.360]   back to this have to be screaming this on the cross if in the story of abraham and isaac there's
[01:30:38.360 --> 01:30:42.440]   something inside of us that feels tense it's like there's something wrong with this this can't be
[01:30:42.440 --> 01:30:47.560]   right it's just i know god is good but this picture is wrong and and putting yourself into
[01:30:47.560 --> 01:30:55.740]   this position where abraham is supposed to slay his own kid is evil that tension cannot be erased on
[01:30:55.740 --> 01:31:02.800]   the cross this is not a good thing when you see the cross this is not good when we see the cross
[01:31:02.800 --> 01:31:08.960]   we say this doesn't make sense and when we see it we're saying how could god do this this is not right
[01:31:08.960 --> 01:31:15.280]   and so the cross is the only place
[01:31:15.280 --> 01:31:18.100]   where any of this can be reconciled
[01:31:18.100 --> 01:31:22.040]   that God's justice and God's love
[01:31:22.040 --> 01:31:24.620]   is going to be perfectly seen
[01:31:24.620 --> 01:31:27.880]   in conjunction on the cross
[01:31:27.880 --> 01:31:30.440]   and it can only make sense
[01:31:30.440 --> 01:31:32.480]   in a Trinitarian God
[01:31:32.480 --> 01:31:37.080]   where in one God we have the Father
[01:31:37.080 --> 01:31:39.140]   and in one God we have the Son.
[01:31:39.140 --> 01:31:46.120]   And so, remember when you first saw your sin?
[01:31:46.120 --> 01:31:49.240]   Like when you were first,
[01:31:49.240 --> 01:31:52.460]   when you first saw it not as just like something to be guilty about
[01:31:52.460 --> 01:31:54.320]   or something that you know is a flaw
[01:31:54.320 --> 01:31:57.000]   or you're like, ah, that's not good, I know it's not good.
[01:31:57.000 --> 01:32:00.140]   When you first really saw your sin and it broke you,
[01:32:00.140 --> 01:32:01.060]   do you remember that time?
[01:32:01.060 --> 01:32:05.320]   And there's a time where you begin to have a shift
[01:32:05.320 --> 01:32:07.780]   of asking questions of questions like,
[01:32:07.780 --> 01:32:10.520]   how could a good God let anyone go to hell?
[01:32:10.520 --> 01:32:14.240]   And it really shifts as the spotlight is on me and my sin.
[01:32:14.240 --> 01:32:16.760]   How could you send your son to die for me?
[01:32:16.760 --> 01:32:18.440]   Do you remember that?
[01:32:18.440 --> 01:32:20.240]   That happens to every believer, right?
[01:32:20.240 --> 01:32:23.500]   To some degree.
[01:32:23.500 --> 01:32:27.220]   That's supposed to be happening.
[01:32:27.220 --> 01:32:30.140]   This doesn't make any sense.
[01:32:30.140 --> 01:32:32.360]   So we don't understand, but praise God
[01:32:32.360 --> 01:32:34.460]   that he didn't stop himself from striking his son.
[01:32:34.920 --> 01:32:37.560]   We say, thank God.
[01:32:37.560 --> 01:32:43.120]   And so Abraham not killing his own son leaves us in tension
[01:32:43.120 --> 01:32:49.340]   until God actually accomplishes that heinous deed on the cross.
[01:32:49.340 --> 01:32:55.980]   That he somehow takes what is evil and he spins it around for good.
[01:32:55.980 --> 01:33:00.420]   Something that is terrible spins it around
[01:33:00.420 --> 01:33:04.060]   and only he is able to make it for his glory,
[01:33:04.060 --> 01:33:05.640]   for something of beauty.
[01:33:05.640 --> 01:33:08.920]   That's why we can look at a cross,
[01:33:08.920 --> 01:33:12.000]   which was an instrument of torture and death,
[01:33:12.000 --> 01:33:15.180]   and we worship, right?
[01:33:15.180 --> 01:33:17.000]   We don't worship the cross,
[01:33:17.000 --> 01:33:20.880]   but we stand in front of the cross
[01:33:20.880 --> 01:33:22.040]   and we worship our God.
[01:33:22.040 --> 01:33:25.360]   Application, how does Abraham's willingness
[01:33:25.360 --> 01:33:27.220]   to surrender Isaac challenge my view
[01:33:27.220 --> 01:33:28.300]   of worship and sacrifice?
[01:33:28.980 --> 01:33:32.160]   And now, one of the applications, we're going to take some time today
[01:33:32.160 --> 01:33:35.620]   to take some time to talk about how God's willingness to strike his own son
[01:33:35.620 --> 01:33:36.820]   shows his love for the believer.
[01:33:36.820 --> 01:33:40.580]   And we can share some things today that God reminded you of during Passion Week.
[01:33:40.580 --> 01:33:44.000]   So we're going to take some, that's going to be in our application time.
[01:33:44.000 --> 01:33:48.640]   Okay, fourth, God's intervention and provision, verse 13 through 14.
[01:33:48.640 --> 01:33:52.180]   So then we see that Abraham raised his eyes and looked,
[01:33:52.180 --> 01:33:55.080]   and behold, behind him a ram caught in the thicket by his horns.
[01:33:55.080 --> 01:33:57.120]   And Abraham went and took the ram and offered him up
[01:33:57.120 --> 01:33:58.600]   for a burnt offering in the place of his son.
[01:33:59.300 --> 01:34:00.940]   Now, we see eyes three times.
[01:34:00.940 --> 01:34:04.660]   I don't know if you noticed, but it says it raised his eyes, and he looked, and then behold.
[01:34:04.660 --> 01:34:08.000]   Basically, this came out of nowhere.
[01:34:08.000 --> 01:34:16.000]   All right, there's the ram.
[01:34:16.000 --> 01:34:25.980]   So he lifts up his eyes, and then he sees this ram with these big, thick horns.
[01:34:25.980 --> 01:34:31.880]   And we're not going to go into too much of this, but there's a lot of imagery of like horns.
[01:34:31.880 --> 01:34:34.140]   It's a symbol of power.
[01:34:34.140 --> 01:34:35.360]   We'll just kind of leave it at that.
[01:34:35.360 --> 01:34:39.520]   And it was stuck in the thickets or in thistle, which is like very sharp.
[01:34:39.520 --> 01:34:45.960]   And so he looks up and then finally he sees that there is going to be some provision.
[01:34:45.960 --> 01:34:48.160]   This is where we get this idea of Jehovah Jireh.
[01:34:48.160 --> 01:34:50.160]   Okay, 2 Corinthians 5.21.
[01:34:50.160 --> 01:34:52.560]   And so this is obviously, again, a picture of Jesus.
[01:34:52.560 --> 01:34:53.860]   There's no hiding this.
[01:34:53.860 --> 01:34:58.780]   He made him who knew no sin to be sin on our behalf so that we might become the righteousness of God in him.
[01:34:58.780 --> 01:35:02.320]   I don't have to die because something takes my place.
[01:35:02.320 --> 01:35:06.420]   Isaac did not have to die because someone took his place.
[01:35:06.420 --> 01:35:12.900]   And ultimately, it is not this ram, but it's going to be Jesus.
[01:35:12.900 --> 01:35:14.640]   Jesus on the cross.
[01:35:14.640 --> 01:35:19.440]   And so the viewpoint of this story is from Abraham
[01:35:19.440 --> 01:35:24.120]   because we're supposed to be getting a sky view of the father
[01:35:24.120 --> 01:35:26.620]   who is looking down upon this situation, right, with Jesus.
[01:35:26.620 --> 01:35:29.980]   We have very, very little concerning Isaac here.
[01:35:29.980 --> 01:35:31.420]   We'll get some of Isaac soon.
[01:35:31.420 --> 01:35:34.420]   We get nothing of Sarah here.
[01:35:34.420 --> 01:35:36.320]   It's all Abraham.
[01:35:36.320 --> 01:35:39.240]   We're thinking, what is Abraham thinking?
[01:35:39.240 --> 01:35:40.520]   What is Abraham feeling?
[01:35:40.520 --> 01:35:43.260]   What is the tension that is going on in Abraham?
[01:35:43.260 --> 01:35:45.280]   What does his faithfulness look like?
[01:35:45.280 --> 01:35:46.800]   What does his obedience look like?
[01:35:47.440 --> 01:35:50.460]   How can he sacrifice his one and only child whom he loves?
[01:35:50.460 --> 01:35:53.400]   He submits, he surrenders, and he trusts.
[01:35:53.400 --> 01:35:58.260]   The ram points forth to Jesus, reminder that there must be a shedding of blood.
[01:35:58.260 --> 01:36:02.460]   These are passages, you'll get the PowerPoint, so you can look at them on your own,
[01:36:02.460 --> 01:36:05.540]   that show that we need shedding of blood.
[01:36:05.540 --> 01:36:10.260]   Genesis 22, 14, Abraham called the name of that place, the Lord will provide.
[01:36:10.260 --> 01:36:13.660]   As it is said to this day, in the mount of the Lord, it will be provided.
[01:36:14.300 --> 01:36:17.160]   in the mount of the Lord, on Mount Moriah.
[01:36:17.160 --> 01:36:19.380]   Remember where Mount Moriah was.
[01:36:19.380 --> 01:36:23.500]   Now, again, there is some talk about just making sure exactly where it was,
[01:36:23.500 --> 01:36:26.180]   but there's Mount Moriah, there's the temple over there,
[01:36:26.180 --> 01:36:30.400]   and down here is Golgotha, where Jesus ends up being crucified.
[01:36:30.400 --> 01:36:35.200]   And we know that Jesus ends up not actually being crucified in the temple,
[01:36:35.200 --> 01:36:38.040]   where you would think, like, that would be a fitting place,
[01:36:38.040 --> 01:36:40.000]   but it's outside the camp.
[01:36:40.000 --> 01:36:41.580]   Hebrews 13 and 11,
[01:36:41.640 --> 01:36:44.640]   And for the bodies of those animals whose blood is brought into the holy place
[01:36:44.640 --> 01:36:48.840]   by the high priest as an offering for sin are burned outside the camp.
[01:36:48.840 --> 01:36:52.380]   We have the Day of Atonement, Leviticus 16.27.
[01:36:52.380 --> 01:36:54.640]   But the bull of the sin offering and the goat of the sin offering
[01:36:54.640 --> 01:36:57.160]   whose blood was brought in to make atonement in the holy place,
[01:36:57.160 --> 01:36:58.320]   now what's going to happen?
[01:36:58.320 --> 01:37:00.380]   They're going to be taken outside the camp.
[01:37:00.380 --> 01:37:04.400]   And they shall burn their hides, their flesh, and their refuse in the fire.
[01:37:04.400 --> 01:37:09.360]   He who knew no sin was made sin for us.
[01:37:09.880 --> 01:37:11.820]   He was made into a curse for us.
[01:37:11.820 --> 01:37:15.300]   We have some names of God happening here
[01:37:15.300 --> 01:37:18.060]   that we've been traveling through in the book of Genesis.
[01:37:18.060 --> 01:37:19.500]   You can look at this on your own,
[01:37:19.500 --> 01:37:21.040]   but you can collect them
[01:37:21.040 --> 01:37:25.380]   and just see how he's very purposeful in all of this.
[01:37:25.380 --> 01:37:27.640]   And so we're on number eight, Jehovah Jireh,
[01:37:27.640 --> 01:37:30.260]   or Yahweh Jireh, the Lord will provide.
[01:37:30.260 --> 01:37:33.860]   Some application, where have I seen God provide
[01:37:33.860 --> 01:37:35.980]   at the right time, even if not in the way I expected?
[01:37:35.980 --> 01:37:37.860]   How does remembering that God provides
[01:37:37.860 --> 01:37:42.160]   for my physical needs differ from remembering that he provides for my spiritual needs? Which
[01:37:42.160 --> 01:37:46.440]   kind of provision do I find myself asking him for more often? It takes some time to think through
[01:37:46.440 --> 01:37:52.080]   that. Okay, and then he renews the covenant. Then the angel of the Lord calls to Abraham a second
[01:37:52.080 --> 01:37:58.280]   time from heaven, and he says, by myself I have sworn. Remember, a unilateral idea of this. He
[01:37:58.280 --> 01:38:03.200]   declares the Lord, but look, he says, I have sworn myself, but remember there is something that is
[01:38:03.200 --> 01:38:08.900]   causal because you have done this thing and not withheld your son your only son because you have
[01:38:08.900 --> 01:38:15.240]   obeyed my voice the obedience doesn't earn salvation but it is the fruit of faith okay
[01:38:15.240 --> 01:38:21.100]   all right and so we've been seeing that all through abraham's story god says go forth from
[01:38:21.100 --> 01:38:26.740]   your country abraham went forth god says arise walk about the land through its length and breadth
[01:38:26.740 --> 01:38:32.760]   for I will give it to you. Then Abraham moved his tent. God says, this is my covenant. Circumcise
[01:38:32.760 --> 01:38:40.700]   everyone. Abraham circumcises everyone. In Genesis 21, God says, don't be distressed. Send out the lad.
[01:38:40.700 --> 01:38:47.880]   Abraham sends out the lad. And so we know by faith, Abraham, when he was tested, he offered up Isaac
[01:38:47.880 --> 01:38:53.700]   and he who had received the promises was offering up his only begotten son that Abraham obeyed. And
[01:38:53.700 --> 01:38:57.540]   So this covenant is renewed right now.
[01:38:57.540 --> 01:38:59.020]   Indeed, I will greatly bless you
[01:38:59.020 --> 01:39:00.620]   and I will greatly multiply your seed
[01:39:00.620 --> 01:39:01.740]   as the stars of the heavens
[01:39:01.740 --> 01:39:03.600]   and as the sand which is on the seashore
[01:39:03.600 --> 01:39:05.800]   and your seed shall possess the gate of their enemies.
[01:39:05.800 --> 01:39:08.700]   In your seed, all the nations of the earth shall be blessed.
[01:39:08.700 --> 01:39:11.040]   You are seeing all three elements,
[01:39:11.040 --> 01:39:14.120]   land, nation, and people, blessing.
[01:39:14.120 --> 01:39:16.620]   All of it promised yet again.
[01:39:16.620 --> 01:39:18.440]   Sixth.
[01:39:18.440 --> 01:39:22.060]   Lastly, we have the conclusion, the genealogy.
[01:39:22.480 --> 01:39:24.300]   So Abraham returns to his young men.
[01:39:24.300 --> 01:39:27.780]   They arose and went together to Beersheba.
[01:39:27.780 --> 01:39:29.320]   And Abraham lives at Beersheba.
[01:39:29.320 --> 01:39:35.040]   And we're going to have next week's chapter is a lot shorter.
[01:39:35.040 --> 01:39:36.980]   So you can take some time.
[01:39:36.980 --> 01:39:40.540]   And so I'm going to be going into a little bit of tangents next week.
[01:39:40.540 --> 01:39:41.900]   But remember Beersheba.
[01:39:41.900 --> 01:39:47.060]   And then remember all the different places we're kind of collecting now.
[01:39:47.060 --> 01:39:50.780]   Shechem, if you remember Shechem, Bethel, Jerusalem, Hebron, Beersheba.
[01:39:51.260 --> 01:39:55.580]   So he's traveling from Mount Moriah back to Beersheba.
[01:39:55.580 --> 01:39:56.840]   So that's what's happening, okay?
[01:39:56.840 --> 01:39:58.060]   All right.
[01:39:58.060 --> 01:40:00.760]   So now we have this genealogy.
[01:40:00.760 --> 01:40:05.880]   And the whole point, just to boil it down, is Rebekah.
[01:40:05.880 --> 01:40:07.740]   That's the whole point.
[01:40:07.740 --> 01:40:10.660]   Just a real quick visual.
[01:40:10.660 --> 01:40:15.920]   Terah, he had three sons, Abraham, Nahor, and Haran.
[01:40:15.920 --> 01:40:16.500]   Do you remember them?
[01:40:16.500 --> 01:40:20.520]   And then we find out, oh, remember, in Abraham's half-truth lie thing?
[01:40:20.520 --> 01:40:27.680]   terah had uh sarah and then through another wife but then or through another woman and then
[01:40:27.680 --> 01:40:34.260]   they get married abraham and sarah and then a heron has uh i'm just gonna i just put the people
[01:40:34.260 --> 01:40:42.560]   that matter okay the other people matter too but like uh milca and lot so uh we already know a lot
[01:40:42.560 --> 01:40:47.960]   he's kind of out of the picture now but milca is reintroduced here and milca actually marries
[01:40:47.960 --> 01:40:55.800]   Nahor. Interesting. And then they have many sons, but one is called Bethuel. Now we had Hagar and
[01:40:55.800 --> 01:41:02.900]   Abraham having Ishmael, but they're not it, okay? So it's Isaac, okay? So they're gone. They matter,
[01:41:02.900 --> 01:41:11.460]   okay? All right, but Bethuel, he has two kids that matter, Rebekah and Laban, or Rebekah's the one
[01:41:11.460 --> 01:41:17.800]   that is being circled here. And then Isaac and Rebekah have Esau, but Esau, uh-uh, it's Jacob,
[01:41:17.800 --> 01:41:25.800]   and then laban has two daughters named leah and rachel whom jacob marries now the whole point here
[01:41:25.800 --> 01:41:32.380]   what is the point of this he's going from taking a single individual and he's making a people with
[01:41:32.380 --> 01:41:42.420]   land something funny so um i get insecure about those things so don't laugh all right so um
[01:41:42.420 --> 01:41:48.960]   so the whole point is he's trying to get to israel right he's trying to get to israel so he's trying
[01:41:48.960 --> 01:41:57.140]   to keep this line pure he's trying to make sure that that uh there's no question that this is a
[01:41:57.140 --> 01:42:06.580]   people of his own possession that god has chosen and completely like uh kept safe from all other
[01:42:06.580 --> 01:42:13.000]   influences, and so everything is inside of the family. There are no outside people marrying in.
[01:42:13.000 --> 01:42:18.620]   Does that make sense? That's the point of this genealogy that's happening here, which is why I
[01:42:18.620 --> 01:42:24.540]   took the time to make this crazy thing, okay? Because from this point on, what ends up happening
[01:42:24.540 --> 01:42:33.060]   is we're now going to baton pass to Isaac and Rebekah, okay? And from there, because Israel is
[01:42:33.060 --> 01:42:34.940]   going to come from Jacob.
[01:42:34.940 --> 01:42:36.860]   And start
[01:42:36.860 --> 01:42:39.160]   once Israel is set, Jacob's name
[01:42:39.160 --> 01:42:41.020]   is set as Israel. There's no
[01:42:41.020 --> 01:42:42.880]   longer any real need to protect
[01:42:42.880 --> 01:42:44.620]   the line in that manner
[01:42:44.620 --> 01:42:46.940]   because it's established.
[01:42:46.940 --> 01:42:48.520]   Israel is established.
[01:42:48.520 --> 01:42:50.760]   And now he's just going to continue to
[01:42:50.760 --> 01:42:53.080]   protect the genealogy. So next
[01:42:53.080 --> 01:42:54.760]   time we'll go through Genesis chapter 23.
[01:42:54.760 --> 01:42:56.860]   Sarah's death is a lot shorter, so
[01:42:56.860 --> 01:42:59.200]   you can take a little bit of a breather here. Let's pray.
[01:42:59.200 --> 01:43:03.040]   Heavenly Father, I pray that
[01:43:03.040 --> 01:43:08.740]   you would allow our time now to be fruitful. Help us to see your heart, the Father's heart. Help us
[01:43:08.740 --> 01:43:16.500]   to see a son who laid down his life silently, taking our place. Father, remind us, God, that
[01:43:16.500 --> 01:43:21.300]   though Abraham and Isaac did not need to go through with this death, with this heinous deed,
[01:43:21.300 --> 01:43:27.380]   God, you never withheld your hand, that this might cause in us a wonder as we talk about these things,
[01:43:27.380 --> 01:43:32.520]   that we would handle these things with reverence and awe and love for you, and that you would
[01:43:32.520 --> 01:43:37.460]   receive glory from every small group from every home group that's discussing now that we would
[01:43:37.460 --> 01:43:43.220]   worship you in our words as we lift them up thankful to our god in jesus name we pray amen
[01:43:43.220 --> 01:44:13.200]   Thank you.
[01:44:13.200 --> 01:44:43.180]   Thank you.

