
[00:00:00.000 --> 00:00:06.760]   Okay. Let's pray.
[00:21:54.080 --> 00:21:55.080]   Thank you.
[00:21:55.080 --> 00:21:56.080]   Thank you.
[00:21:56.080 --> 00:21:57.080]   Thank you.
[00:21:57.080 --> 00:21:58.080]   Thank you.
[00:21:58.080 --> 00:21:58.080]   Thank you.
[00:21:58.080 --> 00:21:59.080]   Thank you.
[00:21:59.080 --> 00:22:00.080]   Thank you.
[00:22:00.080 --> 00:22:00.080]   Thank you.
[00:22:00.080 --> 00:22:01.080]   Thank you.
[00:22:01.080 --> 00:22:02.080]   Thank you.
[00:22:02.080 --> 00:22:03.080]   Thank you.
[00:22:03.080 --> 00:22:03.080]   Thank you.
[00:22:03.080 --> 00:22:04.080]   Thank you.
[00:22:04.080 --> 00:22:05.080]   Thank you.
[00:22:05.080 --> 00:22:05.080]   Thank you.
[00:22:05.080 --> 00:22:06.080]   Thank you.
[00:22:06.080 --> 00:22:07.080]   Thank you.
[00:22:07.080 --> 00:22:07.080]   Thank you.
[00:22:07.080 --> 00:22:09.080]   Thank you.
[00:22:09.080 --> 00:22:10.080]   Thank you.
[00:22:10.080 --> 00:22:11.080]   Thank you.
[00:22:11.080 --> 00:22:12.080]   Thank you.
[00:22:12.080 --> 00:22:13.080]   Thank you.
[00:22:13.080 --> 00:22:13.080]   Thank you.
[00:22:13.080 --> 00:22:14.080]   Thank you.
[00:22:14.080 --> 00:22:15.080]   Thank you.
[00:22:15.080 --> 00:22:16.080]   Thank you.
[00:22:16.080 --> 00:22:17.080]   Thank you.
[00:22:17.080 --> 00:22:18.080]   Thank you.
[00:22:18.080 --> 00:22:18.080]   Thank you.
[00:22:18.080 --> 00:22:19.080]   Thank you.
[00:22:19.080 --> 00:22:20.080]   Thank you.
[00:22:20.080 --> 00:22:21.080]   Thank you.
[00:22:21.080 --> 00:22:22.080]   Thank you.
[00:22:22.080 --> 00:22:22.080]   Thank you.
[00:22:22.080 --> 00:22:23.080]   Thank you.
[00:22:23.080 --> 00:22:24.080]   Thank you.
[00:22:24.080 --> 00:22:25.080]   Thank you.
[00:22:25.080 --> 00:22:26.080]   Thank you.
[00:22:26.080 --> 00:22:27.080]   Thank you.
[00:22:27.080 --> 00:22:28.080]   Thank you.
[00:22:28.080 --> 00:22:29.080]   Thank you.
[00:22:29.080 --> 00:22:30.080]   Thank you.
[00:22:30.080 --> 00:22:31.080]   Thank you.
[00:22:31.080 --> 00:22:31.080]   Thank you.
[00:22:31.080 --> 00:22:32.080]   Thank you.
[00:22:32.080 --> 00:22:32.080]   Thank you.
[00:22:32.080 --> 00:22:33.080]   Thank you.
[00:22:33.080 --> 00:22:34.080]   Thank you.
[00:22:34.080 --> 00:22:35.080]   Thank you.
[00:22:35.080 --> 00:22:36.080]   Thank you.
[00:22:36.080 --> 00:22:37.080]   Thank you.
[00:22:37.080 --> 00:22:39.080]   Thank you.
[00:22:39.080 --> 00:22:40.080]   Thank you.
[00:22:40.080 --> 00:22:41.080]   Thank you.
[00:22:41.080 --> 00:22:41.080]   Thank you.
[00:22:41.080 --> 00:22:42.080]   Thank you.
[00:22:42.080 --> 00:22:43.080]   Thank you.
[00:22:43.080 --> 00:22:44.080]   Thank you.
[00:22:44.080 --> 00:22:45.080]   Thank you.
[00:22:45.080 --> 00:22:46.080]   Thank you.
[00:22:46.080 --> 00:22:47.080]   Thank you.
[00:22:47.080 --> 00:22:48.080]   Thank you.
[00:22:48.080 --> 00:22:49.080]   Thank you.
[00:22:49.080 --> 00:22:50.080]   Thank you.
[00:22:50.080 --> 00:22:51.080]   Thank you.
[00:22:51.080 --> 00:22:51.080]   Thank you.
[00:22:51.080 --> 00:22:52.080]   Thank you.
[00:22:52.080 --> 00:22:53.080]   Thank you.
[00:22:53.080 --> 00:22:54.080]   Thank you.
[00:22:54.080 --> 00:22:55.080]   Thank you.
[00:22:55.080 --> 00:22:56.080]   Thank you.
[00:22:56.080 --> 00:22:57.080]   Thank you.
[00:22:57.080 --> 00:22:58.080]   Thank you.
[00:22:58.080 --> 00:22:59.080]   Thank you.
[00:22:59.080 --> 00:23:00.080]   Thank you.
[00:23:00.080 --> 00:23:01.080]   Thank you.
[00:23:01.080 --> 00:23:02.080]   Thank you.
[00:23:02.080 --> 00:23:03.080]   Thank you.
[00:23:03.080 --> 00:23:04.080]   Thank you.
[00:23:04.080 --> 00:23:05.080]   Thank you.
[00:23:05.080 --> 00:23:06.080]   Thank you.
[00:23:06.080 --> 00:23:07.080]   Thank you.
[00:23:07.080 --> 00:23:08.080]   Thank you.
[00:23:08.080 --> 00:23:09.080]   Thank you.
[00:23:09.080 --> 00:23:10.080]   Thank you.
[00:23:10.080 --> 00:23:11.080]   Thank you.
[00:23:11.080 --> 00:23:12.080]   Thank you.
[00:23:12.080 --> 00:23:13.080]   Thank you.
[00:23:13.080 --> 00:23:14.080]   Thank you.
[00:23:14.080 --> 00:23:15.080]   Thank you.
[00:23:15.080 --> 00:23:16.080]   Thank you.
[00:23:16.080 --> 00:23:17.080]   Thank you.
[00:23:17.080 --> 00:23:18.080]   Thank you.
[00:23:18.080 --> 00:23:19.080]   Thank you.
[00:23:19.080 --> 00:23:20.080]   Thank you.
[00:23:20.080 --> 00:23:21.080]   Thank you.
[00:23:21.080 --> 00:23:22.080]   Thank you.
[00:23:22.080 --> 00:23:23.080]   Thank you.
[00:23:23.080 --> 00:23:24.080]   Thank you.
[00:23:24.080 --> 00:23:25.080]   Thank you.
[00:23:25.080 --> 00:23:26.080]   Thank you.
[00:23:26.080 --> 00:23:27.080]   Thank you.
[00:23:27.080 --> 00:23:28.080]   Thank you.
[00:23:28.080 --> 00:23:29.080]   Thank you.
[00:23:29.080 --> 00:23:30.080]   Thank you.
[00:23:30.080 --> 00:23:31.080]   Thank you.
[00:23:31.080 --> 00:23:32.080]   Thank you.
[00:23:32.080 --> 00:23:33.080]   Thank you.
[00:23:33.080 --> 00:23:34.080]   Thank you.
[00:23:34.080 --> 00:23:35.080]   Thank you.
[00:23:35.080 --> 00:23:37.080]   Thank you.
[00:23:37.080 --> 00:23:38.080]   Thank you.
[00:23:38.080 --> 00:23:39.080]   Thank you.
[00:23:39.080 --> 00:23:40.080]   Thank you.
[00:23:40.080 --> 00:23:41.080]   Thank you.
[00:23:41.080 --> 00:23:42.080]   Thank you.
[00:23:42.080 --> 00:23:43.080]   Thank you.
[00:23:43.080 --> 00:23:44.080]   Thank you.
[00:23:44.080 --> 00:23:45.080]   Thank you.
[00:23:45.080 --> 00:23:46.080]   Thank you.
[00:23:46.080 --> 00:23:47.080]   Thank you.
[00:23:47.080 --> 00:23:48.080]   Thank you.
[00:23:48.080 --> 00:23:49.080]   Thank you.
[00:23:49.080 --> 00:23:50.080]   Thank you.
[00:23:50.080 --> 00:23:51.080]   Thank you.
[00:23:51.080 --> 00:23:52.080]   Thank you.
[00:23:52.080 --> 00:23:53.080]   Thank you.
[00:23:53.080 --> 00:23:54.080]   Thank you.
[00:23:54.080 --> 00:23:55.080]   Thank you.
[00:23:55.080 --> 00:23:56.080]   Thank you.
[00:23:56.080 --> 00:23:57.080]   Thank you.
[00:23:57.080 --> 00:23:58.080]   Thank you.
[00:23:58.080 --> 00:23:59.080]   Thank you.
[00:23:59.080 --> 00:24:00.080]   Thank you.
[00:24:00.080 --> 00:24:01.080]   Thank you.
[00:24:01.080 --> 00:24:02.080]   Thank you.
[00:24:02.080 --> 00:24:03.080]   Thank you.
[00:24:03.080 --> 00:24:04.080]   Thank you.
[00:24:04.080 --> 00:24:05.080]   Thank you.
[00:24:05.080 --> 00:24:06.080]   Thank you.
[00:24:06.080 --> 00:24:07.080]   Thank you.
[00:24:07.080 --> 00:24:08.080]   Thank you.
[00:24:08.080 --> 00:24:09.080]   Thank you.
[00:24:09.080 --> 00:24:10.080]   Thank you.
[00:24:10.080 --> 00:24:10.080]   Thank you.
[00:24:10.080 --> 00:24:11.080]   Thank you.
[00:24:11.080 --> 00:24:12.080]   Thank you.
[00:24:12.080 --> 00:24:12.080]   Thank you.
[00:24:12.080 --> 00:24:13.080]   Thank you.
[00:24:13.080 --> 00:24:14.080]   Thank you.
[00:24:14.080 --> 00:24:15.080]   Thank you.
[00:24:15.080 --> 00:24:16.080]   Thank you.
[00:24:16.080 --> 00:24:17.080]   Thank you.
[00:24:17.080 --> 00:24:18.080]   Thank you.
[00:24:18.080 --> 00:24:19.080]   Thank you.
[00:24:19.080 --> 00:24:20.080]   Thank you.
[00:24:20.080 --> 00:24:21.080]   Thank you.
[00:24:21.080 --> 00:24:22.080]   Thank you.
[00:24:22.080 --> 00:24:23.080]   Thank you.
[00:24:23.080 --> 00:24:24.080]   Thank you.
[00:24:24.080 --> 00:24:24.080]   Thank you.
[00:24:24.080 --> 00:24:25.080]   Thank you.
[00:24:25.080 --> 00:24:26.080]   Thank you.
[00:24:26.080 --> 00:24:27.080]   Thank you.
[00:24:27.080 --> 00:24:28.080]   Thank you.
[00:24:28.080 --> 00:24:29.080]   Thank you.
[00:24:29.080 --> 00:24:30.080]   Thank you.
[00:24:30.080 --> 00:24:30.080]   Thank you.
[00:24:30.080 --> 00:24:31.080]   Thank you.
[00:24:31.080 --> 00:24:32.080]   Thank you.
[00:24:32.080 --> 00:24:33.080]   Thank you.
[00:24:33.080 --> 00:24:34.080]   Thank you.
[00:24:34.080 --> 00:24:34.080]   Thank you.
[00:24:34.080 --> 00:24:35.080]   Thank you.
[00:24:35.080 --> 00:24:36.080]   Thank you.
[00:24:36.080 --> 00:24:37.080]   Thank you.
[00:24:37.080 --> 00:24:37.080]   Thank you.
[00:24:37.080 --> 00:24:38.080]   Thank you.
[00:24:38.080 --> 00:24:39.080]   Thank you.
[00:24:39.080 --> 00:24:40.080]   Thank you.
[00:24:40.080 --> 00:24:41.080]   Thank you.
[00:24:41.080 --> 00:24:42.080]   Thank you.
[00:24:42.080 --> 00:24:43.080]   Thank you.
[00:24:43.080 --> 00:24:43.080]   Thank you.
[00:24:43.080 --> 00:24:44.080]   Thank you.
[00:24:44.080 --> 00:24:45.080]   Thank you.
[00:24:45.080 --> 00:24:46.080]   Thank you.
[00:24:46.080 --> 00:24:47.080]   Thank you.
[00:24:47.080 --> 00:24:48.080]   Thank you.
[00:24:48.080 --> 00:24:49.080]   Thank you.
[00:24:49.080 --> 00:24:50.080]   Thank you.
[00:24:50.080 --> 00:24:51.080]   Thank you.
[00:24:51.080 --> 00:24:52.080]   Thank you.
[00:24:52.080 --> 00:24:53.080]   Thank you.
[00:24:53.080 --> 00:24:54.080]   Thank you.
[00:24:54.080 --> 00:24:55.080]   Thank you.
[00:24:55.080 --> 00:24:56.080]   Thank you.
[00:24:56.080 --> 00:24:57.080]   Thank you.
[00:24:57.080 --> 00:24:57.080]   Thank you.
[00:24:57.080 --> 00:24:58.080]   Thank you.
[00:24:58.080 --> 00:24:59.080]   Thank you.
[00:24:59.080 --> 00:25:00.080]   Thank you.
[00:25:00.080 --> 00:25:01.080]   Thank you.
[00:25:01.080 --> 00:25:02.080]   Thank you.
[00:25:02.080 --> 00:25:03.080]   Thank you.
[00:25:03.080 --> 00:25:04.080]   Thank you.
[00:25:04.080 --> 00:25:05.080]   Thank you.
[00:25:05.080 --> 00:25:06.080]   Thank you.
[00:25:06.080 --> 00:25:07.080]   Thank you.
[00:25:07.080 --> 00:25:08.080]   Thank you.
[00:25:08.080 --> 00:25:09.080]   Thank you.
[00:25:09.080 --> 00:25:10.080]   Thank you.
[00:25:10.080 --> 00:25:11.080]   Thank you.
[00:25:11.080 --> 00:25:12.080]   Thank you.
[00:25:12.080 --> 00:25:13.080]   Thank you.
[00:25:13.080 --> 00:25:13.080]   Thank you.
[00:25:13.080 --> 00:25:14.080]   Thank you.
[00:25:14.080 --> 00:25:15.080]   Thank you.
[00:25:15.080 --> 00:25:16.080]   Thank you.
[00:25:16.080 --> 00:25:17.080]   Thank you.
[00:25:17.080 --> 00:25:18.080]   Thank you.
[00:25:18.080 --> 00:25:19.080]   Thank you.
[00:25:19.080 --> 00:25:20.080]   Thank you.
[00:25:20.080 --> 00:25:21.080]   Thank you.
[00:25:21.080 --> 00:25:22.080]   Thank you.
[00:25:22.080 --> 00:25:23.080]   Thank you.
[00:25:23.080 --> 00:25:24.080]   Thank you.
[00:25:24.080 --> 00:25:25.080]   Thank you.
[00:25:25.080 --> 00:25:26.080]   Thank you.
[00:25:26.080 --> 00:25:27.080]   Thank you.
[00:25:27.080 --> 00:25:28.080]   Thank you.
[00:25:28.080 --> 00:25:29.080]   Thank you.
[00:25:29.080 --> 00:25:30.080]   Thank you.
[00:25:30.080 --> 00:25:31.080]   Thank you.
[00:25:31.080 --> 00:25:32.080]   Thank you.
[00:25:32.080 --> 00:25:33.080]   Thank you.
[00:25:33.080 --> 00:25:34.080]   Thank you.
[00:25:34.080 --> 00:25:35.080]   Thank you.
[00:25:35.080 --> 00:25:36.080]   Thank you.
[00:25:36.080 --> 00:25:37.080]   Thank you.
[00:25:37.080 --> 00:25:38.080]   Thank you.
[00:25:38.080 --> 00:25:39.080]   Thank you.
[00:25:39.080 --> 00:25:40.080]   Thank you.
[00:25:40.080 --> 00:25:41.080]   Thank you.
[00:25:41.080 --> 00:25:42.080]   Thank you.
[00:25:42.080 --> 00:25:43.080]   Thank you.
[00:25:43.080 --> 00:25:44.080]   Thank you.
[00:25:44.080 --> 00:25:45.080]   Thank you.
[00:25:45.080 --> 00:25:46.080]   Thank you.
[00:25:46.080 --> 00:25:47.080]   Thank you.
[00:25:47.080 --> 00:25:48.080]   Thank you.
[00:25:48.080 --> 00:25:49.080]   Thank you.
[00:25:49.080 --> 00:25:50.080]   Thank you.
[00:25:50.080 --> 00:25:51.080]   Thank you.
[00:25:51.080 --> 00:25:52.080]   Thank you.
[00:25:52.080 --> 00:25:53.080]   Thank you.
[00:25:53.080 --> 00:25:54.080]   Thank you.
[00:25:54.080 --> 00:25:55.080]   Thank you.
[00:25:55.080 --> 00:25:56.080]   Thank you.
[00:25:56.080 --> 00:25:57.080]   Thank you.
[00:25:57.080 --> 00:25:58.080]   Thank you.
[00:25:58.080 --> 00:25:59.080]   Thank you.
[00:25:59.080 --> 00:26:00.080]   Thank you.
[00:26:00.080 --> 00:26:01.080]   Thank you.
[00:26:01.080 --> 00:26:02.080]   Thank you.
[00:26:02.080 --> 00:26:03.080]   Thank you.
[00:26:03.080 --> 00:26:04.080]   Thank you.
[00:26:04.080 --> 00:26:05.080]   Thank you.
[00:26:05.080 --> 00:26:06.080]   Thank you.
[00:26:06.080 --> 00:26:07.080]   Thank you.
[00:26:07.080 --> 00:26:08.080]   Thank you.
[00:26:08.080 --> 00:26:09.080]   Thank you.
[00:26:09.080 --> 00:26:10.080]   Thank you.
[00:26:10.080 --> 00:26:11.080]   Thank you.
[00:26:11.080 --> 00:26:12.080]   Thank you.
[00:26:12.080 --> 00:26:12.080]   Thank you.
[00:26:12.080 --> 00:26:13.080]   Thank you.
[00:26:13.080 --> 00:26:14.080]   Thank you.
[00:26:14.080 --> 00:26:15.080]   Thank you.
[00:26:15.080 --> 00:26:16.080]   Thank you.
[00:26:16.080 --> 00:26:17.080]   Thank you.
[00:26:17.080 --> 00:26:18.080]   Thank you.
[00:26:18.080 --> 00:26:19.080]   Thank you.
[00:26:19.080 --> 00:26:20.080]   Thank you.
[00:26:20.080 --> 00:26:21.080]   Thank you.
[00:26:21.080 --> 00:26:22.080]   Thank you.
[00:26:22.080 --> 00:26:23.080]   Thank you.
[00:26:23.080 --> 00:26:24.080]   Thank you.
[00:26:24.080 --> 00:26:25.080]   Thank you.
[00:26:25.080 --> 00:26:26.080]   Thank you.
[00:26:26.080 --> 00:26:27.080]   Thank you.
[00:26:27.080 --> 00:26:28.080]   Thank you.
[00:26:28.080 --> 00:26:29.080]   Thank you.
[00:26:29.080 --> 00:26:30.080]   Thank you.
[00:26:30.080 --> 00:26:31.080]   Thank you.
[00:26:31.080 --> 00:26:32.080]   Thank you.
[00:26:32.080 --> 00:26:33.080]   Thank you.
[00:26:33.080 --> 00:26:34.080]   Thank you.
[00:26:34.080 --> 00:26:35.080]   Thank you.
[00:26:35.080 --> 00:26:36.080]   Thank you.
[00:26:36.080 --> 00:26:37.080]   Thank you.
[00:26:37.080 --> 00:26:38.080]   Thank you.
[00:26:38.080 --> 00:26:39.080]   Thank you.
[00:26:39.080 --> 00:26:40.080]   Thank you.
[00:26:40.080 --> 00:26:41.080]   Thank you.
[00:26:41.080 --> 00:26:42.080]   Thank you.
[00:26:42.080 --> 00:26:43.080]   Thank you.
[00:26:43.080 --> 00:26:44.080]   Thank you.
[00:26:44.080 --> 00:26:45.080]   Thank you.
[00:26:45.080 --> 00:26:46.080]   Thank you.
[00:26:46.080 --> 00:26:47.080]   Thank you.
[00:26:47.080 --> 00:26:48.080]   Thank you.
[00:26:48.080 --> 00:26:49.080]   Thank you.
[00:26:49.080 --> 00:26:50.080]   Thank you.
[00:26:50.080 --> 00:26:51.080]   Thank you.
[00:26:51.080 --> 00:26:52.080]   Thank you.
[00:26:52.080 --> 00:26:53.080]   Thank you.
[00:26:53.080 --> 00:26:54.080]   Thank you.
[00:26:54.080 --> 00:26:55.080]   Thank you.
[00:26:55.080 --> 00:26:55.080]   Thank you.
[00:26:55.080 --> 00:26:56.080]   Thank you.
[00:26:56.080 --> 00:26:57.080]   Thank you.
[00:26:57.080 --> 00:26:58.080]   Thank you.
[00:26:58.080 --> 00:26:59.080]   Thank you.
[00:26:59.080 --> 00:27:00.080]   Thank you.
[00:27:00.080 --> 00:27:01.080]   Thank you.
[00:27:01.080 --> 00:27:02.080]   Thank you.
[00:27:02.080 --> 00:27:03.080]   Thank you.
[00:27:03.080 --> 00:27:03.080]   Thank you.
[00:27:03.080 --> 00:27:04.080]   Thank you.
[00:27:04.080 --> 00:27:04.080]   Thank you.
[00:27:04.080 --> 00:27:05.080]   Thank you.
[00:27:05.080 --> 00:27:06.080]   Thank you.
[00:27:06.080 --> 00:27:07.080]   Thank you.
[00:27:07.080 --> 00:27:08.080]   Thank you.
[00:27:08.080 --> 00:27:09.080]   Thank you.
[00:27:09.080 --> 00:27:10.080]   Thank you.
[00:27:10.080 --> 00:27:11.080]   Thank you.
[00:27:11.080 --> 00:27:11.080]   Thank you.
[00:27:11.080 --> 00:27:12.080]   Thank you.
[00:27:12.080 --> 00:27:12.080]   Thank you.
[00:27:12.080 --> 00:27:13.080]   Thank you.
[00:27:13.080 --> 00:27:14.080]   Thank you.
[00:27:14.080 --> 00:27:15.080]   Thank you.
[00:27:15.080 --> 00:27:16.080]   Thank you.
[00:27:16.080 --> 00:27:17.080]   Thank you.
[00:27:17.080 --> 00:27:17.080]   Thank you.
[00:27:17.080 --> 00:27:18.080]   Thank you.
[00:27:18.080 --> 00:27:19.080]   Thank you.
[00:27:19.080 --> 00:27:20.080]   Thank you.
[00:27:20.080 --> 00:27:21.080]   Thank you.
[00:27:21.080 --> 00:27:22.080]   Thank you.
[00:27:22.080 --> 00:27:23.080]   Thank you.
[00:27:23.080 --> 00:27:24.080]   Thank you.
[00:27:24.080 --> 00:27:25.080]   Thank you.
[00:27:25.080 --> 00:27:25.080]   Thank you.
[00:27:25.080 --> 00:27:26.080]   Thank you.
[00:27:26.080 --> 00:27:27.080]   Thank you.
[00:27:27.080 --> 00:27:28.080]   Thank you.
[00:27:28.080 --> 00:27:29.080]   Thank you.
[00:27:29.080 --> 00:27:30.080]   Thank you.
[00:27:30.080 --> 00:27:31.080]   Thank you.
[00:27:31.080 --> 00:27:32.080]   Thank you.
[00:27:32.080 --> 00:27:33.080]   Thank you.
[00:27:33.080 --> 00:27:34.080]   Thank you.
[00:27:34.080 --> 00:27:35.080]   Thank you.
[00:27:35.080 --> 00:27:36.080]   Thank you.
[00:27:36.080 --> 00:27:37.080]   Thank you.
[00:27:37.080 --> 00:27:38.080]   Thank you.
[00:27:38.080 --> 00:27:39.080]   Thank you.
[00:27:39.080 --> 00:27:40.080]   Thank you.
[00:27:40.080 --> 00:27:41.080]   Thank you.
[00:27:41.080 --> 00:27:42.080]   Thank you.
[00:27:42.080 --> 00:27:42.080]   Thank you.
[00:27:42.080 --> 00:27:43.080]   Thank you.
[00:27:43.080 --> 00:27:44.080]   Thank you.
[00:27:44.080 --> 00:27:45.080]   Thank you.
[00:27:45.080 --> 00:27:46.080]   Thank you.
[00:27:46.080 --> 00:27:46.080]   Thank you.
[00:27:46.080 --> 00:27:47.080]   Thank you.
[00:27:47.080 --> 00:27:48.080]   Thank you.
[00:27:48.080 --> 00:27:49.080]   Thank you.
[00:27:49.080 --> 00:27:50.080]   Thank you.
[00:27:50.080 --> 00:27:50.080]   Thank you.
[00:27:50.080 --> 00:27:51.080]   Thank you.
[00:27:51.080 --> 00:27:51.080]   Thank you.
[00:27:51.080 --> 00:27:52.080]   Thank you.
[00:27:52.080 --> 00:27:53.080]   Thank you.
[00:27:53.080 --> 00:27:54.080]   Thank you.
[00:27:54.080 --> 00:27:55.080]   Thank you.
[00:27:55.080 --> 00:27:56.080]   Thank you.
[00:27:56.080 --> 00:27:57.080]   Thank you.
[00:27:57.080 --> 00:27:57.080]   Thank you.
[00:27:57.080 --> 00:27:58.080]   Thank you.
[00:27:58.080 --> 00:27:59.080]   Thank you.
[00:27:59.080 --> 00:28:00.080]   Thank you.
[00:28:00.080 --> 00:28:01.080]   Thank you.
[00:28:01.080 --> 00:28:02.080]   Thank you.
[00:28:02.080 --> 00:28:02.080]   Thank you.
[00:28:02.080 --> 00:28:03.080]   Thank you.
[00:28:03.080 --> 00:28:04.080]   Thank you.
[00:28:04.080 --> 00:28:05.080]   Thank you.
[00:28:05.080 --> 00:28:06.080]   Thank you.
[00:28:06.080 --> 00:28:07.080]   Thank you.
[00:28:07.080 --> 00:28:08.080]   Thank you.
[00:28:08.080 --> 00:28:08.080]   Thank you.
[00:28:08.080 --> 00:28:09.080]   Thank you.
[00:28:09.080 --> 00:28:09.080]   Thank you.
[00:28:09.080 --> 00:28:10.080]   Thank you.
[00:28:10.080 --> 00:28:11.080]   Thank you.
[00:28:11.080 --> 00:28:12.080]   Thank you.
[00:28:12.080 --> 00:28:13.080]   Thank you.
[00:28:13.080 --> 00:28:14.080]   Thank you.
[00:28:14.080 --> 00:28:15.080]   Thank you.
[00:28:15.080 --> 00:28:16.080]   Thank you.
[00:28:16.080 --> 00:28:17.080]   Thank you.
[00:28:17.080 --> 00:28:17.080]   Thank you.
[00:28:17.080 --> 00:28:18.080]   Thank you.
[00:28:18.080 --> 00:28:19.080]   Thank you.
[00:28:19.080 --> 00:28:20.080]   Thank you.
[00:28:20.080 --> 00:28:21.080]   Thank you.
[00:28:21.080 --> 00:28:22.080]   Thank you.
[00:28:22.080 --> 00:28:23.080]   Thank you.
[00:28:23.080 --> 00:28:24.080]   Thank you.
[00:28:24.080 --> 00:28:25.080]   Thank you.
[00:28:25.080 --> 00:28:25.080]   Thank you.
[00:28:25.080 --> 00:28:26.080]   Thank you.
[00:28:26.080 --> 00:28:27.080]   Thank you.
[00:28:27.080 --> 00:28:28.080]   Thank you.
[00:28:28.080 --> 00:28:28.080]   Thank you.
[00:28:28.080 --> 00:28:29.080]   Thank you.
[00:28:29.080 --> 00:28:30.080]   Thank you.
[00:28:30.080 --> 00:28:31.080]   Thank you.
[00:28:31.080 --> 00:28:32.080]   Thank you.
[00:28:32.080 --> 00:28:33.080]   Thank you.
[00:28:33.080 --> 00:28:34.080]   Thank you.
[00:28:34.080 --> 00:28:35.080]   Thank you.
[00:28:35.080 --> 00:28:36.080]   Thank you.
[00:28:36.080 --> 00:28:37.080]   Thank you.
[00:28:37.080 --> 00:28:38.080]   Thank you.
[00:28:38.080 --> 00:28:38.080]   Thank you.
[00:28:38.080 --> 00:28:39.080]   Thank you.
[00:28:39.080 --> 00:28:40.080]   Thank you.
[00:28:40.080 --> 00:28:41.080]   Thank you.
[00:28:41.080 --> 00:28:42.080]   Thank you.
[00:28:42.080 --> 00:28:43.080]   Thank you.
[00:28:43.080 --> 00:28:44.080]   Thank you.
[00:28:44.080 --> 00:28:45.080]   Thank you.
[00:28:45.080 --> 00:28:46.080]   Thank you.
[00:28:46.080 --> 00:28:47.080]   Thank you.
[00:28:47.080 --> 00:28:48.080]   Thank you.
[00:28:48.080 --> 00:28:49.080]   Thank you.
[00:28:49.080 --> 00:28:49.080]   Thank you.
[00:28:49.080 --> 00:28:50.080]   Thank you.
[00:28:50.080 --> 00:28:51.080]   Thank you.
[00:28:51.080 --> 00:28:52.080]   Thank you.
[00:28:52.080 --> 00:28:53.080]   Thank you.
[00:28:53.080 --> 00:28:54.080]   Thank you.
[00:28:54.080 --> 00:28:55.080]   Thank you.
[00:28:55.080 --> 00:28:56.080]   Thank you.
[00:28:56.080 --> 00:28:57.080]   Thank you.
[00:28:57.080 --> 00:28:57.080]   Thank you.
[00:28:57.080 --> 00:28:58.080]   Thank you.
[00:28:58.080 --> 00:28:59.080]   Thank you.
[00:28:59.080 --> 00:29:00.080]   Thank you.
[00:29:00.080 --> 00:29:01.080]   Thank you.
[00:29:01.080 --> 00:29:01.080]   Thank you.
[00:29:01.080 --> 00:29:02.080]   Thank you.
[00:29:02.080 --> 00:29:03.080]   Thank you.
[00:29:03.080 --> 00:29:04.080]   Thank you.
[00:29:04.080 --> 00:29:05.080]   Thank you.
[00:29:05.080 --> 00:29:05.080]   Thank you.
[00:29:05.080 --> 00:29:06.080]   Thank you.
[00:29:06.080 --> 00:29:07.080]   Thank you.
[00:29:07.080 --> 00:29:08.080]   Thank you.
[00:29:08.080 --> 00:29:09.080]   Thank you.
[00:29:09.080 --> 00:29:09.080]   Thank you.
[00:29:09.080 --> 00:29:10.080]   Thank you.
[00:29:10.080 --> 00:29:11.080]   Thank you.
[00:29:11.080 --> 00:29:12.080]   Thank you.
[00:29:12.080 --> 00:29:13.080]   Thank you.
[00:29:13.080 --> 00:29:14.080]   Thank you.
[00:29:14.080 --> 00:29:15.080]   Thank you.
[00:29:15.080 --> 00:29:15.080]   Thank you.
[00:29:15.080 --> 00:29:16.080]   Thank you.
[00:29:16.080 --> 00:29:17.080]   Thank you.
[00:29:17.080 --> 00:29:17.080]   Thank you.
[00:29:17.080 --> 00:29:18.080]   Thank you.
[00:29:18.080 --> 00:29:19.080]   Thank you.
[00:29:19.080 --> 00:29:20.080]   Thank you.
[00:29:20.080 --> 00:29:21.080]   Thank you.
[00:29:21.080 --> 00:29:22.080]   Thank you.
[00:29:22.080 --> 00:29:22.080]   Thank you.
[00:29:22.080 --> 00:29:23.080]   Thank you.
[00:29:23.080 --> 00:29:24.080]   Thank you.
[00:29:24.080 --> 00:29:25.080]   Thank you.
[00:29:25.080 --> 00:29:26.080]   Thank you.
[00:29:26.080 --> 00:29:27.080]   Thank you.
[00:29:27.080 --> 00:29:28.080]   Thank you.
[00:29:28.080 --> 00:29:29.080]   Thank you.
[00:29:29.080 --> 00:29:30.080]   Thank you.
[00:29:30.080 --> 00:29:31.080]   Thank you.
[00:29:31.080 --> 00:29:31.080]   Thank you.
[00:29:31.080 --> 00:29:32.080]   Thank you.
[00:29:32.080 --> 00:29:33.080]   Thank you.
[00:29:33.080 --> 00:29:34.080]   Thank you.
[00:29:34.080 --> 00:29:35.080]   Thank you.
[00:29:35.080 --> 00:29:36.080]   Thank you.
[00:29:36.080 --> 00:29:37.080]   Thank you.
[00:29:37.080 --> 00:29:37.080]   Thank you.
[00:29:37.080 --> 00:29:38.080]   Thank you.
[00:29:38.080 --> 00:29:39.080]   Thank you.
[00:29:39.080 --> 00:29:40.080]   Thank you.
[00:29:40.080 --> 00:29:41.080]   Thank you.
[00:29:41.080 --> 00:29:42.080]   Thank you.
[00:29:42.080 --> 00:29:43.080]   Thank you.
