
[00:00:00.000 --> 00:00:03.780]   - What are you thinking, what do we see here?
[01:33:41.640 --> 01:33:48.920]   right? And so the natural question that I had when I was younger, when I was looking through this,
[01:33:48.920 --> 01:33:53.560]   is that could they have actually fit all these animals? According to, again, I'm not going to go
[01:33:53.560 --> 01:34:00.200]   into too much details, but according to a study, they said majority of the animals on earth, even today,
[01:34:00.200 --> 01:34:05.480]   are the size of a small dog or smaller, majority of them. So when we think of animals, we're thinking
[01:34:05.480 --> 01:34:11.080]   elephants and buffaloes and all these things, but when you actually calculate the size of the animals,
[01:34:11.080 --> 01:34:16.680]   majority of them are the size of a dog or smaller. And then on top of that, if you calculate
[01:34:16.680 --> 01:34:23.960]   like the language of what it says, it says all of the birds of their kind, right? It doesn't necessarily
[01:34:23.960 --> 01:34:31.880]   mean every single species. It means of their kind, right? And so according to the volume of what the
[01:34:31.880 --> 01:34:38.200]   size of this boat would have carried, most people believe that it was probably even just volume-wise,
[01:34:38.200 --> 01:34:45.960]   it would have only taken about 25% or less, okay? So is it possible? Yes, it's possible, right? And so
[01:34:45.960 --> 01:34:49.800]   I just wanted to throw that out there, because this is something that I asked when I was younger,
[01:34:49.800 --> 01:34:54.520]   looking at this, it's like, it's crazy to think that all the animals like fit into that boat,
[01:34:54.520 --> 01:34:59.560]   but considering the size of the boat, the volume of the boat, and the volume of all the animals put
[01:34:59.560 --> 01:35:08.760]   together, it could have easily done that, okay? And in chapter 8, verse 1, before the flood actually
[01:35:08.760 --> 01:35:13.960]   comes, he said God remembered Noah. Now obviously, when he says he remembered, it doesn't mean like he
[01:35:13.960 --> 01:35:18.760]   told him to build the ark, and then just, oh, that's right, I forgot about Noah, right? Clearly,
[01:35:18.760 --> 01:35:24.360]   that's not what he means, right? He means that the covenant that he made, that he was going to save
[01:35:24.360 --> 01:35:31.080]   mankind through Noah, that he keeps his promise, right? And that's the theme all throughout redemptive
[01:35:31.080 --> 01:35:36.520]   history, it's God remembers, God remembers, God remembers, right? Meaning that what he was doing
[01:35:36.520 --> 01:35:42.120]   in the creation, what he's doing with Noah, what he is doing with Israel, what he's doing, he does not
[01:35:42.120 --> 01:35:47.480]   forget. He does not change his mind. God is not man that he should lie, nor the son of man that he should
[01:35:47.480 --> 01:35:53.160]   repent, right? Has he not said it, and will he not do it? If God said it, he will do it, even though it
[01:35:53.160 --> 01:35:59.480]   may seem as impossible, when you lose all hope, right? Because you just cannot see, well, how can God do
[01:35:59.480 --> 01:36:05.880]   this, and why would God do this? He says God remembers, right? So what he is doing here with Noah, what he is
[01:36:05.880 --> 01:36:11.000]   doing with the nation of Israel, he says he will remember, and you see that all throughout redemptive
[01:36:11.000 --> 01:36:17.800]   history. God never changes his mind or his purpose, okay? And he, and Book of Hebrews says, nor can he do
[01:36:17.800 --> 01:36:24.840]   so, he cannot change, right? Which means when he says, tells us to remember, obviously we have a tendency
[01:36:24.840 --> 01:36:30.680]   to forget, but he, when he tells us to remember, he's telling us more than just think about it. He's,
[01:36:30.680 --> 01:36:36.120]   he's telling us to be faithful to the covenant, because God is faithful to us, that we are to remember,
[01:36:36.120 --> 01:36:46.200]   and to be faithful to him, okay? This physical, uh, I remember the very first movie that my dad took us
[01:36:46.200 --> 01:36:53.480]   to in Philadelphia in 1975, when we came to the United States. He made such a big deal, and we went to the
[01:36:53.480 --> 01:37:00.840]   theater, so excited, and there was a documentary on how they found Noah's Ark on the mountain of
[01:37:01.560 --> 01:37:09.080]   Turkey, and we didn't even understand English at that time. So I remember to vow never to watch an
[01:37:09.080 --> 01:37:14.760]   American movie again, because if this is what an American movie looks like, right? But there's so
[01:37:14.760 --> 01:37:19.640]   many, so many documentaries of people looking for it, and I don't actually have pictures, but they do
[01:37:19.640 --> 01:37:26.360]   think, okay, again, it's not proven that somewhere in Turkey that they have a place where it looks like,
[01:37:26.360 --> 01:37:31.320]   whether they found wood pieces, or the shape of it, and sitting on the top of one of the mountains
[01:37:31.320 --> 01:37:35.960]   over there. Um, if you Google it, you'll easily find it. There's tons of pictures, okay?
[01:37:35.960 --> 01:37:44.360]   So the fact that God left evidence, right? And my guess is, by the time Moses was riding it,
[01:37:44.360 --> 01:37:50.200]   Moses knew exactly where this boat was. That's my thought, right? Because it's not that far removed.
[01:37:50.200 --> 01:37:58.280]   Okay. Uh, next question. God was so clear about how to build the ark, and what to collect, and yet when
[01:37:58.280 --> 01:38:03.400]   it was time to exit the ark, right, Noah had to go through all this ritual of finding, is it dry,
[01:38:03.400 --> 01:38:08.920]   is it not? Uh, why do you think God didn't give specific instructions after the flood? Now, again,
[01:38:08.920 --> 01:38:14.920]   this is just conjecture, uh, but if you look at the pattern in which God works, there's a tendency
[01:38:14.920 --> 01:38:19.720]   to people think that whenever you see God working a certain way that that's how God's going to work
[01:38:19.720 --> 01:38:28.920]   in every single instance, right? God spoke to, you know, to Paul. God spoke to Moses. And so you're
[01:38:28.920 --> 01:38:34.200]   waiting, I'm waiting for God to speak to me. Is that the typical pattern in which God works is through the
[01:38:34.200 --> 01:38:43.400]   prophets through the written word, right? And so God was very engaged with, with them early on, even,
[01:38:43.400 --> 01:38:47.960]   even in Noah's life. It wasn't like every single day God gave specific instruction, do this, turn left,
[01:38:47.960 --> 01:38:54.040]   turn right. And, uh, I remember, especially in the charismatic camp, they think that whatever you see
[01:38:54.040 --> 01:38:59.400]   is a pattern that, that needs to be repeated. But I remember two of my roommates who were very charismatic,
[01:38:59.400 --> 01:39:04.760]   who are older than me, uh, right before they got married, I remember them being so disappointed.
[01:39:04.760 --> 01:39:10.040]   And the reason why they were disappointed is because they thought that God was going to give
[01:39:10.040 --> 01:39:16.440]   them some special revelation as to who they were supposed to marry. But that never happened. So they
[01:39:16.440 --> 01:39:21.160]   were thinking, huh, this is not what we thought. And at the end, the end conclusion of both of them,
[01:39:21.160 --> 01:39:26.920]   two separate times being married was, oh, this is just, I just need to make a wise, godly choice,
[01:39:26.920 --> 01:39:33.880]   right? Um, the whole reason why I point this out is because even Noah, how God spoke to him in the
[01:39:33.880 --> 01:39:39.080]   beginning and at the end was very different. Okay. This is not a normal pattern that we are to wait for,
[01:39:39.080 --> 01:39:44.440]   like God for me to speak and say, do you want me to do this? Or do you want me to do that? Right?
[01:39:44.440 --> 01:39:50.920]   God says to not to conform to the pattern of this world, but renew your mind that you may be able to
[01:39:50.920 --> 01:39:56.760]   test and approve the will of God, that which is perfect and good. Right? So we are by renewing
[01:39:56.760 --> 01:40:03.400]   our mind through the word of God, through repentance, that, that we are to be able to discern the will of
[01:40:03.400 --> 01:40:10.840]   God. Right? So God's given that to us. And then you see right off the bat, Noah built an altar,
[01:40:10.840 --> 01:40:16.040]   offered a burnt offering, and once they exited, where in the Bible does it, does this come out?
[01:40:16.040 --> 01:40:22.280]   Obviously, Leviticus chapter one. So right off the bat, the sacrifices teach that sin requires death.
[01:40:22.280 --> 01:40:28.440]   Right? Sin requires death, right? That's one of the first things that is taught in the sacrificial system.
[01:40:29.320 --> 01:40:34.920]   That it is a bloody scene at the altar, that they are being slaughtered, and the blood is being
[01:40:34.920 --> 01:40:39.960]   sprinkled everywhere. The fact that this was given not only at the tabernacle, but this was being
[01:40:39.960 --> 01:40:46.600]   practiced from the very beginning. Sin requires death. God provided a way to live, right? Through the
[01:40:46.600 --> 01:40:52.040]   sacrifice of the animals that they were atoned for, right? By faith, knowing that the true atonement was
[01:40:52.040 --> 01:40:57.880]   going to come in Christ. And then again, the blood atonement was necessary, right? Without the shedding of
[01:40:57.880 --> 01:41:04.360]   blood, there is no forgiveness of sins, right? And so this was embedded from the beginning, right?
[01:41:04.360 --> 01:41:09.000]   In Genesis chapter three, it says the seed of the woman is going to crush the head of the serpent.
[01:41:09.000 --> 01:41:14.120]   And so the specifics of that, even though it doesn't mention it there, the specifics of the coming of
[01:41:14.120 --> 01:41:21.400]   Christ was embedded into their daily practice, right? And so we see that right off the bat, as soon as
[01:41:22.360 --> 01:41:28.840]   Noah comes up, the first thing that he does is he offers sacrifice, right? One, out of thanksgiving, but two,
[01:41:28.840 --> 01:41:35.160]   he knew that this was the only way that he can have a relationship with this holy God, okay? So all of
[01:41:35.160 --> 01:41:41.880]   this is preparation for the coming of Christ, okay? All right, so this is the study question for chapter
[01:41:41.880 --> 01:41:44.760]   nine. I'm not going to go through it. I think it's pretty self-explanatory.
[01:41:44.760 --> 01:41:53.000]   And then here's the discussion questions, okay? Let me pray for us, and then I'll let you go to get to
[01:41:53.000 --> 01:42:05.000]   your discussion. Father, we thank you for your mercies. We thank you, Father God, that you do remember
[01:42:06.280 --> 01:42:11.240]   that everything that you have chosen to do and will to do, that you do, that you are faithful to your
[01:42:11.240 --> 01:42:19.560]   promises, whether it is to Noah, to his family, to Israel, to the church, to us, that our confidence
[01:42:19.560 --> 01:42:27.080]   may not come, Lord God, because of who we are, but because of who you are. Help us, Lord God, to ground our
[01:42:27.080 --> 01:42:37.240]   faith firmly upon an unchanging love of who you are, and help us to even understand, Lord God, that we are
[01:42:37.240 --> 01:42:43.400]   living in a period of grace, knowing that one day, that even though it may not be through a flood, that
[01:42:43.400 --> 01:42:49.800]   the judgment will come. So help us, Lord God, to live like people who are preparing and being ready, that we
[01:42:49.800 --> 01:42:55.480]   may not be caught off like a thief coming in the night. So we ask, Lord God, that you would bless this time of
[01:42:55.480 --> 01:43:10.040]   discussion. Sanctify us and renew us, Lord God, through this time. In Jesus' name we pray. Amen.
[01:43:10.040 --> 01:43:12.040]   Amen.
[01:43:12.040 --> 01:43:14.040]   Amen.
[01:43:14.040 --> 01:43:14.040]   Amen.
[01:43:14.040 --> 01:43:14.040]   Amen.
[01:43:14.040 --> 01:43:14.040]   Amen.
[01:43:14.040 --> 01:43:14.040]   Amen.
[01:43:14.040 --> 01:43:14.040]   Amen.
[01:43:14.040 --> 01:43:14.040]   Amen.
[01:43:14.040 --> 01:43:14.040]   Amen.
[01:43:14.040 --> 01:43:16.040]   Amen.
[01:43:16.040 --> 01:43:16.040]   Amen.
[01:43:16.040 --> 01:43:16.040]   Amen.
[01:43:16.040 --> 01:43:16.040]   Amen.
[01:43:16.040 --> 01:43:18.040]   Amen.
[01:43:18.040 --> 01:43:18.040]   Amen.
[01:43:18.040 --> 01:43:18.040]   Amen.
[01:43:18.040 --> 01:43:18.040]   Amen.
[01:43:18.040 --> 01:43:48.020]   Thank you.
[01:43:48.020 --> 01:44:18.000]   Thank you.
[01:44:18.000 --> 01:44:31.740]   Thank you.

