
[00:00:00.000 --> 00:00:00.540]   Let's try.
[00:35:44.900 --> 00:35:45.900]   There's no other group to put her in.
[00:35:45.900 --> 00:35:46.900]   There's no other group to put her in.
[00:35:46.900 --> 00:35:47.900]   There's no other group to put her in.
[00:35:47.900 --> 00:35:48.900]   There's no other group to put her in.
[00:35:48.900 --> 00:35:48.900]   There's no other group to put her in.
[00:35:48.900 --> 00:35:52.940]   There's no other group to put her in.
[00:35:52.940 --> 00:35:54.940]   There's no other group to put her in.
[00:35:54.940 --> 00:35:57.940]   There's no other group to put her in.
[00:35:57.940 --> 00:35:58.940]   There's no other group to put her in.
[00:35:58.940 --> 00:35:59.940]   There's no other group to put her in.
[00:35:59.940 --> 00:36:00.940]   There's no other group to put her in.
[00:36:00.940 --> 00:36:01.940]   There's no other group to put her in.
[00:36:01.940 --> 00:36:02.940]   There's no other group to put her in.
[00:36:02.940 --> 00:36:04.940]   There's no other group to put her in.
[00:36:04.940 --> 00:36:05.940]   There's no other group to put her in.
[00:36:05.940 --> 00:36:06.940]   There's no other group to put her in.
[00:36:06.940 --> 00:36:07.940]   There's no other group to put her in.
[00:36:07.940 --> 00:36:08.940]   There's no other group to put her in.
[00:36:08.940 --> 00:36:09.940]   There's no other group to put her in.
[00:36:09.940 --> 00:36:10.940]   There's no other group to put her in.
[00:36:10.940 --> 00:36:11.940]   There's no other group to put her in.
[00:36:11.940 --> 00:36:12.940]   There's no other group to put her in.
[00:36:12.940 --> 00:36:13.940]   There's no other group to put her in.
[00:36:13.940 --> 00:36:14.980]   There's no other group to put her in.
[00:36:14.980 --> 00:36:16.980]   There's no other group to put her in.
[00:36:16.980 --> 00:36:17.980]   There's no other group to put her in.
[00:36:17.980 --> 00:36:18.980]   There's no other group to put her in.
[00:36:18.980 --> 00:36:19.980]   There's no other group to put her in.
[00:36:19.980 --> 00:36:20.980]   There's no other group to put her in.
[00:36:20.980 --> 00:36:21.980]   There's no other group to put her in.
[00:36:21.980 --> 00:36:22.980]   There's no other group to put her in.
[00:36:22.980 --> 00:36:23.980]   There's no other group to put her in.
[00:36:23.980 --> 00:36:29.020]   There's no other group to put her in.
[00:36:29.020 --> 00:36:30.020]   There's no other group to put her in.
[00:36:30.020 --> 00:36:32.020]   There's no other group to put her in.
[00:36:32.020 --> 00:36:33.020]   There's no other group to put her in.
[00:36:33.020 --> 00:36:34.020]   There's no other group to put her in.
[00:36:34.020 --> 00:36:35.020]   There's no other group to put her in.
[00:36:35.020 --> 00:36:36.020]   There's no other group to put her in.
[00:36:36.020 --> 00:36:37.020]   There's no other group to put her in.
[00:36:37.020 --> 00:36:38.020]   There's no other group to put her in.
[00:36:38.020 --> 00:36:39.020]   There's no other group to put her in.
[00:36:39.020 --> 00:36:40.020]   There's no other group to put her in.
[00:36:40.020 --> 00:36:41.020]   There's no other group to put her in.
[00:36:41.020 --> 00:36:42.020]   There's no other group to put her in.
[00:36:42.020 --> 00:36:43.020]   There's no other group to put her in.
[00:36:43.020 --> 00:36:44.020]   There's no other group to put her in.
[00:36:44.020 --> 00:36:45.020]   There's no other group to put her in.
[00:36:45.020 --> 00:36:46.020]   There's no other group to put her in.
[00:36:46.020 --> 00:36:47.020]   There's no other group to put her in.
[00:36:47.020 --> 00:37:01.060]   There's no other group to put her in.
[00:37:01.060 --> 00:37:05.060]   There's no other group to put her in.
[00:37:05.060 --> 00:37:08.060]   There's no other group to put her in.
[00:37:08.060 --> 00:37:11.060]   There's no other group to put her in.
[00:37:11.060 --> 00:37:15.060]   There's no other group to put her in.
[00:37:15.060 --> 00:37:19.100]   there's no other group to put her in.
[00:37:19.100 --> 00:37:21.100]   There's no other group to put her in.
[00:37:21.100 --> 00:37:23.100]   There's no other group to put her in.
[00:37:23.100 --> 00:37:24.100]   There's no other group to put her in.
[00:37:24.100 --> 00:37:25.100]   There's no other group to put her in.
[00:37:25.100 --> 00:37:26.100]   There's no other group to put her in.
[00:37:26.100 --> 00:37:27.100]   There's no other group to put her in.
[00:37:27.100 --> 00:37:28.100]   There's no other group to put her in.
[00:37:28.100 --> 00:37:29.100]   There's no other group to put her in.
[00:37:29.100 --> 00:37:30.100]   There's no other group to put her in.
[00:37:30.100 --> 00:37:31.100]   There's no other group to put her in.
[00:37:31.100 --> 00:37:32.100]   There's no other group to put her in.
[00:37:32.100 --> 00:37:34.100]   There's no other group to put her in.
[00:37:34.100 --> 00:37:35.100]   There's no other group to put her in.
[00:37:35.100 --> 00:37:37.100]   There's no other group to put her in.
[00:37:37.100 --> 00:37:38.100]   There's no other group to put her in.
[00:37:38.100 --> 00:37:39.100]   There's no other group to put her in.
[00:37:39.100 --> 00:37:40.100]   There's no other group to put her in.
[00:37:40.100 --> 00:37:42.140]   There's no other group to put her in.
[00:37:42.140 --> 00:37:44.140]   There's no other group to put her in.
[00:37:44.140 --> 00:37:45.140]   There's no other group to put her in.
[00:37:45.140 --> 00:37:46.140]   There's no other group to put her in.
[00:37:46.140 --> 00:37:47.140]   There's no other group to put her in.
[00:37:47.140 --> 00:37:48.140]   There's no other group to put her in.
[00:37:48.140 --> 00:37:49.140]   There's no other group to put her in.
[00:37:49.140 --> 00:37:50.140]   There's no other group to put her in.
[00:37:50.140 --> 00:37:51.140]   There's no other group to put her in.
[00:37:51.140 --> 00:37:52.140]   There's no other group to put her in.
[00:37:52.140 --> 00:37:53.140]   There's no other group to put her in.
[00:37:53.140 --> 00:37:54.180]   There's no other group to put her in.
[00:37:54.180 --> 00:37:57.180]   There's no other group to put her in.
[00:37:57.180 --> 00:37:59.180]   There's no other group to put her in.
[00:37:59.180 --> 00:38:00.180]   There's no other group to put her in.
[00:38:00.180 --> 00:38:01.180]   There's no other group to put her in.
[00:38:01.180 --> 00:38:02.180]   There's no other group to put her in.
[00:38:02.180 --> 00:38:03.180]   There's no other group to put her in.
[00:38:03.180 --> 00:38:04.180]   There's no other group to put her in.
[00:38:04.180 --> 00:38:05.180]   There's no other group to put her in.
[00:38:05.180 --> 00:38:06.180]   There's no other group to put her in.
[00:38:06.180 --> 00:38:07.180]   There's no other group to put her in.
[00:38:07.180 --> 00:38:08.180]   There's no other group to put her in.
[00:38:08.180 --> 00:38:09.180]   There's no other group to put her in.
[00:38:09.180 --> 00:38:10.180]   There's no other group to put her in.
[00:38:10.180 --> 00:38:11.180]   There's no other group to put her in.
[00:38:11.180 --> 00:38:12.180]   There's no other group to put her in.
[00:38:12.180 --> 00:38:13.180]   There's no other group to put her in.
[00:38:13.180 --> 00:38:14.180]   There's no other group to put her in.
[00:38:14.180 --> 00:38:16.220]   There's no other group to put her in.
[00:38:16.220 --> 00:38:18.220]   There's no other group to put her in.
[00:38:18.220 --> 00:38:19.220]   There's no other group to put her in.
[00:38:19.220 --> 00:38:20.220]   There's no other group to put her in.
[00:38:20.220 --> 00:38:21.220]   There's no other group to put her in.
[00:38:21.220 --> 00:38:22.220]   There's no other group to put her in.
[00:38:22.220 --> 00:38:23.220]   There's no other group to put her in.
[00:38:23.220 --> 00:38:24.220]   There's no other group to put her in.
[00:38:24.220 --> 00:38:25.220]   There's no other group to put her in.
[00:38:25.220 --> 00:38:26.220]   There's no other group to put her in.
[00:38:26.220 --> 00:38:27.220]   There's no other group to put her in.
[00:38:27.220 --> 00:38:28.220]   There's no other group to put her in.
[00:38:28.220 --> 00:38:29.220]   There's no other group to put her in.
[00:38:29.220 --> 00:38:30.220]   There's no other group to put her in.
[00:38:30.220 --> 00:38:31.220]   There's no other group to put her in.
[00:38:31.220 --> 00:38:32.220]   There's no other group to put her in.
[00:38:32.220 --> 00:38:33.220]   There's no other group to put her in.
[00:38:33.220 --> 00:38:34.220]   There's no other group to put her in.
[00:38:34.220 --> 00:38:38.260]   There's no other group to put her in.
[00:38:38.260 --> 00:38:40.260]   There's no other group to put her in.
[00:38:40.260 --> 00:38:41.260]   There's no other group to put her in.
[00:38:41.260 --> 00:38:42.260]   There's no other group to put her in.
[00:38:42.260 --> 00:38:43.260]   There's no other group to put her in.
[00:38:43.260 --> 00:38:45.260]   There's no other group to put her in.
[00:38:45.260 --> 00:38:46.260]   There's no other group to put her in.
[00:38:46.260 --> 00:38:47.260]   There's no other group to put her in.
[00:38:47.260 --> 00:38:48.260]   There's no other group to put her in.
[00:38:48.260 --> 00:38:49.260]   There's no other group to put her in.
[00:38:49.260 --> 00:38:50.260]   There's no other group to put her in.
[00:38:50.260 --> 00:38:51.260]   There's no other group to put her in.
[00:38:51.260 --> 00:38:52.260]   There's no other group to put her in.
[00:38:52.260 --> 00:38:54.260]   There's no other group to put her in.
[00:38:54.260 --> 00:38:55.260]   There's no other group to put her in.
[00:38:55.260 --> 00:38:56.260]   There's no other group to put her in.
[00:38:56.260 --> 00:38:57.260]   There's no other group to put her in.
[00:38:57.260 --> 00:38:58.260]   There's no other group to put her in.
[00:38:58.260 --> 00:39:00.260]   There's no other group to put her in.
[00:39:00.260 --> 00:39:01.260]   There's no other group to put her in.
[00:39:01.260 --> 00:39:02.260]   There's no other group to put her in.
[00:39:02.260 --> 00:39:03.260]   There's no other group to put her in.
[00:39:03.260 --> 00:39:04.260]   There's no other group to put her in.
[00:39:04.260 --> 00:39:05.260]   There's no other group to put her in.
[00:39:05.260 --> 00:39:06.260]   There's no other group to put her in.
[00:39:06.260 --> 00:39:07.260]   There's no other group to put her in.
[00:39:07.260 --> 00:39:08.260]   There's no other group to put her in.
[00:39:08.260 --> 00:39:09.260]   There's no other group to put her in.
[00:39:09.260 --> 00:39:10.260]   There's no other group to put her in.
[00:39:10.260 --> 00:39:11.260]   There's no other group to put her in.
[00:39:11.260 --> 00:39:12.260]   There's no other group to put her in.
[00:39:12.260 --> 00:39:13.260]   There's no other group to put her in.
[00:39:13.260 --> 00:39:14.260]   There's no other group to put her in.
[00:39:14.260 --> 00:39:15.260]   There's no other group to put her in.
[00:39:15.260 --> 00:39:16.260]   There's no other group to put her in.
[00:39:16.260 --> 00:39:17.260]   There's no other group to put her in.
[00:39:17.260 --> 00:39:18.260]   There's no other group to put her in.
[00:39:18.260 --> 00:39:19.260]   There's no other group to put her in.
[00:39:19.260 --> 00:39:20.260]   There's no other group to put her in.
[00:39:20.260 --> 00:39:21.260]   There's no other group to put her in.
[00:39:21.260 --> 00:39:22.260]   There's no other group to put her in.
[00:39:22.260 --> 00:39:23.260]   There's no other group to put her in.
[00:39:23.260 --> 00:39:24.260]   There's no other group to put her in.
[00:39:24.260 --> 00:39:25.260]   There's no other group to put her in.
[00:39:25.260 --> 00:39:26.260]   There's no other group to put her in.
[00:39:26.260 --> 00:39:27.260]   There's no other group to put her in.
[00:39:27.260 --> 00:39:28.260]   There's no other group to put her in.
[00:39:28.260 --> 00:39:29.260]   There's no other group to put her in.
[00:39:29.260 --> 00:39:30.260]   There's no other group to put her in.
[00:39:30.260 --> 00:39:31.260]   There's no other group to put her in.
[00:39:31.260 --> 00:39:32.260]   There's no other group to put her in.
[00:39:32.260 --> 00:39:33.260]   There's no other group to put her in.
[00:39:33.260 --> 00:39:34.260]   There's no other group to put her in.
[00:39:34.260 --> 00:39:35.260]   There's no other group to put her in.
[00:39:35.260 --> 00:39:36.260]   There's no other group to put her in.
[00:39:36.260 --> 00:39:37.260]   There's no other group to put her in.
[00:39:37.260 --> 00:39:38.260]   There's no other group to put her in.
[00:39:38.260 --> 00:39:39.260]   There's no other group to put her in.
[00:39:39.260 --> 00:39:40.260]   There's no other group to put her in.
[00:39:40.260 --> 00:39:41.260]   There's no other group to put her in.
[00:39:41.260 --> 00:39:42.260]   There's no other group to put her in.
[00:39:42.260 --> 00:39:43.260]   There's no other group to put her in.
[00:39:43.260 --> 00:39:44.260]   There's no other group to put her in.
[00:39:44.260 --> 00:39:45.260]   There's no other group to put her in.
[00:39:45.260 --> 00:39:46.260]   There's no other group to put her in.
[00:39:46.260 --> 00:39:47.260]   There's no other group to put her in.
[00:39:47.260 --> 00:39:48.260]   There's no other group to put her in.
[00:39:48.260 --> 00:39:49.260]   There's no other group to put her in.
[00:39:49.260 --> 00:39:50.260]   There's no other group to put her in.
[00:39:50.260 --> 00:39:51.260]   There's no other group to put her in.
[00:39:51.260 --> 00:39:52.260]   There's no other group to put her in.
[00:39:52.260 --> 00:39:53.260]   There's no other group to put her in.
[00:39:53.260 --> 00:39:56.260]   There's no other group to put her in.
[00:39:56.260 --> 00:39:57.260]   There's no other group to put her in.
[00:39:57.260 --> 00:39:58.260]   There's no other group to put her in.
[00:39:58.260 --> 00:39:59.260]   There's no other group to put her in.
[00:39:59.260 --> 00:40:00.260]   There's no other group to put her in.
[00:40:00.260 --> 00:40:01.260]   There's no other group to put her in.
[00:40:01.260 --> 00:40:02.260]   There's no other group to put her in.
[00:40:02.260 --> 00:40:03.260]   There's no other group to put her in.
[00:40:03.260 --> 00:40:04.260]   There's no other group to put her in.
[00:40:04.260 --> 00:40:05.260]   There's no other group to put her in.
[00:40:05.260 --> 00:40:06.260]   There's no other group to put her in.
[00:40:06.260 --> 00:40:07.260]   There's no other group to put her in.
[00:40:07.260 --> 00:40:08.260]   There's no other group to put her in.
[00:40:08.260 --> 00:40:09.260]   There's no other group to put her in.
[00:40:09.260 --> 00:40:10.260]   There's no other group to put her in.
[00:40:10.260 --> 00:40:11.260]   There's no other group to put her in.
[00:40:11.260 --> 00:40:12.260]   There's no other group to put her in.
[00:40:12.260 --> 00:40:13.260]   There's no other group to put her in.
[00:40:13.260 --> 00:40:15.260]   There's no other group to put her in.
[00:40:15.260 --> 00:40:16.260]   There's no other group to put her in.
[00:40:16.260 --> 00:40:17.260]   There's no other group to put her in.
[00:40:17.260 --> 00:40:18.260]   There's no other group to put her in.
[00:40:18.260 --> 00:40:19.260]   There's no other group to put her in.
[00:40:19.260 --> 00:40:20.260]   There's no other group to put her in.
[00:40:20.260 --> 00:40:21.260]   There's no other group to put her in.
[00:40:21.260 --> 00:40:22.260]   There's no other group to put her in.
[00:40:22.260 --> 00:40:23.260]   There's no other group to put her in.
[00:40:23.260 --> 00:40:24.260]   There's no other group to put her in.
[00:40:24.260 --> 00:40:25.260]   There's no other group to put her in.
[00:40:25.260 --> 00:40:26.260]   There's no other group to put her in.
[00:40:26.260 --> 00:40:27.260]   There's no other group to put her in.
[00:40:27.260 --> 00:40:28.260]   There's no other group to put her in.
[00:40:28.260 --> 00:40:29.260]   There's no other group to put her in.
[00:40:29.260 --> 00:40:30.260]   There's no other group to put her in.
[00:40:30.260 --> 00:40:31.260]   There's no other group to put her in.
[00:40:31.260 --> 00:40:32.260]   There's no other group to put her in.
[00:40:32.260 --> 00:40:33.260]   there's no other group to put her in.
[00:40:33.260 --> 00:40:34.260]   There's no other group to put her in.
[00:40:34.260 --> 00:40:35.260]   There's no other group to put her in.
[00:40:35.260 --> 00:40:36.260]   There's no other group to put her in.
[00:40:36.260 --> 00:40:37.260]   There's no other group to put her in.
[00:40:37.260 --> 00:40:38.260]   There's no other group to put her in.
[00:40:38.260 --> 00:40:39.260]   There's no other group to put her in.
[00:40:39.260 --> 00:40:40.260]   There's no other group to put her in.
[00:40:40.260 --> 00:40:41.260]   There's no other group to put her in.
[00:40:41.260 --> 00:40:42.260]   There's no other group to put her in.
[00:40:42.260 --> 00:40:43.260]   There's no other group to put her in.
[00:40:43.260 --> 00:40:44.260]   There's no other group to put her in.
[00:40:44.260 --> 00:40:45.260]   There's no other group to put her in.
[00:40:45.260 --> 00:40:46.260]   There's no other group to put her in.
[00:40:46.260 --> 00:40:47.260]   There's no other group to put her in.
[00:40:47.260 --> 00:40:48.260]   There's no other group to put her in.
[00:40:48.260 --> 00:40:49.260]   There's no other group to put her in.
[00:40:49.260 --> 00:40:50.260]   There's no other group to put her in.
[00:40:50.260 --> 00:40:51.260]   there's no other group to put her in.
[00:40:51.260 --> 00:40:52.260]   There's no other group to put her in.
[00:40:52.260 --> 00:40:53.260]   There's no other group to put her in.
[00:40:53.260 --> 00:40:54.260]   There's no other group to put her in.
[00:40:54.260 --> 00:40:55.260]   There's no other group to put her in.
[00:40:55.260 --> 00:40:56.260]   There's no other group to put her in.
[00:40:56.260 --> 00:40:57.260]   There's no other group to put her in.
[00:40:57.260 --> 00:40:58.260]   There's no other group to put her in.
[00:40:58.260 --> 00:40:59.260]   There's no other group to put her in.
[00:40:59.260 --> 00:41:00.260]   There's no other group to put her in.
[00:41:00.260 --> 00:41:01.260]   There's no other group to put her in.
[00:41:01.260 --> 00:41:02.260]   There's no other group to put her in.
[00:41:02.260 --> 00:41:03.260]   There's no other group to put her in.
[00:41:03.260 --> 00:41:04.260]   There's no other group to put her in.
[00:41:04.260 --> 00:41:05.260]   There's no other group to put her in.
[00:41:05.260 --> 00:41:06.260]   There's no other group to put her in.
[00:41:06.260 --> 00:41:07.260]   There's no other group to put her in.
[00:41:07.260 --> 00:41:08.260]   There's no other group to put her in.
[00:41:08.260 --> 00:41:09.260]   There's no other group to put her in.
[00:41:09.260 --> 00:41:10.260]   There's no other group to put her in.
[00:41:10.260 --> 00:41:11.260]   There's no other group to put her in.
[00:41:11.260 --> 00:41:12.260]   There's no other group to put her in.
[00:41:12.260 --> 00:41:13.260]   There's no other group to put her in.
[00:41:13.260 --> 00:41:14.260]   There's no other group to put her in.
[00:41:14.260 --> 00:41:15.260]   There's no other group to put her in.
[00:41:15.260 --> 00:41:16.260]   There's no other group to put her in.
[00:41:16.260 --> 00:41:17.260]   There's no other group to put her in.
[00:41:17.260 --> 00:41:18.260]   There's no other group to put her in.
[00:41:18.260 --> 00:41:19.260]   There's no other group to put her in.
[00:41:19.260 --> 00:41:20.260]   There's no other group to put her in.
[00:41:20.260 --> 00:41:21.260]   There's no other group to put her in.
[00:41:21.260 --> 00:41:22.260]   There's no other group to put her in.
[00:41:22.260 --> 00:41:23.260]   There's no other group to put her in.
[00:41:23.260 --> 00:41:24.260]   There's no other group to put her in.
[00:41:24.260 --> 00:41:25.260]   There's no other group to put her in.
[00:41:25.260 --> 00:41:26.260]   There's no other group to put her in.
[00:41:26.260 --> 00:41:27.260]   There's no other group to put her in.
[00:41:27.260 --> 00:41:28.260]   There's no other group to put her in.
[00:41:28.260 --> 00:41:29.260]   There's no other group to put her in.
[00:41:29.260 --> 00:41:30.260]   There's no other group to put her in.
[00:41:30.260 --> 00:41:31.260]   There's no other group to put her in.
[00:41:31.260 --> 00:41:32.260]   There's no other group to put her in.
[00:41:32.260 --> 00:41:33.260]   There's no other group to put her in.
[00:41:33.260 --> 00:41:34.260]   There's no other group to put her in.
[00:41:34.260 --> 00:41:35.260]   There's no other group to put her in.
[00:41:35.260 --> 00:41:36.260]   There's no other group to put her in.
[00:41:36.260 --> 00:41:37.260]   There's no other group to put her in.
[00:41:37.260 --> 00:41:38.260]   There's no other group to put her in.
[00:41:38.260 --> 00:41:39.260]   There's no other group to put her in.
[00:41:39.260 --> 00:41:40.260]   There's no other group to put her in.
[00:41:40.260 --> 00:41:41.260]   There's no other group to put her in.
[00:41:41.260 --> 00:41:42.260]   There's no other group to put her in.
[00:41:42.260 --> 00:41:43.260]   There's no other group to put her in.
[00:41:43.260 --> 00:41:44.260]   There's no other group to put her in.
[00:41:44.260 --> 00:41:45.260]   There's no other group to put her in.
[00:41:45.260 --> 00:41:46.260]   There's no other group to put her in.
[00:41:46.260 --> 00:41:47.260]   There's no other group to put her in.
[00:41:47.260 --> 00:41:48.260]   There's no other group to put her in.
[00:41:48.260 --> 00:41:49.260]   There's no other group to put her in.
[00:41:49.260 --> 00:41:50.260]   There's no other group to put her in.
[00:41:50.260 --> 00:41:51.260]   There's no other group to put her in.
[00:41:51.260 --> 00:41:52.260]   There's no other group to put her in.
[00:41:52.260 --> 00:41:53.260]   There's no other group to put her in.
[00:41:53.260 --> 00:41:54.260]   There's no other group to put her in.
[00:41:54.260 --> 00:41:55.260]   There's no other group to put her in.
[00:41:55.260 --> 00:41:56.260]   There's no other group to put her in.
[00:41:56.260 --> 00:41:57.260]   There's no other group to put her in.
[00:41:57.260 --> 00:41:58.260]   There's no other group to put her in.
[00:41:58.260 --> 00:41:59.260]   There's no other group to put her in.
[00:41:59.260 --> 00:42:00.260]   There's no other group to put her in.
[00:42:00.260 --> 00:42:02.260]   There's no other group to put her in.
[00:42:02.260 --> 00:42:03.260]   There's no other group to put her in.
[00:42:03.260 --> 00:42:04.260]   There's no other group to put her in.
[00:42:04.260 --> 00:42:05.260]   There's no other group to put her in.
[00:42:05.260 --> 00:42:06.260]   There's no other group to put her in.
[00:42:06.260 --> 00:42:07.260]   There's no other group to put her in.
[00:42:07.260 --> 00:42:08.260]   There's no other group to put her in.
[00:42:08.260 --> 00:42:09.260]   There's no other group to put her in.
[00:42:09.260 --> 00:42:10.260]   There's no other group to put her in.
[00:42:10.260 --> 00:42:11.260]   There's no other group to put her in.
[00:42:11.260 --> 00:42:12.260]   There's no other group to put her in.
[00:42:12.260 --> 00:42:13.260]   There's no other group to put her in.
[00:42:13.260 --> 00:42:14.260]   There's no other group to put her in.
[00:42:14.260 --> 00:42:15.260]   There's no other group to put her in.
[00:42:15.260 --> 00:42:16.260]   There's no other group to put her in.
[00:42:16.260 --> 00:42:17.260]   There's no other group to put her in.
[00:42:17.260 --> 00:42:18.260]   There's no other group to put her in.
[00:42:18.260 --> 00:42:19.260]   There's no other group to put her in.
[00:42:19.260 --> 00:42:20.260]   There's no other group to put her in.
[00:42:20.260 --> 00:42:22.260]   There's no other group to put her in.
[00:42:22.260 --> 00:42:23.260]   There's no other group to put her in.
[00:42:23.260 --> 00:42:24.260]   There's no other group to put her in.
[00:42:24.260 --> 00:42:25.260]   There's no other group to put her in.
[00:42:25.260 --> 00:42:26.260]   There's no other group to put her in.
[00:42:26.260 --> 00:42:27.260]   There's no other group to put her in.
[00:42:27.260 --> 00:42:28.260]   There's no other group to put her in.
[00:42:28.260 --> 00:42:29.260]   There's no other group to put her in.
[00:42:29.260 --> 00:42:30.260]   There's no other group to put her in.
[00:42:30.260 --> 00:42:31.260]   There's no other group to put her in.
[00:42:31.260 --> 00:42:32.260]   There's no other group to put her in.
[00:42:32.260 --> 00:42:33.260]   There's no other group to put her in.
[00:42:33.260 --> 00:42:34.260]   There's no other group to put her in.
[00:42:34.260 --> 00:42:35.260]   There's no other group to put her in.
[00:42:35.260 --> 00:42:36.260]   There's no other group to put her in.
[00:42:36.260 --> 00:42:37.260]   There's no other group to put her in.
[00:42:37.260 --> 00:42:38.260]   There's no other group to put her in.
[00:42:38.260 --> 00:42:40.260]   There's no other group to put her in.
[00:42:40.260 --> 00:42:41.260]   There's no other group to put her in.
[00:42:41.260 --> 00:42:56.260]   There's no other group to put her in.
[00:42:56.260 --> 00:42:59.260]   There's no other group to put her in.
[00:42:59.260 --> 00:43:02.260]   There's no other group to put her in.
[00:43:02.260 --> 00:43:04.260]   There's no other group to put her in.
[00:43:04.260 --> 00:43:06.260]   There's no other group to put her in.
[00:43:06.260 --> 00:43:08.260]   There's no other group to put her in.
[00:43:08.260 --> 00:43:10.260]   There's no other group to put her in.
[00:43:10.260 --> 00:43:11.260]   There's no other group to put her in.
[00:43:11.260 --> 00:43:12.260]   There's no other group to put her in.
[00:43:12.260 --> 00:43:13.260]   There's no other group to put her in.
[00:43:13.260 --> 00:43:14.260]   There's no other group to put her in.
[00:43:14.260 --> 00:43:15.260]   There's no other group to put her in.
[00:43:15.260 --> 00:43:16.260]   There's no other group to put her in.
[00:43:16.260 --> 00:43:17.260]   There's no other group to put her in.
[00:43:17.260 --> 00:43:18.260]   There's no other group to put her in.
[00:43:18.260 --> 00:43:19.260]   There's no other group to put her in.
[00:43:19.260 --> 00:43:20.260]   There's no other group to put her in.
[00:43:20.260 --> 00:43:21.260]   There's no other group to put her in.
[00:43:21.260 --> 00:43:22.260]   There's no other group to put her in.
[00:43:22.260 --> 00:43:23.260]   There's no other group to put her in.
[00:43:23.260 --> 00:43:24.260]   There's no other group to put her in.
[00:43:24.260 --> 00:43:25.260]   There's no other group to put her in.
[00:43:25.260 --> 00:43:26.260]   There's no other group to put her in.
[00:43:26.260 --> 00:43:27.260]   There's no other group to put her in.
[00:43:27.260 --> 00:43:28.260]   There's no other group to put her in.
[00:43:28.260 --> 00:43:29.260]   There's no other group to put her in.
[00:43:29.260 --> 00:43:30.260]   There's no other group to put her in.
[00:43:30.260 --> 00:43:31.260]   There's no other group to put her in.
[00:43:31.260 --> 00:43:32.260]   There's no other group to put her in.
[00:43:32.260 --> 00:43:33.260]   There's no other group to put her in.
[00:43:33.260 --> 00:43:34.260]   There's no other group to put her in.
[00:43:34.260 --> 00:43:35.260]   There's no other group to put her in.
[00:43:35.260 --> 00:43:36.260]   There's no other group to put her in.
[00:43:36.260 --> 00:43:37.260]   There's no other group to put her in.
[00:43:37.260 --> 00:43:38.260]   There's no other group to put her in.
[00:43:38.260 --> 00:43:39.260]   There's no other group to put her in.
[00:43:39.260 --> 00:43:40.260]   There's no other group to put her in.
[00:43:40.260 --> 00:43:41.260]   There's no other group to put her in.
[00:43:41.260 --> 00:43:42.260]   There's no other group to put her in.
[00:43:42.260 --> 00:43:43.260]   There's no other group to put her in.
[00:43:43.260 --> 00:43:44.260]   There's no other group to put her in.
[00:43:44.260 --> 00:43:45.260]   There's no other group to put her in.
[00:43:45.260 --> 00:43:46.260]   There's no other group to put her in.
[00:43:46.260 --> 00:43:47.260]   There's no other group to put her in.
[00:43:47.260 --> 00:43:48.260]   There's no other group to put her in.
[00:43:48.260 --> 00:43:49.260]   There's no other group to put her in.
[00:43:49.260 --> 00:43:50.260]   There's no other group to put her in.
[00:43:50.260 --> 00:43:51.260]   There's no other group to put her in.
[00:43:51.260 --> 00:43:52.260]   there's no other group to put her in.
[00:43:52.260 --> 00:43:53.260]   There's no other group to put her in.
[00:43:53.260 --> 00:43:54.260]   There's no other group to put her in.
[00:43:54.260 --> 00:43:55.260]   There's no other group to put her in.
[00:43:55.260 --> 00:43:56.260]   There's no other group to put her in.
[00:43:56.260 --> 00:43:57.260]   There's no other group to put her in.
[00:43:57.260 --> 00:43:58.260]   There's no other group to put her in.
[00:43:58.260 --> 00:43:59.260]   There's no other group to put her in.
[00:43:59.260 --> 00:44:00.260]   There's no other group to put her in.
[00:44:00.260 --> 00:44:01.260]   There's no other group to put her in.
[00:44:01.260 --> 00:44:02.260]   There's no other group to put her in.
[00:44:02.260 --> 00:44:03.260]   There's no other group to put her in.
[00:44:03.260 --> 00:44:04.260]   There's no other group to put her in.
[00:44:04.260 --> 00:44:05.260]   There's no other group to put her in.
[00:44:05.260 --> 00:44:06.260]   There's no other group to put her in.
[00:44:06.260 --> 00:44:07.260]   There's no other group to put her in.
[00:44:07.260 --> 00:44:09.260]   There's no other group to put her in.
[00:44:09.260 --> 00:44:10.260]   There's no other group to put her in.
[00:44:10.260 --> 00:44:11.260]   There's no other group to put her in.
[00:44:11.260 --> 00:44:12.260]   There's no other group to put her in.
[00:44:12.260 --> 00:44:13.260]   There's no other group to put her in.
[00:44:13.260 --> 00:44:14.260]   There's no other group to put her in.
[00:44:14.260 --> 00:44:15.260]   There's no other group to put her in.
[00:44:15.260 --> 00:44:16.260]   There's no other group to put her in.
[00:44:16.260 --> 00:44:17.260]   There's no other group to put her in.
[00:44:17.260 --> 00:44:18.260]   There's no other group to put her in.
[00:44:18.260 --> 00:44:19.260]   There's no other group to put her in.
[00:44:19.260 --> 00:44:20.260]   There's no other group to put her in.
[00:44:20.260 --> 00:44:21.260]   There's no other group to put her in.
[00:44:21.260 --> 00:44:22.260]   There's no other group to put her in.
[00:44:22.260 --> 00:44:23.260]   There's no other group to put her in.
[00:44:23.260 --> 00:44:24.260]   There's no other group to put her in.
[00:44:24.260 --> 00:44:25.260]   There's no other group to put her in.
[00:44:25.260 --> 00:44:26.260]   There's no other group to put her in.
