
[00:00:00.000 --> 00:00:14.600]   Cast all your burdens now on Him, O praise Him, O praise Him.
[01:42:03.620 --> 01:42:04.000]   of this.
[01:42:04.000 --> 01:42:11.040]   What exactly was
[01:42:11.040 --> 01:42:11.540]   Ham's sin?
[01:42:11.540 --> 01:42:11.940]   And I'm,
[01:42:11.940 --> 01:42:12.880]   for the sake of time,
[01:42:12.880 --> 01:42:13.280]   I'm not going to go
[01:42:13.280 --> 01:42:14.080]   too deep into it.
[01:42:14.080 --> 01:42:14.640]   Basically,
[01:42:14.640 --> 01:42:16.760]   he covered his father's
[01:42:16.760 --> 01:42:17.260]   nakedness
[01:42:17.260 --> 01:42:18.120]   and dishonored him.
[01:42:20.180 --> 01:42:22.760]   Now some have argued
[01:42:22.760 --> 01:42:24.040]   that Leviticus chapter 18
[01:42:24.040 --> 01:42:24.760]   talks about,
[01:42:24.760 --> 01:42:25.480]   you know,
[01:42:25.480 --> 01:42:26.640]   the uncovering
[01:42:26.640 --> 01:42:27.340]   his nakedness.
[01:42:27.340 --> 01:42:28.840]   Is this possibly
[01:42:28.840 --> 01:42:29.420]   talking about
[01:42:29.420 --> 01:42:30.400]   some sexual act
[01:42:30.400 --> 01:42:31.560]   with his mom,
[01:42:31.560 --> 01:42:32.680]   right,
[01:42:32.680 --> 01:42:35.020]   or with Noah's husband?
[01:42:35.020 --> 01:42:36.400]   But the word for
[01:42:36.400 --> 01:42:37.980]   uncovered and saw here
[01:42:37.980 --> 01:42:38.500]   is different.
[01:42:38.500 --> 01:42:38.980]   And if you look
[01:42:38.980 --> 01:42:39.700]   at the context,
[01:42:39.700 --> 01:42:40.640]   right,
[01:42:40.640 --> 01:42:41.220]   and I'm not going to go
[01:42:41.220 --> 01:42:42.100]   too deep into this.
[01:42:42.160 --> 01:42:43.040]   if you look at the context
[01:42:43.040 --> 01:42:44.880]   of the brothers
[01:42:44.880 --> 01:42:45.800]   walking backward,
[01:42:45.800 --> 01:42:47.120]   right,
[01:42:47.120 --> 01:42:48.520]   to hide him
[01:42:48.520 --> 01:42:49.900]   and then him coming
[01:42:49.900 --> 01:42:50.700]   and telling him,
[01:42:50.700 --> 01:42:51.480]   telling the brothers
[01:42:51.480 --> 01:42:52.360]   about what he saw,
[01:42:52.360 --> 01:42:54.040]   that it most likely
[01:42:54.040 --> 01:42:54.780]   isn't that
[01:42:54.780 --> 01:42:55.840]   if you somehow
[01:42:55.840 --> 01:42:56.440]   read that.
[01:42:56.440 --> 01:42:56.980]   Okay.
[01:42:58.160 --> 01:42:59.560]   I started this years ago
[01:42:59.560 --> 01:43:00.620]   and I forgot,
[01:43:00.620 --> 01:43:02.080]   but there is some,
[01:43:02.080 --> 01:43:03.560]   one of the views is that,
[01:43:03.560 --> 01:43:04.640]   but I don't think it is,
[01:43:04.640 --> 01:43:05.220]   so,
[01:43:05.220 --> 01:43:07.220]   and it is not a popular view.
[01:43:07.220 --> 01:43:08.460]   Most people believe
[01:43:08.460 --> 01:43:09.060]   that it is not.
[01:43:09.060 --> 01:43:10.640]   It's just what you see,
[01:43:10.640 --> 01:43:11.480]   right?
[01:43:11.480 --> 01:43:13.600]   He saw his father's nakedness
[01:43:13.600 --> 01:43:15.080]   and instead of covering him up,
[01:43:15.080 --> 01:43:16.300]   he revealed his shame.
[01:43:16.300 --> 01:43:18.960]   And that was the curse
[01:43:18.960 --> 01:43:21.060]   that led to his line
[01:43:21.060 --> 01:43:21.560]   being cursed,
[01:43:21.560 --> 01:43:22.260]   the Canaanites,
[01:43:22.260 --> 01:43:22.600]   right?
[01:43:22.600 --> 01:43:24.260]   And the next question is,
[01:43:24.260 --> 01:43:25.560]   why is Canaan mentioned
[01:43:25.560 --> 01:43:26.360]   instead of him?
[01:43:27.080 --> 01:43:28.580]   And I think one of the
[01:43:28.580 --> 01:43:29.500]   practical reasons why
[01:43:29.500 --> 01:43:31.660]   is because Moses is writing this
[01:43:31.660 --> 01:43:33.700]   right before he conquers Canaan.
[01:43:33.700 --> 01:43:35.360]   Right?
[01:43:35.360 --> 01:43:36.380]   So this is justification
[01:43:36.380 --> 01:43:37.360]   of what's happening.
[01:43:37.360 --> 01:43:38.860]   Right?
[01:43:38.860 --> 01:43:41.460]   Now,
[01:43:41.460 --> 01:43:42.560]   I'm going to,
[01:43:42.560 --> 01:43:43.440]   this is going to come
[01:43:43.440 --> 01:43:44.140]   with the question,
[01:43:44.140 --> 01:43:46.460]   your discussion question,
[01:43:46.460 --> 01:43:48.760]   because honoring your father
[01:43:48.760 --> 01:43:49.220]   and mother
[01:43:49.220 --> 01:43:50.840]   is huge in the Bible.
[01:43:50.840 --> 01:43:53.880]   If a child rebels
[01:43:53.880 --> 01:43:55.600]   against the parents,
[01:43:55.600 --> 01:43:56.180]   what happens?
[01:43:56.520 --> 01:43:57.200]   in the Old Covenant,
[01:43:57.200 --> 01:43:58.360]   was it a covenant?
[01:43:58.360 --> 01:43:59.300]   He gets stoned to them.
[01:43:59.300 --> 01:44:00.940]   There was no tolerance
[01:44:00.940 --> 01:44:01.940]   for teenage rebellion.
[01:44:01.940 --> 01:44:03.440]   Right?
[01:44:03.440 --> 01:44:05.060]   In our generation,
[01:44:05.060 --> 01:44:05.700]   it's almost like,
[01:44:05.700 --> 01:44:05.840]   oh,
[01:44:05.840 --> 01:44:06.400]   it's a teenager.
[01:44:06.400 --> 01:44:07.200]   Oh,
[01:44:07.200 --> 01:44:07.780]   they have,
[01:44:07.780 --> 01:44:08.840]   that's what they do.
[01:44:08.840 --> 01:44:10.900]   It's because we've accepted it.
[01:44:10.900 --> 01:44:11.760]   Right?
[01:44:11.760 --> 01:44:13.280]   And it's part of the fall.
[01:44:13.280 --> 01:44:14.740]   But he said,
[01:44:14.740 --> 01:44:16.200]   the Bible tells us
[01:44:16.200 --> 01:44:17.180]   it's that dangerous.
[01:44:17.180 --> 01:44:17.800]   When you,
[01:44:17.800 --> 01:44:19.200]   when you see children
[01:44:19.200 --> 01:44:20.560]   rebelling against their parents,
[01:44:20.560 --> 01:44:22.080]   something has seriously
[01:44:22.080 --> 01:44:22.580]   gone wrong
[01:44:22.580 --> 01:44:24.200]   because the order
[01:44:24.200 --> 01:44:25.120]   that God has created,
[01:44:25.120 --> 01:44:26.340]   if a child
[01:44:26.340 --> 01:44:27.900]   rebels against parents,
[01:44:27.900 --> 01:44:29.060]   right,
[01:44:29.060 --> 01:44:30.780]   then he's going to have
[01:44:30.780 --> 01:44:31.220]   no problem
[01:44:31.220 --> 01:44:32.280]   rebelling against God.
[01:44:32.280 --> 01:44:33.600]   Right?
[01:44:33.600 --> 01:44:33.940]   And they said,
[01:44:33.940 --> 01:44:35.100]   if you want to live long
[01:44:35.100 --> 01:44:36.660]   and prosper in the land,
[01:44:36.660 --> 01:44:37.020]   he says,
[01:44:37.020 --> 01:44:38.100]   honor your father and mother.
[01:44:38.100 --> 01:44:38.500]   In other words,
[01:44:38.500 --> 01:44:39.420]   if you want to live,
[01:44:39.420 --> 01:44:41.680]   just honor your father and mother.
[01:44:43.380 --> 01:44:45.620]   especially in the Western culture,
[01:44:45.620 --> 01:44:48.140]   that rebellion against parents
[01:44:48.140 --> 01:44:49.500]   is almost accepted.
[01:44:49.500 --> 01:44:50.520]   It's one of those,
[01:44:50.520 --> 01:44:51.280]   you know,
[01:44:51.280 --> 01:44:52.820]   reasonable sins
[01:44:52.820 --> 01:44:54.780]   that you should not make it,
[01:44:54.780 --> 01:44:55.960]   because every kid does that.
[01:44:55.960 --> 01:44:56.620]   Right?
[01:44:56.620 --> 01:44:58.320]   I'm not saying we need to stone them,
[01:44:58.320 --> 01:45:00.720]   but we need to take that sin seriously.
[01:45:00.720 --> 01:45:01.540]   Right?
[01:45:01.540 --> 01:45:03.180]   Because a child,
[01:45:03.180 --> 01:45:04.880]   a rebellious child,
[01:45:04.880 --> 01:45:06.460]   should not be something
[01:45:06.460 --> 01:45:08.780]   that we just think is acceptable
[01:45:08.780 --> 01:45:10.220]   because the world says it's okay.
[01:45:10.720 --> 01:45:11.800]   Because the Bible
[01:45:11.800 --> 01:45:14.120]   puts a very high standard of that.
[01:45:14.120 --> 01:45:15.140]   Right?
[01:45:15.140 --> 01:45:17.100]   You cannot have a child
[01:45:17.100 --> 01:45:18.380]   rebelling against parents
[01:45:18.380 --> 01:45:20.520]   be obedient to God.
[01:45:20.520 --> 01:45:21.400]   Okay?
[01:45:21.400 --> 01:45:24.100]   All right.
[01:45:24.100 --> 01:45:25.520]   So next week,
[01:45:25.520 --> 01:45:26.580]   we have one more session.
[01:45:26.580 --> 01:45:28.660]   So let's go out with a bang.
[01:45:28.660 --> 01:45:29.780]   Okay?
[01:45:29.780 --> 01:45:30.640]   Chapter 10 and 11.
[01:45:30.640 --> 01:45:32.180]   What words or phrases are repeated
[01:45:32.180 --> 01:45:35.380]   of the list of descendants?
[01:45:35.380 --> 01:45:37.840]   I'm not going to cover,
[01:45:37.840 --> 01:45:38.080]   say,
[01:45:38.080 --> 01:45:38.740]   who are the descendants?
[01:45:38.740 --> 01:45:39.780]   Shem, Ham, and Japheth,
[01:45:39.860 --> 01:45:40.960]   because that's going to come next week.
[01:45:40.960 --> 01:45:42.240]   What are some names
[01:45:42.240 --> 01:45:43.720]   that are highlighted in the genealogy?
[01:45:43.720 --> 01:45:44.260]   Okay?
[01:45:44.260 --> 01:45:45.320]   So pay attention.
[01:45:45.320 --> 01:45:47.340]   When it's going quick,
[01:45:47.340 --> 01:45:49.240]   which names do you notice
[01:45:49.240 --> 01:45:50.380]   and why are they highlighted?
[01:45:50.380 --> 01:45:55.660]   Try to identify geographical areas
[01:45:55.660 --> 01:45:57.260]   if they mention any of that.
[01:45:57.260 --> 01:45:59.260]   Identify any patterns
[01:45:59.260 --> 01:46:00.500]   in the genealogy.
[01:46:00.500 --> 01:46:01.740]   And then what was the stated goal
[01:46:01.740 --> 01:46:02.620]   of building the city
[01:46:02.620 --> 01:46:04.540]   and the tower in 11.4?
[01:46:04.740 --> 01:46:06.560]   And why did this incur God's judgment
[01:46:06.560 --> 01:46:07.040]   on them?
[01:46:07.040 --> 01:46:07.700]   Okay?
[01:46:07.700 --> 01:46:09.780]   And then, again,
[01:46:09.780 --> 01:46:11.240]   take some time to review
[01:46:11.240 --> 01:46:12.020]   chapter 1 through 11.
[01:46:12.020 --> 01:46:13.880]   Even though we have to cover
[01:46:13.880 --> 01:46:14.540]   two chapters,
[01:46:14.540 --> 01:46:16.720]   I'm going to at least try
[01:46:16.720 --> 01:46:18.200]   to review 1 through 11
[01:46:18.200 --> 01:46:19.020]   just to kind of see,
[01:46:19.020 --> 01:46:19.820]   make sure that you guys
[01:46:19.820 --> 01:46:20.340]   have this memorized.
[01:46:20.340 --> 01:46:21.640]   So when you come back next week,
[01:46:21.640 --> 01:46:23.260]   that's going to be one of the first things
[01:46:23.260 --> 01:46:24.180]   I'm going to ask you to do
[01:46:24.180 --> 01:46:25.260]   in your small group
[01:46:25.260 --> 01:46:26.620]   to try to recite
[01:46:26.620 --> 01:46:27.700]   chapters 1 through 11
[01:46:27.700 --> 01:46:28.420]   just generally
[01:46:28.420 --> 01:46:29.840]   that at least you know the flow.
[01:46:29.840 --> 01:46:30.260]   Okay?
[01:46:30.840 --> 01:46:31.520]   And then here are the four
[01:46:31.520 --> 01:46:32.780]   discussion questions for today.
[01:46:32.780 --> 01:46:34.400]   What way are you being fruitful
[01:46:34.400 --> 01:46:35.080]   and multiplying?
[01:46:35.080 --> 01:46:37.220]   What is a promise
[01:46:37.220 --> 01:46:38.580]   that God has made
[01:46:38.580 --> 01:46:39.400]   that you cling to
[01:46:39.400 --> 01:46:40.180]   for daily life
[01:46:40.180 --> 01:46:40.920]   and what promise
[01:46:40.920 --> 01:46:42.320]   do you struggle to believe
[01:46:42.320 --> 01:46:42.820]   and practice
[01:46:42.820 --> 01:46:43.680]   in your walk with God?
[01:46:43.680 --> 01:46:44.100]   Okay?
[01:46:44.100 --> 01:46:46.420]   Why is honoring a parent
[01:46:46.420 --> 01:46:47.940]   so crucial to human survival?
[01:46:47.940 --> 01:46:48.500]   I.e.
[01:46:48.500 --> 01:46:49.780]   5th of the 10th generation,
[01:46:49.780 --> 01:46:50.780]   10th commandment
[01:46:50.780 --> 01:46:51.720]   and repeated in
[01:46:51.720 --> 01:46:52.760]   Ephesians 6.2.
[01:46:52.760 --> 01:46:53.500]   And there's other places
[01:46:53.500 --> 01:46:54.420]   but those are the only two
[01:46:54.420 --> 01:46:55.420]   things that I mentioned.
[01:46:55.420 --> 01:46:56.660]   And then what covenant
[01:46:56.660 --> 01:46:57.380]   are you in
[01:46:57.380 --> 01:46:58.660]   and how faithful do you think
[01:46:58.660 --> 01:46:59.960]   you are to these covenants?
[01:47:00.720 --> 01:47:02.100]   What are the covenants
[01:47:02.100 --> 01:47:02.740]   that we're in?
[01:47:02.740 --> 01:47:06.680]   We have a covenant
[01:47:06.680 --> 01:47:07.240]   with God
[01:47:07.240 --> 01:47:08.380]   like unilateral covenant
[01:47:08.380 --> 01:47:09.280]   that God has given us.
[01:47:09.280 --> 01:47:10.660]   Those of you who are married
[01:47:10.660 --> 01:47:12.460]   are in a marriage covenant
[01:47:12.460 --> 01:47:13.460]   that you made.
[01:47:13.460 --> 01:47:14.840]   You are a covenant
[01:47:14.840 --> 01:47:16.160]   at Bering Community Church.
[01:47:16.160 --> 01:47:17.400]   You're part of this church.
[01:47:17.400 --> 01:47:18.240]   Right?
[01:47:18.240 --> 01:47:20.360]   Any family that you belong to
[01:47:20.360 --> 01:47:22.860]   there is a covenant in there.
[01:47:22.860 --> 01:47:23.940]   You don't have to sign
[01:47:23.940 --> 01:47:24.340]   a covenant
[01:47:24.340 --> 01:47:25.140]   to be in a covenant.
[01:47:25.140 --> 01:47:27.740]   There's a tie in there.
[01:47:27.740 --> 01:47:28.240]   Right?
[01:47:28.240 --> 01:47:29.920]   That's universally accepted.
[01:47:30.080 --> 01:47:31.360]   So can you name
[01:47:31.360 --> 01:47:32.440]   any other covenants
[01:47:32.440 --> 01:47:33.260]   that you can think of?
[01:47:33.260 --> 01:47:33.860]   Right?
[01:47:33.860 --> 01:47:35.240]   You don't have to say
[01:47:35.240 --> 01:47:36.700]   I am part of this covenant.
[01:47:36.700 --> 01:47:37.600]   There are covenant
[01:47:37.600 --> 01:47:39.780]   things that naturally exist
[01:47:39.780 --> 01:47:40.900]   right?
[01:47:40.900 --> 01:47:41.440]   In life.
[01:47:41.440 --> 01:47:42.160]   And so
[01:47:42.160 --> 01:47:43.620]   see if you can identify
[01:47:43.620 --> 01:47:44.140]   any more
[01:47:44.140 --> 01:47:45.540]   but those are the obvious ones
[01:47:45.540 --> 01:47:46.300]   and
[01:47:46.300 --> 01:47:47.820]   in those covenants
[01:47:47.820 --> 01:47:49.020]   are you being faithful to it?
[01:47:49.020 --> 01:47:49.440]   Okay?
[01:47:49.440 --> 01:47:50.220]   And that's the question.
[01:47:50.220 --> 01:47:50.600]   Right?
[01:47:50.760 --> 01:47:51.480]   let me pray for us
[01:47:51.480 --> 01:47:52.320]   and give you time
[01:47:52.320 --> 01:47:53.220]   to discuss.
[01:47:53.220 --> 01:47:57.420]   Father we thank you
[01:47:57.420 --> 01:47:58.300]   for your living word.
[01:47:58.300 --> 01:47:59.900]   We pray that
[01:47:59.900 --> 01:48:01.960]   as we have this time
[01:48:01.960 --> 01:48:02.920]   in our small groups
[01:48:02.920 --> 01:48:04.420]   that these discussions
[01:48:04.420 --> 01:48:04.960]   Lord God
[01:48:04.960 --> 01:48:06.040]   would not simply be to
[01:48:06.040 --> 01:48:07.260]   understand
[01:48:07.260 --> 01:48:08.400]   and head knowledge
[01:48:08.400 --> 01:48:09.920]   but I pray that
[01:48:09.920 --> 01:48:10.940]   it would truly search
[01:48:10.940 --> 01:48:12.540]   and judge the thoughts
[01:48:12.540 --> 01:48:13.040]   and intentions
[01:48:13.040 --> 01:48:13.640]   of our heart.
[01:48:13.640 --> 01:48:14.980]   Help us Lord God
[01:48:14.980 --> 01:48:16.040]   individually
[01:48:16.040 --> 01:48:16.900]   and collectively
[01:48:16.900 --> 01:48:18.760]   that we would pursue you
[01:48:18.760 --> 01:48:19.720]   with all our hearts Lord
[01:48:19.720 --> 01:48:21.060]   and teach us what it means
[01:48:21.060 --> 01:48:21.760]   to worship you
[01:48:21.760 --> 01:48:22.620]   in spirit and in truth.
[01:48:22.620 --> 01:48:23.760]   In Jesus name we pray.
[01:48:23.760 --> 01:48:24.420]   Amen.
[01:48:24.420 --> 01:48:25.420]   Amen.
[01:48:25.420 --> 01:48:27.420]   Amen.
[01:48:27.420 --> 01:48:28.420]   Amen.
[01:48:28.420 --> 01:48:29.420]   Amen.
[01:48:29.420 --> 01:48:30.420]   Amen.
[01:48:30.420 --> 01:48:31.420]   Amen.
[01:48:31.420 --> 01:48:32.420]   Amen.
[01:48:32.420 --> 01:48:33.420]   Amen.
[01:48:33.420 --> 01:48:34.420]   Amen.
[01:48:34.420 --> 01:48:35.420]   Amen.
[01:48:35.420 --> 01:48:36.420]   Amen.
[01:48:36.420 --> 01:48:41.200]   Thank you.

