
[00:00:00.000 --> 00:00:02.420]   (soft music)
[00:22:54.840 --> 00:22:56.840]   God has continued to reveal his sin present
[00:22:56.840 --> 00:22:58.840]   in my life and has been teaching me to depend
[00:22:58.840 --> 00:23:01.840]   on him, all the more in my weakness.
[00:23:01.840 --> 00:23:04.840]   I can continue to persevere and to pursue
[00:23:04.840 --> 00:23:06.840]   a life lived for his glory and confidence,
[00:23:06.840 --> 00:23:08.840]   knowing that Christ has already paid the price
[00:23:08.840 --> 00:23:10.840]   for my sins and that the Lord has already
[00:23:10.840 --> 00:23:12.840]   drawn me into his saving grace.
[00:23:12.840 --> 00:23:14.840]   I'm confident in the hope of salvation,
[00:23:14.840 --> 00:23:16.840]   which is found only in Jesus Christ,
[00:23:16.840 --> 00:23:18.840]   who is my Lord and Savior.
[00:23:18.840 --> 00:23:20.840]   Thank you.
[00:23:20.840 --> 00:23:28.840]   [applause]
[00:23:28.840 --> 00:23:38.840]   [silence]
[00:23:38.840 --> 00:23:48.840]   [silence]
[00:23:48.840 --> 00:23:58.840]   [silence]
[00:23:58.840 --> 00:24:14.840]   [applause]
[00:24:14.840 --> 00:24:15.840]   All right, thank you, John.
[00:24:15.840 --> 00:24:18.840]   If you can turn your Bibles to Luke chapter 14,
[00:24:18.840 --> 00:24:26.840]   I'll be reading from verse 24 down to verse 28.
[00:24:26.840 --> 00:24:31.840]   Luke chapter 11, verse 24 through 28.
[00:24:31.840 --> 00:24:34.840]   Reading out of the NASB.
[00:24:34.840 --> 00:24:36.840]   "When the unclean spirit goes out of a man,
[00:24:36.840 --> 00:24:38.840]   it passes through waterless places,
[00:24:38.840 --> 00:24:40.840]   seeking rest and not finding any.
[00:24:40.840 --> 00:24:42.840]   It says, 'I will return to my house
[00:24:42.840 --> 00:24:44.840]   from which I came,' and when it comes,
[00:24:44.840 --> 00:24:47.840]   it finds it swept and put in order.
[00:24:47.840 --> 00:24:49.840]   Then it goes and takes along seven other spirits,
[00:24:49.840 --> 00:24:52.840]   more evil than itself, and they go in
[00:24:52.840 --> 00:24:54.840]   and live there, and the last state of that man
[00:24:54.840 --> 00:24:56.840]   becomes worse than the first.
[00:24:56.840 --> 00:24:58.840]   While Jesus was saying these things,
[00:24:58.840 --> 00:25:00.840]   one of the women in the crowd raised her voice
[00:25:00.840 --> 00:25:03.840]   and said to him, 'Blessed is the womb that bore you
[00:25:03.840 --> 00:25:05.840]   and the breast at which you nursed.'
[00:25:05.840 --> 00:25:07.840]   But he said, 'On the contrary, blessed are those
[00:25:07.840 --> 00:25:10.840]   who hear the word of God and observe it.'"
[00:25:10.840 --> 00:25:14.840]   Let's pray.
[00:25:14.840 --> 00:25:17.840]   Father, we thank you for your living word.
[00:25:17.840 --> 00:25:21.840]   We thank you for the investment of your very breath.
[00:25:21.840 --> 00:25:25.840]   Help us, Lord God, to be equipped, to be trained,
[00:25:25.840 --> 00:25:28.840]   to be ready for all good works.
[00:25:28.840 --> 00:25:30.840]   I pray that your word would judge the thoughts
[00:25:30.840 --> 00:25:32.840]   and intentions of our heart,
[00:25:32.840 --> 00:25:35.840]   that you would seek us, search us, and know us,
[00:25:35.840 --> 00:25:38.840]   and see if there's any hurtful ways in us,
[00:25:38.840 --> 00:25:41.840]   that our life, Lord God, would be transformed
[00:25:41.840 --> 00:25:43.840]   according to your word and your spirit.
[00:25:43.840 --> 00:25:49.840]   In Jesus' name we pray. Amen.
[00:25:49.840 --> 00:25:51.840]   If you look at some of the greatest antagonists
[00:25:51.840 --> 00:25:53.840]   to the Christian faith,
[00:25:53.840 --> 00:25:57.840]   many of them grew up in nominal Christian homes.
[00:25:57.840 --> 00:25:59.840]   Some of the names that I will mention this morning
[00:25:59.840 --> 00:26:01.840]   you probably are very aware of.
[00:26:01.840 --> 00:26:03.840]   In the 19th century, one of the most famous philosophers,
[00:26:03.840 --> 00:26:05.840]   Frederick Nietzsche,
[00:26:05.840 --> 00:26:08.840]   he is quoted in saying, "God is dead."
[00:26:08.840 --> 00:26:11.840]   And he was so popular, he began to spread saying,
[00:26:11.840 --> 00:26:15.840]   "Christianity promoted weakness and suppressed human spirit."
[00:26:15.840 --> 00:26:19.840]   And he quoted that in his lifetime,
[00:26:19.840 --> 00:26:21.840]   that Christianity will die.
[00:26:21.840 --> 00:26:23.840]   Obviously that did not happen.
[00:26:23.840 --> 00:26:26.840]   But his early childhood, he grew up in a Lutheran home,
[00:26:26.840 --> 00:26:30.840]   and his dad was a Lutheran pastor.
[00:26:30.840 --> 00:26:35.840]   Christopher Hitchens also went to an Anglican boarding school.
[00:26:35.840 --> 00:26:38.840]   He is known for his book, New Atheist,
[00:26:38.840 --> 00:26:41.840]   and he is famous for quoting,
[00:26:41.840 --> 00:26:44.840]   saying that religion is poisonous to everything.
[00:26:44.840 --> 00:26:47.840]   That he believed that religion had to be eradicated
[00:26:47.840 --> 00:26:53.840]   in order for humanity to reach the next stage of its evolution.
[00:26:53.840 --> 00:26:56.840]   Richard Dawkins, many of you may have heard his name.
[00:26:56.840 --> 00:27:00.840]   He is well known for his book, God Delusion.
[00:27:00.840 --> 00:27:04.840]   And he says that religion is irrational and harmful,
[00:27:04.840 --> 00:27:06.840]   and we know him in our generation
[00:27:06.840 --> 00:27:10.840]   because there are many videos of him arguing prominent Christians.
[00:27:10.840 --> 00:27:15.840]   And he also grew up in a very nominal Christian home.
[00:27:15.840 --> 00:27:20.840]   Charles Darwin, one of the names that we all learned in school,
[00:27:20.840 --> 00:27:25.840]   who grew up in a nominal Christian home, studied even theology.
[00:27:25.840 --> 00:27:27.840]   His parents sent him to a Christian college,
[00:27:27.840 --> 00:27:32.840]   and then that eventually led him
[00:27:32.840 --> 00:27:36.840]   to go to an Anglican theological school,
[00:27:36.840 --> 00:27:39.840]   and maybe even possibly thinking of becoming a clergyman.
[00:27:39.840 --> 00:27:43.840]   And at some point in his study, he decided to drop out,
[00:27:43.840 --> 00:27:46.840]   and the rest is history.
[00:27:46.840 --> 00:27:48.840]   So many people.
[00:27:48.840 --> 00:27:52.840]   We're not just talking about just recent history or past history.
[00:27:52.840 --> 00:27:56.840]   The people who have been the greatest antagonists of Christian faith
[00:27:56.840 --> 00:27:59.840]   have at one point been at church, in Sunday school,
[00:27:59.840 --> 00:28:01.840]   doing VBS, memorized scripture,
[00:28:01.840 --> 00:28:04.840]   grew up in nominal Christian homes.
[00:28:04.840 --> 00:28:06.840]   So when they fight against Christianity,
[00:28:06.840 --> 00:28:10.840]   they're not necessarily fighting against the Christian faith that we see in scripture,
[00:28:10.840 --> 00:28:14.840]   but they're fighting against the nominal Christianity that they saw at home,
[00:28:14.840 --> 00:28:16.840]   where there is no power.
[00:28:16.840 --> 00:28:18.840]   It was just a superficial confession.
[00:28:18.840 --> 00:28:20.840]   Parents were very active at church,
[00:28:20.840 --> 00:28:25.840]   but they didn't see the connection between their profession and their life.
[00:28:25.840 --> 00:28:27.840]   The reason why I mention this this morning
[00:28:27.840 --> 00:28:31.840]   is because nominal Christianity is so dangerous
[00:28:31.840 --> 00:28:33.840]   that it may seem harmless in the beginning
[00:28:33.840 --> 00:28:35.840]   because, well, at least they're coming to church.
[00:28:35.840 --> 00:28:39.840]   At least they're participating. At least they're serving.
[00:28:39.840 --> 00:28:45.840]   But the fruit of that actually leads to greater harm,
[00:28:45.840 --> 00:28:48.840]   not only to themselves, but even to the next generation.
[00:28:48.840 --> 00:28:51.840]   The text that we're looking at today, where Jesus is telling us about a man
[00:28:51.840 --> 00:28:55.840]   who seems to be demon-possessed, and the demon leaves,
[00:28:55.840 --> 00:28:58.840]   but then eventually, because there's nothing possessing the man,
[00:28:58.840 --> 00:29:00.840]   he comes back sevenfold,
[00:29:00.840 --> 00:29:04.840]   and then he says the second state is worse than the first.
[00:29:04.840 --> 00:29:09.840]   So what started out seeming like it was something to celebrate,
[00:29:09.840 --> 00:29:14.840]   it ends up in greater destruction than the beginning.
[00:29:14.840 --> 00:29:16.840]   First and foremost, before we even jump into the text,
[00:29:16.840 --> 00:29:20.840]   we have to recognize that there is a spiritual battle,
[00:29:20.840 --> 00:29:23.840]   that our natural inclination, especially in the West,
[00:29:23.840 --> 00:29:26.840]   is to think that if we study more, had the theology correct,
[00:29:26.840 --> 00:29:29.840]   that there is power in correct theology.
[00:29:29.840 --> 00:29:32.840]   There is no power in correct theology.
[00:29:32.840 --> 00:29:37.840]   The demons know that. They knew and recognized Jesus before anybody else did,
[00:29:37.840 --> 00:29:41.840]   and they were no more benefited from it.
[00:29:41.840 --> 00:29:46.840]   Our natural inclination is if we throw our theology, our know-how, our education,
[00:29:46.840 --> 00:29:50.840]   and if we just implement the right things, that somehow we're going to make a difference.
[00:29:50.840 --> 00:29:55.840]   The scripture makes it very clear that this is not a physical battle.
[00:29:55.840 --> 00:29:59.840]   Ephesians 6:12, "For our struggle is not against flesh and blood, but against the rulers,
[00:29:59.840 --> 00:30:02.840]   against the powers, against the world's forces of this darkness,
[00:30:02.840 --> 00:30:06.840]   against the spiritual forces of wickedness in heavenly places."
[00:30:06.840 --> 00:30:12.840]   Some of the people who did the greatest damage to the church are people who had great theology,
[00:30:12.840 --> 00:30:17.840]   who had great theology, great teachers, had so much influence,
[00:30:17.840 --> 00:30:20.840]   and yet they did not have the Spirit of God.
[00:30:20.840 --> 00:30:24.840]   And that's why he ends the book of Ephesians by saying,
[00:30:24.840 --> 00:30:28.840]   "Don't forget that this is a spiritual battle. You have to gear up with spiritual armor."
[00:30:28.840 --> 00:30:34.840]   And then he ends this section by saying, "Therefore, you need to pray, pray, pray, pray, pray."
[00:30:34.840 --> 00:30:38.840]   When we don't recognize that this is a spiritual battle, our natural inclination is,
[00:30:38.840 --> 00:30:41.840]   "How do we structure our Bible study? How do we structure our small group?
[00:30:41.840 --> 00:30:44.840]   How do we structure our leadership? How do we structure our discipleship?"
[00:30:44.840 --> 00:30:50.840]   And we focus all our attention on what we can do, not realizing first and foremost,
[00:30:50.840 --> 00:30:56.840]   first and foremost, he calls us to pray, to humble ourselves to pray.
[00:30:56.840 --> 00:31:02.840]   Now, we can labor, we can disciple, we can evangelize, we can study theology,
[00:31:02.840 --> 00:31:07.840]   all on the foundation of men and women who pray.
[00:31:07.840 --> 00:31:10.840]   I don't want to talk about theology with somebody who doesn't pray.
[00:31:10.840 --> 00:31:13.840]   I don't want to talk about mission work with somebody who doesn't pray.
[00:31:13.840 --> 00:31:16.840]   I don't want to have long debates about how the church should be organized
[00:31:16.840 --> 00:31:22.840]   with somebody who doesn't recognize that the power is not in us.
[00:31:22.840 --> 00:31:27.840]   Because at the end of the day, we're going to end up talking about and implementing
[00:31:27.840 --> 00:31:34.840]   all the things that you and I are capable of doing, and never inviting the power of God.
[00:31:34.840 --> 00:31:39.840]   We're absolutely helpless if we don't first pray.
[00:31:39.840 --> 00:31:44.840]   In fact, in 1 Timothy 4.1, it says, "But the Spirit explicitly says that in later times,
[00:31:44.840 --> 00:31:50.840]   some will fall away from the faith, paying attention to deceitful spirits and doctrines of demons."
[00:31:50.840 --> 00:31:55.840]   If we see heresy, the first thing that we think is, "Hey, we need to get this right.
[00:31:55.840 --> 00:31:59.840]   We need to teach properly. We need to make sure that people sign off on the right doctrine."
[00:31:59.840 --> 00:32:05.840]   But Paul says, "Demonic work behind these heresies."
[00:32:05.840 --> 00:32:10.840]   In James 3.14-15, it says, "But if you have bitter jealousy and selfish ambition in your heart,
[00:32:10.840 --> 00:32:13.840]   do not be arrogant and so lie against the truth.
[00:32:13.840 --> 00:32:20.840]   This wisdom is not that which comes down from above, but is earthly, natural, and demonic."
[00:32:20.840 --> 00:32:26.840]   He says, "Selfishness, jealousy, a proud and arrogant heart."
[00:32:26.840 --> 00:32:30.840]   He says, "There's demonic work behind it."
[00:32:30.840 --> 00:32:34.840]   So if all we recognize is, if we can just implement, if we make a tweak,
[00:32:34.840 --> 00:32:37.840]   if we get the right people in there, if we read the right books,
[00:32:37.840 --> 00:32:42.840]   if we discipline ourselves the right way, that somehow we're going to make an impact in the spiritual world,
[00:32:42.840 --> 00:32:49.840]   he said, "First and foremost, we need to recognize that there is a demonic work."
[00:32:49.840 --> 00:32:55.840]   We have an adversary who's like a roaring lion seeking someone to devour, and he does not rest.
[00:32:55.840 --> 00:32:58.840]   He's more powerful than us. He's smarter than us.
[00:32:58.840 --> 00:33:03.840]   He's more experienced than us. He's better organized than us.
[00:33:03.840 --> 00:33:10.840]   He's actively against us. How will we have any footing against this?
[00:33:10.840 --> 00:33:15.840]   Unless it's the power of God that protects us, so we need to pray.
[00:33:15.840 --> 00:33:18.840]   Paul himself says, "The thorn on his side."
[00:33:18.840 --> 00:33:21.840]   He said, "It came through a messenger of Satan."
[00:33:21.840 --> 00:33:28.840]   When Jesus would go into the cross, Satan appears, possesses Judas, and he begins to influence Peter.
[00:33:28.840 --> 00:33:32.840]   Satanic work is everywhere in Jesus' ministry.
[00:33:32.840 --> 00:33:35.840]   It was everywhere in the apostles' ministry.
[00:33:35.840 --> 00:33:42.840]   I think it is a mistake in the Western world that we minimize the spiritual battle that is happening all around us constantly,
[00:33:42.840 --> 00:33:46.840]   and not even realizing that that's what's going on.
[00:33:46.840 --> 00:33:52.840]   When we don't realize the spiritual forces that are against us, we can feel very comfortable not praying.
[00:33:52.840 --> 00:33:56.840]   We can feel at ease. We can feel powerful. We can feel authoritative.
[00:33:56.840 --> 00:34:02.840]   If we just yell hard enough, if we are organized, if we read more, if we get smarter,
[00:34:02.840 --> 00:34:05.840]   and we fall right into the trap of the devil,
[00:34:05.840 --> 00:34:14.840]   as long as you are relying on your own resources, you are no stronger than you were without any of it.
[00:34:14.840 --> 00:34:18.840]   Having the best theology, having known everything that you can possibly read,
[00:34:18.840 --> 00:34:24.840]   without prayer, you're no more powerful than somebody who's never read anything.
[00:34:24.840 --> 00:34:27.840]   Because at the end, this is a spiritual battle.
[00:34:27.840 --> 00:34:34.840]   And until God is engaged, until the Holy Spirit is engaged, we are absolutely powerless.
[00:34:34.840 --> 00:34:38.840]   Having recognized that, again, as I mentioned last week,
[00:34:38.840 --> 00:34:47.840]   the most prominent miracle that is mentioned over and over again in the Bible is his encounter with the demonic world.
[00:34:47.840 --> 00:34:50.840]   There's nine specific instances where he casts out the demon.
[00:34:50.840 --> 00:34:55.840]   There's 12 if you include how he empowers his disciples to go cast out demons.
[00:34:55.840 --> 00:35:00.840]   There's no other miracle that is repeated over and over again in the Scriptures in the New Testament
[00:35:00.840 --> 00:35:03.840]   than the encounter with the demonic world.
[00:35:03.840 --> 00:35:08.840]   So for us to look at that and just kind of sidestep it and say, "Oh, he raised the dead.
[00:35:08.840 --> 00:35:12.840]   He opened the eyes of the blind. He walked on waters."
[00:35:12.840 --> 00:35:17.840]   And those are fantastic miracles in and of itself, but there's a reason.
[00:35:17.840 --> 00:35:26.840]   There's a reason why the casting out of demons is highlighted for us over and over and over and over again.
[00:35:26.840 --> 00:35:31.840]   We can become very proud in our work. We can become very proud in our theology.
[00:35:31.840 --> 00:35:34.840]   We can become very proud in our experience.
[00:35:34.840 --> 00:35:43.840]   It doesn't take much to ruin good Christians with pride.
[00:35:43.840 --> 00:35:48.840]   We're going to look at this morning what Jesus says here, and where does this apply?
[00:35:48.840 --> 00:35:51.840]   Not just look at it and say, "Well, I guess that's how the demonic world works."
[00:35:51.840 --> 00:35:54.840]   But what does it mean? How does this apply to us?
[00:35:54.840 --> 00:36:01.840]   First thing that it tells us is that somebody who seems to be delivered from the demons can be temporary.
[00:36:01.840 --> 00:36:03.840]   That demonic deliverance can be temporary.
[00:36:03.840 --> 00:36:07.840]   He says in verse 24, "The unclean spirit goes out of the man.
[00:36:07.840 --> 00:36:11.840]   It passes through the waterless places seeking rest and not finding any of it.
[00:36:11.840 --> 00:36:14.840]   I will return to my house and from which I came."
[00:36:14.840 --> 00:36:20.840]   And then he takes seven other spirits, and the second part is worse than the first.
[00:36:20.840 --> 00:36:27.840]   It returns, and it returns sevenfold.
[00:36:27.840 --> 00:36:33.840]   You know, part of the reason why we don't do altar calls in our church is because according to study,
[00:36:33.840 --> 00:36:39.840]   that 94% of the people who make a decision through the altar call never even make it to church.
[00:36:39.840 --> 00:36:42.840]   It's that only 6% raise their hand.
[00:36:42.840 --> 00:36:49.840]   And then it doesn't mean that the 6% who went to church are thriving Christians who are producing, who are evangelizing.
[00:36:49.840 --> 00:36:55.840]   Of the 6%, only a fraction of them are in the church after two years.
[00:36:55.840 --> 00:36:57.840]   So we don't know the exact number.
[00:36:57.840 --> 00:37:03.840]   But if you take a fraction of the 6%, and only 6% of the 100%,
[00:37:03.840 --> 00:37:11.840]   I'm not a mathematician, but that means probably 99% of the people who make a decision.
[00:37:11.840 --> 00:37:14.840]   So what happened to those people?
[00:37:14.840 --> 00:37:17.840]   How many times have you walked around and tried to share the gospel with your co-worker,
[00:37:17.840 --> 00:37:23.840]   maybe even your family member, and they're absolutely convinced they're a Christian?
[00:37:23.840 --> 00:37:25.840]   And then you ask them, "Well, do you go to church?"
[00:37:25.840 --> 00:37:28.840]   "No, I don't go to church. I haven't read the Bible.
[00:37:28.840 --> 00:37:33.840]   In fact, I think I don't want to be around Christians. They're a bunch of hypocrites."
[00:37:33.840 --> 00:37:37.840]   Then you talk to them a little bit further, they're deep into sin.
[00:37:37.840 --> 00:37:41.840]   They had children out of wedlock all over the place. They're unrepentant.
[00:37:41.840 --> 00:37:43.840]   They say, "Well, how do you have assurance of salvation?"
[00:37:43.840 --> 00:37:47.840]   "Well, you know, I accepted Jesus. Like, once saved, always saved, right?"
[00:37:47.840 --> 00:37:52.840]   "Salvation is by grace, not by word. I'm not like those legalists who are always, you know,
[00:37:52.840 --> 00:37:55.840]   pointing fingers and making me feel bad. I'm not one of those Christians.
[00:37:55.840 --> 00:37:58.840]   I'm about love of Jesus."
[00:37:58.840 --> 00:38:04.840]   And they've taken cliches that they've heard, and the rest of their lives are absolutely convinced,
[00:38:04.840 --> 00:38:08.840]   even though it is contrary to everything that we read in Scripture.
[00:38:08.840 --> 00:38:16.840]   Because at one point, they felt like they were delivered.
[00:38:16.840 --> 00:38:22.840]   In John 3:3, when Nicodemus comes and asks Jesus, as he had an encounter with Him,
[00:38:22.840 --> 00:38:28.840]   Jesus says to him, "Truth shall I say to you, unless one is born again, he cannot see the kingdom of God."
[00:38:28.840 --> 00:38:32.840]   He said, "How do you get saved? Born again? How can a man be born again?
[00:38:32.840 --> 00:38:34.840]   How can he re-enter into the mother's womb?"
[00:38:34.840 --> 00:38:37.840]   And that's exactly the point that Jesus is trying to make.
[00:38:37.840 --> 00:38:41.840]   That you're trying to bring your religious, moral life, and you're saying,
[00:38:41.840 --> 00:38:45.840]   "What more do I have to do?" He said, "No, you can't. You can't be saved.
[00:38:45.840 --> 00:38:49.840]   You must be born again. There must be a renewal of your heart."
[00:38:49.840 --> 00:38:55.840]   Now, who is He referring to? This encounter? Is He just talking about how the demonic world works?
[00:38:55.840 --> 00:39:02.840]   If you remember the larger context of this, this encounter happens because Jesus casts out a demon.
[00:39:02.840 --> 00:39:06.840]   And some were amazed, but you had the Pharisees who were pointing fingers and saying,
[00:39:06.840 --> 00:39:12.840]   "You're casting out demons by the power of Beelzebub. In other words, you're satanic."
[00:39:12.840 --> 00:39:18.840]   These Pharisees, who committed themselves to obey their law meticulously,
[00:39:18.840 --> 00:39:24.840]   when the Son of God was standing before them with all the proof, all the evidence,
[00:39:24.840 --> 00:39:28.840]   they said, "Oh, he's satanic. How can they have been so blind?"
[00:39:28.840 --> 00:39:34.840]   This story is an indictment against a religious Israel,
[00:39:34.840 --> 00:39:38.840]   where they were confident that if they just kind of obey the law,
[00:39:38.840 --> 00:39:44.840]   if they just clean the outside of who they are, that somehow that's going to make them safe before God.
[00:39:44.840 --> 00:39:46.840]   That's the indictment that He was giving.
[00:39:46.840 --> 00:39:50.840]   And that's what He was saying to Nicodemus.
[00:39:50.840 --> 00:39:58.840]   In John 6.26, He says to these people who ate the miraculous fish and the bread,
[00:39:58.840 --> 00:40:03.840]   thousands of them, they wanted to forcefully make Him king.
[00:40:03.840 --> 00:40:07.840]   Jesus packs up His bag with His disciples, they go to the other side of the sea,
[00:40:07.840 --> 00:40:11.840]   and they wake up in the morning, and all thousands of them pack up their bags,
[00:40:11.840 --> 00:40:14.840]   they follow Him to the other side, and when they finally find Jesus,
[00:40:14.840 --> 00:40:18.840]   they say, "Jesus, when did You come here? How come You didn't tell us?"
[00:40:18.840 --> 00:40:24.840]   You would think that Jesus would say, "Man, you guys are really my disciples.
[00:40:24.840 --> 00:40:29.840]   You pack up your bags, you forget to even pack your food, and you really want me to be your king."
[00:40:29.840 --> 00:40:36.840]   But instead of commending them, He calls out their superficial faith, and He says,
[00:40:36.840 --> 00:40:41.840]   "Jesus answered and said to them, 'Truth shall I say to you, you seek Me not because you saw signs,
[00:40:41.840 --> 00:40:46.840]   but because you ate of the loaves and were filled.'"
[00:40:46.840 --> 00:40:52.840]   It is not Me that you want. It's because you saw a miracle and you want more.
[00:40:52.840 --> 00:40:56.840]   You want Me to heal you, you want Me to feed you, you want Me to take care of your kids.
[00:40:56.840 --> 00:41:02.840]   You think that if you somehow follow Me, that you're going to have a better life, but you don't know Me.
[00:41:02.840 --> 00:41:07.840]   He says, "I am the bread, the bread that you eat, the thing that you're looking for.
[00:41:07.840 --> 00:41:13.840]   Even if your wildest dream comes true, you have to find it again and again and again. It's temporary.
[00:41:13.840 --> 00:41:19.840]   But the bread that I give you, Myself, if you eat of it, you'll never be hungry."
[00:41:19.840 --> 00:41:26.840]   At the end of this encounter, all of them turn away and they stop following Jesus,
[00:41:26.840 --> 00:41:29.840]   because they didn't really know who He was.
[00:41:29.840 --> 00:41:34.840]   In John 8.31-32, Jesus was saying to those Jews who had believed Him,
[00:41:34.840 --> 00:41:39.840]   "If you continue in My Word, then you are truly disciples of Mine,
[00:41:39.840 --> 00:41:42.840]   and you will know the truth, and the truth will make you free."
[00:41:42.840 --> 00:41:45.840]   You would think that the Jews who believed Him, Jesus said that,
[00:41:45.840 --> 00:41:49.840]   "If you abide in My Word, you'll be My disciples and you'll be set free."
[00:41:49.840 --> 00:41:54.840]   You would think the response from them would be, "Thank you, Jesus, for freeing us."
[00:41:54.840 --> 00:41:57.840]   But they're offended by this.
[00:41:57.840 --> 00:42:03.840]   "We were never slaves. How can you indict us and say we need to be set free?"
[00:42:03.840 --> 00:42:09.840]   They go back and forth, and the conversation becomes more heated.
[00:42:09.840 --> 00:42:13.840]   They said, "You don't recognize Me because you don't know who My Father is."
[00:42:13.840 --> 00:42:20.840]   And then at the end, in John 8.44, He says, "You don't know Me because your Father is of the devil."
[00:42:20.840 --> 00:42:25.840]   He just said that they believed in verse 31.
[00:42:25.840 --> 00:42:31.840]   These are people who are superficially acknowledging God.
[00:42:31.840 --> 00:42:39.840]   They're demons who may have left, and at some point they're going to come back.
[00:42:39.840 --> 00:42:43.840]   Repeatedly, over and over again, Jesus told us, warned us, encouraged us,
[00:42:43.840 --> 00:42:48.840]   "He who endures to the end will be saved."
[00:42:48.840 --> 00:42:52.840]   We believe in the perseverance of the saints.
[00:42:52.840 --> 00:42:56.840]   The final "P" in the tulip, if you know what that is.
[00:42:56.840 --> 00:43:00.840]   Now we have a cliche saying, "One saved, always saved," which is true,
[00:43:00.840 --> 00:43:05.840]   but the more accurate, precise way to say that is, "One saved, always perseveres,"
[00:43:05.840 --> 00:43:10.840]   because that's the language that the Bible uses.
[00:43:10.840 --> 00:43:16.840]   Over and over again, it says that He who perseveres.
[00:43:16.840 --> 00:43:20.840]   The genuine evidence of our faith is the perseverance of the saints.
[00:43:20.840 --> 00:43:27.840]   If you look at the seven churches, the seven churches in the book of Revelation,
[00:43:27.840 --> 00:43:32.840]   every single one of these churches, it ends, whether it was a rebuke or whether it was an encouragement,
[00:43:32.840 --> 00:43:36.840]   it ends by saying, "He who overcomes."
[00:43:36.840 --> 00:43:38.840]   "He who overcomes will have eternal life."
[00:43:38.840 --> 00:43:41.840]   "He who overcomes will not face a second death."
[00:43:41.840 --> 00:43:43.840]   "He who overcomes will be given hidden manna."
[00:43:43.840 --> 00:43:46.840]   "He who overcomes will be given authority over nations."
[00:43:46.840 --> 00:43:50.840]   "He who overcomes, who perseveres."
[00:43:50.840 --> 00:43:54.840]   In 1 John 2:19, "They went out from us, but they were not really of us,
[00:43:54.840 --> 00:43:58.840]   for if they had been of us, they would have remained with us when they went out,
[00:43:58.840 --> 00:44:05.840]   so that it would be shown that they all are not of us."
[00:44:05.840 --> 00:44:11.840]   He said that the second state is worse than the first.
[00:44:11.840 --> 00:44:15.840]   It is a grave danger.
[00:44:15.840 --> 00:44:24.840]   Well, we're bending over backwards to accommodate nominal Christianity in the church.
[00:44:24.840 --> 00:44:28.840]   When the Scripture warns us repeatedly over and over and over again,
[00:44:28.840 --> 00:44:32.840]   the end result of nominal Christianity, the second state is worse.
[00:44:32.840 --> 00:44:36.840]   You may not see it in your life, but you will see it in your children's lives.
[00:44:36.840 --> 00:44:39.840]   You may not see it in your children's lives, but you will see it in your grandchildren's lives,
[00:44:39.840 --> 00:44:42.840]   what it's like for them to grow up in a nominal Christian home,
[00:44:42.840 --> 00:44:47.840]   confesses greatly at church, but there's no evidence of it back at home.
[00:44:47.840 --> 00:44:53.840]   Every antagonist, or many antagonists in our modern generation,
[00:44:53.840 --> 00:44:58.840]   all of them, many of them, will confess that.
[00:44:58.840 --> 00:45:03.840]   What they are fighting against is not biblical Christianity.
[00:45:03.840 --> 00:45:06.840]   What they are fighting against is what they saw at home.
[00:45:06.840 --> 00:45:10.840]   There's no real power there. There's no real deliverance.
[00:45:10.840 --> 00:45:12.840]   There's no real hope.
[00:45:12.840 --> 00:45:19.840]   Just a constant guilt that they're not living up to the ideals of the church.
[00:45:19.840 --> 00:45:22.840]   So even a deliverance can be temporary.
[00:45:22.840 --> 00:45:27.840]   And that's why we are in a generation filled with churches
[00:45:27.840 --> 00:45:31.840]   who have left their faith, but they have never left the church.
[00:45:31.840 --> 00:45:35.840]   Because the church has adjusted so that they don't have to leave the church.
[00:45:35.840 --> 00:45:38.840]   In the previous generation, in the first century church,
[00:45:38.840 --> 00:45:42.840]   if they left the faith, they had to leave the church.
[00:45:42.840 --> 00:45:46.840]   But we live in a generation where we're working backwards
[00:45:46.840 --> 00:45:52.840]   so that people who have left their faith don't have to leave the church.
[00:45:52.840 --> 00:45:57.840]   And so all the criticism against the church today is not against biblical Christianity,
[00:45:57.840 --> 00:46:03.840]   but against the nominal Christianity that we have created and allowed and accommodated.
[00:46:03.840 --> 00:46:08.840]   He says, even a demon that seems to have left.
[00:46:08.840 --> 00:46:13.840]   And we're going to continue to see that the end result of that is worse than the other.
[00:46:13.840 --> 00:46:18.840]   Number two, demons occupy places where they can find rest.
[00:46:18.840 --> 00:46:20.840]   Isn't that interesting?
[00:46:20.840 --> 00:46:27.840]   He said when the unclean spirits go out, it passes through waterless places seeking rest.
[00:46:27.840 --> 00:46:30.840]   The demons are looking for rest.
[00:46:30.840 --> 00:46:33.840]   And he said the reason why he turns is because they can't find rest.
[00:46:33.840 --> 00:46:39.840]   And you know what's interesting? It comes back, and what do they call it?
[00:46:39.840 --> 00:46:43.840]   He said they are seeking rest and not finding any of it.
[00:46:43.840 --> 00:46:46.840]   I will return to my house from which I came.
[00:46:46.840 --> 00:46:49.840]   Do you notice that? He said, I'm not going back to where I possess it.
[00:46:49.840 --> 00:46:52.840]   I'm going back to my home.
[00:46:52.840 --> 00:46:57.840]   And the reason why it describes it as a waterless place is because today when we look for homes,
[00:46:57.840 --> 00:47:01.840]   you don't go in there and ask the realtors, is there water in this house?
[00:47:01.840 --> 00:47:05.840]   Obviously, because it's a given. You can't sell the house if you don't have water.
